"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"AW15_AU_BS3","705","749","AU-AWBS03_20151106_042730.wav","AU-AWBS03_20151114_072345.wav","44","HG_datasets","open","BP","AW15_AU_BS3_files_705-749","GS"
"BS12_AU_02a","1","46","AU-BS02a_20120619_151345.wav","AU-BS02a_20120720_060345.wav","45","HG_datasets","open","BP","BS12_AU_02a_files_1-46","GS"
"AW14_AU_BS3","1","71","AU-AWBS03_20141105_013730.wav","AU-AWBS03_20141204_104730.wav","70","HG_datasets","open","BP","AW14_AU_BS3_files_1-71","GS"
"BS13_AU_04","137","224","AU-BS04b_20140815_064730.wav","AU-BS04b_20140911_233000.wav","87","HG_datasets","open","BP","BS13_AU_04_files_137-224","GS"
"AW12_AU_BS3","1","250","AU-AWBS03_20120811_000000.wav","AU-AWBS03_20120826_050000.wav","249","HG_datasets","open","BP","AW12_AU_BS3_files_1-250","GS"
"AW12_AU_BS3","1464","1507","AU-AWBS03_20121007_131345.wav","AU-AWBS03_20121011_013730.wav","43","HG_datasets","open","BP","AW12_AU_BS3_files_1464-1507","GS"
"AW15_AU_BS3","705","749","AU-AWBS03_20151106_042730.wav","AU-AWBS03_20151114_072345.wav","44","HG_datasets","open","GS","AW15_AU_BS3_files_705-749","GS"
"BS12_AU_02a","1","46","AU-BS02a_20120619_151345.wav","AU-BS02a_20120720_060345.wav","45","HG_datasets","open","GS","BS12_AU_02a_files_1-46","GS"
"AW14_AU_BS3","1","71","AU-AWBS03_20141105_013730.wav","AU-AWBS03_20141204_104730.wav","70","HG_datasets","open","GS","AW14_AU_BS3_files_1-71","GS"
"BS13_AU_04","137","224","AU-BS04b_20140815_064730.wav","AU-BS04b_20140911_233000.wav","87","HG_datasets","open","GS","BS13_AU_04_files_137-224","GS"
"AW12_AU_BS3","1","250","AU-AWBS03_20120811_000000.wav","AU-AWBS03_20120826_050000.wav","249","HG_datasets","open","GS","AW12_AU_BS3_files_1-250","GS"
"AW12_AU_BS3","1464","1507","AU-AWBS03_20121007_131345.wav","AU-AWBS03_20121011_013730.wav","43","HG_datasets","open","GS","AW12_AU_BS3_files_1464-1507","GS"
"BS15_AU_02a","1","104","AU-BS02a_20150622_180730.wav","AU-BS02a_20150809_165345.wav","103","HG_datasets","open","RW","BS15_AU_02a_files_1-104","RW"
"BS14_AU_04","1","179","AU-BS04b_20141202_201000.wav","AU-BS04b_20150920_012000.wav","178","HG_datasets","open","RW","BS14_AU_04_files_All","RW"
"AW12_AU_BS3","1","217","AU-AWBS03_20120811_104345.wav","AU-AWBS03_20130912_121730.wav","216","HG_datasets","open","RW","AW12_AU_BS3_files_All","RW"
"BS13_AU_04","1","304","AU-BS04b_20130918_050730.wav","AU-BS04b_20141004_120345.wav","303","HG_datasets","open","RW","BS13_AU_04_files_All","RW"
"BS16_AU_02a","1","175","AU-BS02a_20160517_080000.wav","AU-BS02a_20160908_222000.wav","174","HG_datasets","open","RW","BS16_AU_02a_files_1-175","RW"
"BS15_AU_02b","1","62","AU-BS02b_20151001_171730.wav","AU-BS02b_20151224_070345.wav","61","HG_datasets","open","RW","BS15_AU_02b_files_All","RW"
"AW14_AU_BS3","1","160","AU-AWBS03_20141020_052730.wav","AU-AWBS03_20150626_192730.wav","159","HG_datasets","open","RW","AW14_AU_BS3_files_1-160","RW"
