Test,Type,Species ,Mooring,detTotal,numTP,numFP,numFN,TPR,FPR,TPdivFP,AUC
1,GT,GS,rf AW15_AU_BS2_files_33-103,1053,441,612,33,0.930379747,0.581196581,0.720588235,0.955537681
1,ALL,GS,rf all ,1053,441,612,33,0.930379747,0.581196581,0.720588235,0.955537681
1,NEW,GS,GS AW12_AU_BS3_files_1-250,4370,1726,2644,86,0.952538631,0.605034325,0.65279879,0.827714929
2,GT,GS,rf AW12_AU_BS3_files_1-250,3009,1693,1316,114,0.936912009,0.437354603,1.286474164,0.951718953
2,GT,GS,rf AW15_AU_BS2_files_33-103,702,403,299,71,0.85021097,0.425925926,1.347826087,0.951718953
2,ALL,GS,rf all,3711,2096,1615,185,0.918895221,0.43519267,1.297832817,0.951718953
2,NEW,GS,rf BS14_AU_04_files_74-148,739,320,419,80,0.8,0.566982409,0.76372315,0.805918109
3,GT,GS,rf AW12_AU_BS3_files_1-250,3110,1702,1408,105,0.94189264,0.452733119,1.208806818,0.949376609
3,GT,GS,rf AW15_AU_BS2_files_33-103,729,407,322,67,0.858649789,0.44170096,1.263975155,0.949376609
3,GT,GS,rf BS14_AU_04_files_74-148,721,355,366,45,0.8875,0.507628294,0.969945355,0.949376609
3,ALL,GS,rf all,4560,2464,2096,217,0.919060052,0.459649123,1.175572519,0.949376609
3,NEW,GS,rf AW14_AU_BS3_files_309-369,812,598,214,120,0.832869081,0.263546798,2.794392523,0.867201419
4,GT,GS,rf AW12_AU_BS3_files_1-250,3175,1708,1467,99,0.94521306,0.462047244,1.164280845,0.952691807
4,GT,GS,rf AW14_AU_BS3_files_309-369,974,649,325,69,0.903899721,0.333675565,1.996923077,0.952691807
4,GT,GS,rf AW15_AU_BS2_files_33-103,844,417,427,57,0.879746835,0.505924171,0.976580796,0.952691807
4,GT,GS,rf BS14_AU_04_files_74-148,770,357,413,43,0.8925,0.536363636,0.86440678,0.952691807
4,ALL,GS,rf all,5763,3131,2632,268,0.92115328,0.456706576,1.189589666,0.952691807
4,NEW,GS,rf AW15_AU_BS3_files_705-749,1060,549,511,158,0.776520509,0.482075472,1.074363992,0.83693711
5,GT,GS,rf AW15_AU_BS3_files_705-749,1055,654,401,43,0.93830703,0.380094787,1.630922693,0.952357666
5,GT,GS,rf AW12_AU_BS3_files_1-250,3113,1700,1413,107,0.940785833,0.453902987,1.203113942,0.952357666
5,GT,GS,rf AW14_AU_BS3_files_309-369,951,645,306,73,0.898328691,0.321766562,2.107843137,0.952357666
5,GT,GS,rf AW15_AU_BS2_files_33-103,837,415,422,59,0.875527426,0.504181601,0.983412322,0.952357666
5,GT,GS,rf BS14_AU_04_files_74-148,740,354,386,46,0.885,0.521621622,0.917098446,0.952357666
