Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	45.758323058	49.050554871	1158.7	1685.2
2	Spectrogram 1	1	112.845869297	114.769420469	1185.2	1634.9
3	Spectrogram 1	1	114.991368681	116.803945746	923.3	1470.9
4	Spectrogram 1	1	143.955610358	145.768187423	958.9	1434.9
5	Spectrogram 1	1	195.107274969	196.290998767	1164.4	1551.4
6	Spectrogram 1	1	196.734895191	197.733662145	1191.8	1373.3
7	Spectrogram 1	1	252.288532676	253.657213317	1109.6	1729.5
9	Spectrogram 1	1	439.176325524	442.320591862	863.0	1534.2
10	Spectrogram 1	1	526.135635018	527.652281134	1256.8	1568.5
11	Spectrogram 1	1	702.658446363	703.916152898	1113.0	1674.7
12	Spectrogram 1	1	704.729963009	705.617755857	1140.4	1708.9
13	Spectrogram 1	1	707.652281134	708.651048089	1024.0	1390.4
14	Spectrogram 1	1	706.320591862	707.023427867	941.8	1390.4
15	Spectrogram 1	1	835.812577065	837.440197287	1137.0	1544.5
16	Spectrogram 1	1	890.626387176	892.697903822	1253.4	1479.5
17	Spectrogram 1	1	897.839704069	899.504315660	1260.3	1411.0
18	Spectrogram 1	1	962.123304562	964.157829840	1191.8	1541.1
19	Spectrogram 1	1	997.257706535	999.329223181	1212.3	1489.7
20	Spectrogram 1	1	1106.959309494	1109.696670777	1171.2	1517.1
