Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	status
1	Spectrogram 1	1	50.879516602	52.050659180	1300.0	1450.0	y
2	Spectrogram 1	1	80.418334961	81.459350586	1050.0	1500.0	y
3	Spectrogram 1	1	110.607788086	111.909057617	1300.0	1450.0	y
4	Spectrogram 1	1	119.196166992	121.278198242	1200.0	1600.0	y
5	Spectrogram 1	1	191.807006836	193.368530273	1300.0	1450.0	y
6	Spectrogram 1	1	197.012084961	199.874877930	1300.0	1450.0	y
7	Spectrogram 1	1	203.778686523	205.079956055	1050.0	1250.0	n
8	Spectrogram 1	1	233.447631836	236.310424805	1300.0	1450.0	y
9	Spectrogram 1	1	281.334350586	282.635620117	1300.0	1450.0	y
10	Spectrogram 1	1	351.863159180	353.684936523	1300.0	1450.0	y
11	Spectrogram 1	1	394.544799805	396.887084961	1250.0	1500.0	y
12	Spectrogram 1	1	410.550415039	411.981811523	1300.0	1450.0	y
13	Spectrogram 1	1	446.595581055	447.636596680	1300.0	1450.0	y
14	Spectrogram 1	1	477.826049805	479.387573242	1200.0	1550.0	y
15	Spectrogram 1	1	482.380493164	484.332397461	1300.0	1450.0	y
16	Spectrogram 1	1	494.352172851	495.523315430	1450.0	1600.0	
17	Spectrogram 1	1	549.656127930	551.738159180	1300.0	1450.0	y
18	Spectrogram 1	1	626.951538086	628.252807617	1300.0	1450.0	y
19	Spectrogram 1	1	657.921752930	660.264038086	1000.0	1750.0	y
20	Spectrogram 1	1	661.305053711	662.346069336	1250.0	1500.0	y
21	Spectrogram 1	1	663.907592773	665.729370117	1300.0	1450.0	y
22	Spectrogram 1	1	669.112670898	671.454956055	1300.0	1650.0	y
23	Spectrogram 1	1	675.879272461	677.961303711	1300.0	1450.0	y
24	Spectrogram 1	1	679.522827148	680.563842773	1300.0	1600.0	y
25	Spectrogram 1	1	696.439331055	698.261108398	1300.0	1450.0	y
26	Spectrogram 1	1	711.534057617	714.136596680	1300.0	1550.0	y
27	Spectrogram 1	1	716.999389648	718.300659180	1200.0	1400.0	y
28	Spectrogram 1	1	721.163452148	723.245483398	1300.0	1600.0	y
29	Spectrogram 1	1	741.203002930	744.846557617	1250.0	1600.0	y
30	Spectrogram 1	1	749.531127930	750.832397461	1300.0	1450.0	y
31	Spectrogram 1	1	768.529663086	769.830932617	1300.0	1450.0	y
32	Spectrogram 1	1	771.652709961	773.214233398	1300.0	1550.0	y
33	Spectrogram 1	1	778.159057617	780.501342773	1250.0	1550.0	y
34	Spectrogram 1	1	785.185913086	786.226928711	1300.0	1450.0	y
35	Spectrogram 1	1	797.938354492	799.760131836	1300.0	1550.0	y
36	Spectrogram 1	1	819.539428711	821.100952148	1250.0	1600.0	y
37	Spectrogram 1	1	821.361206055	824.223999023	1200.0	1700.0	y
38	Spectrogram 1	1	832.812377930	835.935424805	1300.0	1600.0	y
39	Spectrogram 1	1	839.058471680	842.181518555	1200.0	1700.0	y
40	Spectrogram 1	1	842.181518555	843.743041992	1300.0	1500.0	y
41	Spectrogram 1	1	848.427612305	851.030151367	1300.0	1600.0	y
42	Spectrogram 1	1	851.810913086	852.851928711	1300.0	1450.0	y
43	Spectrogram 1	1	856.755737305	858.057006836	1300.0	1450.0	y
44	Spectrogram 1	1	865.604370117	866.645385742	1050.0	1200.0	
45	Spectrogram 1	1	877.576049805	879.397827148	1300.0	1600.0	y
46	Spectrogram 1	1	885.123413086	887.725952148	1200.0	1550.0	y
47	Spectrogram 1	1	905.162963867	906.464233398	1250.0	1400.0	
48	Spectrogram 1	1	909.327026367	912.710327148	1100.0	1550.0	y
49	Spectrogram 1	1	914.792358398	916.614135742	1200.0	1450.0	y
50	Spectrogram 1	1	935.092163086	936.913940430	1300.0	1550.0	y
51	Spectrogram 1	1	945.242065430	946.803588867	1200.0	1500.0	y
52	Spectrogram 1	1	963.850219726	965.281616211	1300.0	1450.0	y
53	Spectrogram 1	1	968.664916992	969.705932617	1300.0	1450.0	y
54	Spectrogram 1	1	981.157104492	982.198120117	1300.0	1450.0	y
55	Spectrogram 1	1	993.128784180	994.690307617	1200.0	1550.0	y
56	Spectrogram 1	1	1005.620971680	1006.922241211	1300.0	1450.0	y
57	Spectrogram 1	1	1008.744018555	1011.346557617	1300.0	1450.0	y
58	Spectrogram 1	1	1017.332397461	1019.414428711	1150.0	1600.0	y
