Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	19.838000000	22.852000000	1073.5	1560.0
1	Spectrogram 1	1	19.838000000	22.852000000	1073.5	1560.0
2	Waveform 1	1	73.935000000	76.658000000	1263.6	1537.6
2	Spectrogram 1	1	73.935000000	76.658000000	1263.6	1537.6
3	Waveform 1	1	103.449000000	106.123000000	1191.0	1571.2
3	Spectrogram 1	1	103.449000000	106.123000000	1191.0	1571.2
4	Waveform 1	1	138.729000000	141.306000000	1079.1	1537.6
4	Spectrogram 1	1	138.729000000	141.306000000	1079.1	1537.6
5	Waveform 1	1	176.733000000	179.650000000	1146.2	1532.0
5	Spectrogram 1	1	176.733000000	179.650000000	1146.2	1532.0
6	Waveform 1	1	224.169000000	227.280000000	1112.7	1599.1
6	Spectrogram 1	1	224.169000000	227.280000000	1112.7	1599.1
7	Waveform 1	1	258.010000000	261.073000000	1185.4	1515.3
7	Spectrogram 1	1	258.010000000	261.073000000	1185.4	1515.3
8	Waveform 1	1	285.997000000	288.525000000	1218.9	1509.7
8	Spectrogram 1	1	285.997000000	288.525000000	1218.9	1509.7
9	Waveform 1	1	324.263000000	327.180000000	1095.9	1520.8
9	Spectrogram 1	1	324.263000000	327.180000000	1095.9	1520.8
10	Waveform 1	1	363.579000000	366.642000000	1135.0	1509.7
10	Spectrogram 1	1	363.579000000	366.642000000	1135.0	1509.7
11	Waveform 1	1	403.089000000	405.909000000	1123.9	1565.6
11	Spectrogram 1	1	403.089000000	405.909000000	1123.9	1565.6
12	Waveform 1	1	429.540000000	432.700000000	1017.6	1509.7
12	Spectrogram 1	1	429.540000000	432.700000000	1017.6	1509.7
13	Waveform 1	1	466.619000000	468.321000000	1023.2	1565.6
13	Spectrogram 1	1	466.619000000	468.321000000	1023.2	1565.6
14	Waveform 1	1	492.759000000	495.190000000	1040.0	1526.4
14	Spectrogram 1	1	492.759000000	495.190000000	1040.0	1526.4
15	Waveform 1	1	522.904000000	525.287000000	1123.9	1582.3
15	Spectrogram 1	1	522.904000000	525.287000000	1123.9	1582.3
16	Waveform 1	1	567.909000000	570.583000000	1051.2	1548.8
16	Spectrogram 1	1	567.909000000	570.583000000	1051.2	1548.8
17	Waveform 1	1	643.838000000	645.929000000	1224.5	1615.9
17	Spectrogram 1	1	643.838000000	645.929000000	1224.5	1615.9
18	Waveform 1	1	655.075000000	658.138000000	1258.0	1537.6
18	Spectrogram 1	1	655.075000000	658.138000000	1258.0	1537.6
19	Waveform 1	1	667.692000000	671.193000000	1246.9	1481.7
19	Spectrogram 1	1	667.692000000	671.193000000	1246.9	1481.7
20	Waveform 1	1	703.721000000	706.347000000	1280.4	1532.0
20	Spectrogram 1	1	703.721000000	706.347000000	1280.4	1532.0
21	Waveform 1	1	736.765000000	739.877000000	1246.9	1526.4
21	Spectrogram 1	1	736.765000000	739.877000000	1246.9	1526.4
22	Waveform 1	1	768.107000000	771.608000000	1163.0	1526.4
22	Spectrogram 1	1	768.107000000	771.608000000	1163.0	1526.4
23	Waveform 1	1	822.934000000	825.511000000	1028.8	1621.5
23	Spectrogram 1	1	822.934000000	825.511000000	1028.8	1621.5
24	Waveform 1	1	832.075000000	834.603000000	1079.1	1627.1
24	Spectrogram 1	1	832.075000000	834.603000000	1079.1	1627.1
25	Waveform 1	1	859.449000000	861.734000000	1213.3	1565.6
25	Spectrogram 1	1	859.449000000	861.734000000	1213.3	1565.6
26	Waveform 1	1	891.909000000	894.729000000	1179.8	1526.4
26	Spectrogram 1	1	891.909000000	894.729000000	1179.8	1526.4
27	Waveform 1	1	939.005000000	942.846000000	1174.2	1520.8
27	Spectrogram 1	1	939.005000000	942.846000000	1174.2	1520.8
28	Waveform 1	1	962.198000000	965.358000000	1157.4	1666.2
28	Spectrogram 1	1	962.198000000	965.358000000	1157.4	1666.2
29	Waveform 1	1	995.436000000	998.742000000	1101.5	1576.8
29	Spectrogram 1	1	995.436000000	998.742000000	1101.5	1576.8
30	Waveform 1	1	1004.820000000	1007.105000000	1235.7	1582.3
30	Spectrogram 1	1	1004.820000000	1007.105000000	1235.7	1582.3
31	Waveform 1	1	1013.669000000	1016.441000000	1073.5	1576.8
31	Spectrogram 1	1	1013.669000000	1016.441000000	1073.5	1576.8
32	Waveform 1	1	1023.248000000	1025.290000000	1129.4	1582.3
32	Spectrogram 1	1	1023.248000000	1025.290000000	1129.4	1582.3
33	Waveform 1	1	1064.509000000	1068.253000000	1274.8	1560.0
33	Spectrogram 1	1	1064.509000000	1068.253000000	1274.8	1560.0
34	Waveform 1	1	1091.815000000	1095.462000000	1146.2	1543.2
