Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	16.432378556	17.712484358	1495.9	1778.3
1	Spectrogram 1	1	16.432378556	17.712484358	1495.9	1778.3
2	Waveform 1	1	59.146547815	60.635650482	1461.4	1711.3
2	Spectrogram 1	1	59.146547815	60.635650482	1461.4	1711.3
3	Waveform 1	1	95.951242288	97.309721914	1142.0	1391.9
3	Spectrogram 1	1	95.951242288	97.309721914	1142.0	1391.9
4	Waveform 1	1	79.445368384	81.091218701	1166.3	1451.0
4	Spectrogram 1	1	79.445368384	81.091218701	1166.3	1451.0
5	Waveform 1	1	115.706759418	117.117488261	1083.0	1464.8
5	Spectrogram 1	1	115.706759418	117.117488261	1083.0	1464.8
6	Waveform 1	1	117.587731209	119.311955350	1096.9	1437.1
6	Spectrogram 1	1	117.587731209	119.311955350	1096.9	1437.1
7	Waveform 1	1	119.573201432	121.166802532	1100.4	1409.3
7	Spectrogram 1	1	119.573201432	121.166802532	1100.4	1409.3
8	Waveform 1	1	124.432378556	126.025979656	1090.0	1388.5
8	Spectrogram 1	1	124.432378556	126.025979656	1090.0	1388.5
9	Waveform 1	1	126.679094861	128.063699096	1114.3	1388.5
9	Spectrogram 1	1	126.679094861	128.063699096	1114.3	1388.5
10	Waveform 1	1	129.735674020	131.250901296	1124.7	1402.4
10	Spectrogram 1	1	129.735674020	131.250901296	1124.7	1402.4
11	Waveform 1	1	140.828125697	142.552349838	1135.1	1461.4
11	Spectrogram 1	1	140.828125697	142.552349838	1135.1	1461.4
12	Waveform 1	1	143.022592785	144.511695453	1128.1	1447.5
12	Spectrogram 1	1	143.022592785	144.511695453	1128.1	1447.5
13	Waveform 1	1	145.426056739	146.862910190	1242.7	1426.7
13	Spectrogram 1	1	145.426056739	146.862910190	1242.7	1426.7
14	Waveform 1	1	148.979003454	150.703227595	1232.3	1423.2
14	Spectrogram 1	1	148.979003454	150.703227595	1232.3	1423.2
15	Waveform 1	1	152.140081046	153.603059105	1093.4	1457.9
15	Spectrogram 1	1	152.140081046	153.603059105	1093.4	1457.9
16	Waveform 1	1	154.282298918	155.823650802	1083.0	1412.8
16	Spectrogram 1	1	154.282298918	155.823650802	1083.0	1412.8
17	Waveform 1	1	166.859177125	168.531152049	989.3	1430.1
17	Spectrogram 1	1	166.859177125	168.531152049	989.3	1430.1
18	Waveform 1	1	173.024584659	174.539811935	1135.1	1405.8
18	Spectrogram 1	1	173.024584659	174.539811935	1135.1	1405.8
19	Waveform 1	1	197.689654150	199.335504466	1166.3	1475.3
19	Spectrogram 1	1	197.689654150	199.335504466	1166.3	1475.3
20	Waveform 1	1	210.699709032	212.502306998	1180.2	1416.2
20	Spectrogram 1	1	210.699709032	212.502306998	1180.2	1416.2
21	Waveform 1	1	304.170987522	305.869087055	1190.6	1440.5
21	Spectrogram 1	1	304.170987522	305.869087055	1190.6	1440.5
22	Waveform 1	1	310.882824377	312.476425477	1145.5	1423.2
22	Spectrogram 1	1	310.882824377	312.476425477	1145.5	1423.2
23	Waveform 1	1	333.012989828	334.711089361	1180.2	1444.0
23	Spectrogram 1	1	333.012989828	334.711089361	1180.2	1444.0
24	Waveform 1	1	351.326340175	352.919941275	1135.1	1378.1
24	Spectrogram 1	1	351.326340175	352.919941275	1135.1	1378.1
