Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	2.091000000	4.473000000	1238.5	1517.8
1	Spectrogram 1	1	2.091000000	4.473000000	1238.5	1517.8
2	Waveform 1	1	41.767000000	44.587000000	1313.4	1544.1
2	Spectrogram 1	1	41.767000000	44.587000000	1313.4	1544.1
3	Waveform 1	1	65.912000000	68.878000000	1133.3	1505.6
3	Spectrogram 1	1	65.912000000	68.878000000	1133.3	1505.6
4	Waveform 1	1	114.175000000	117.822000000	1291.1	1440.9
4	Spectrogram 1	1	114.175000000	117.822000000	1291.1	1440.9
5	Waveform 1	1	145.634000000	147.530000000	1088.8	1529.9
5	Spectrogram 1	1	145.634000000	147.530000000	1088.8	1529.9
6	Waveform 1	1	171.068000000	174.131000000	1210.2	1444.9
6	Spectrogram 1	1	171.068000000	174.131000000	1210.2	1444.9
7	Waveform 1	1	201.384000000	204.739000000	1287.1	1558.3
7	Spectrogram 1	1	201.384000000	204.739000000	1287.1	1558.3
8	Waveform 1	1	231.024000000	233.358000000	1283.0	1651.4
8	Spectrogram 1	1	231.024000000	233.358000000	1283.0	1651.4
9	Waveform 1	1	255.481000000	259.468000000	1274.9	1602.8
9	Spectrogram 1	1	255.481000000	259.468000000	1274.9	1602.8
10	Waveform 1	1	293.144000000	295.575000000	1285.1	1532.0
10	Spectrogram 1	1	293.144000000	295.575000000	1285.1	1532.0
11	Waveform 1	1	367.420000000	369.851000000	1264.8	1471.2
11	Spectrogram 1	1	367.420000000	369.851000000	1264.8	1471.2
12	Waveform 1	1	496.697000000	499.663000000	1076.6	1538.0
12	Spectrogram 1	1	496.697000000	499.663000000	1076.6	1538.0
13	Waveform 1	1	530.562000000	532.945000000	1216.3	1527.9
13	Spectrogram 1	1	530.562000000	532.945000000	1216.3	1527.9
14	Waveform 1	1	555.997000000	558.476000000	1084.7	1570.4
14	Spectrogram 1	1	555.997000000	558.476000000	1084.7	1570.4
15	Waveform 1	1	636.934000000	638.927000000	1113.0	1505.6
15	Spectrogram 1	1	636.934000000	638.927000000	1113.0	1505.6
