Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	88.327000000	90.029000000	1051.8	1659.6
1	Spectrogram 1	1	88.327000000	90.029000000	1051.8	1659.6
2	Waveform 1	1	144.515000000	147.579000000	1057.0	1643.7
2	Spectrogram 1	1	144.515000000	147.579000000	1057.0	1643.7
3	Waveform 1	1	254.946000000	258.593000000	1146.9	1717.7
3	Spectrogram 1	1	254.946000000	258.593000000	1146.9	1717.7
4	Waveform 1	1	231.073000000	233.699000000	1131.0	1511.6
4	Spectrogram 1	1	231.073000000	233.699000000	1131.0	1511.6
5	Waveform 1	1	447.122000000	450.379000000	1178.6	1654.3
5	Spectrogram 1	1	447.122000000	450.379000000	1178.6	1654.3
6	Waveform 1	1	385.293000000	388.405000000	1220.9	1590.9
6	Spectrogram 1	1	385.293000000	388.405000000	1220.9	1590.9
7	Waveform 1	1	554.052000000	557.358000000	1220.9	1527.4
7	Spectrogram 1	1	554.052000000	557.358000000	1220.9	1527.4
