Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
2	Waveform 1	1	315.908000000	319.201000000	1179.6	1637.8
2	Spectrogram 1	1	315.908000000	319.201000000	1179.6	1637.8
3	Waveform 1	1	9.056000000	13.269000000	1291.7	1512.3
3	Spectrogram 1	1	9.056000000	13.269000000	1291.7	1512.3
4	Waveform 1	1	131.487000000	135.264000000	1201.6	1639.1
4	Spectrogram 1	1	131.487000000	135.264000000	1201.6	1639.1
5	Waveform 1	1	219.680000000	221.714000000	1198.0	1611.6
5	Spectrogram 1	1	219.680000000	221.714000000	1198.0	1611.6
6	Waveform 1	1	281.913000000	284.625000000	1179.6	1510.5
6	Spectrogram 1	1	281.913000000	284.625000000	1179.6	1510.5
7	Waveform 1	1	412.140000000	415.482000000	1052.7	1514.1
7	Spectrogram 1	1	412.140000000	415.482000000	1052.7	1514.1
8	Waveform 1	1	445.777000000	449.167000000	1063.8	1510.5
8	Spectrogram 1	1	445.777000000	449.167000000	1063.8	1510.5
