Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
4	Waveform 1	1	62.02856445	62.22631836	0	200
4	Spectrogram 1	1	62.02856445	62.22631836	0	200
6	Waveform 1	1	74.02563477	74.35522461	25	250
6	Spectrogram 1	1	74.02563477	74.35522461	25	250
7	Waveform 1	1	104.2160645	104.3479004	0	250
7	Spectrogram 1	1	104.2160645	104.3479004	0	250
8	Waveform 1	1	108.1052246	108.2370605	75	200
8	Spectrogram 1	1	108.1052246	108.2370605	75	200
9	Waveform 1	1	110.0827637	110.1486816	25	150
9	Spectrogram 1	1	110.0827637	110.1486816	25	150
10	Waveform 1	1	110.1486816	110.2805176	0	250
10	Spectrogram 1	1	110.1486816	110.2805176	0	250
11	Waveform 1	1	113.642334	113.9719238	0	150
11	Spectrogram 1	1	113.642334	113.9719238	0	150
12	Waveform 1	1	124.3210449	124.5187988	25	175
12	Spectrogram 1	1	124.3210449	124.5187988	25	175
13	Waveform 1	1	124.8483887	125.1779785	25	200
13	Spectrogram 1	1	124.8483887	125.1779785	25	200
14	Waveform 1	1	131.9675293	132.1652832	25	225
14	Spectrogram 1	1	131.9675293	132.1652832	25	225
15	Waveform 1	1	141.2619629	141.3937988	0	150
15	Spectrogram 1	1	141.2619629	141.3937988	0	150
18	Waveform 1	1	159.2575684	159.4553223	50	175
18	Spectrogram 1	1	159.2575684	159.4553223	50	175
19	Waveform 1	1	167.1018066	167.6291504	75	200
19	Spectrogram 1	1	167.1018066	167.6291504	75	200
20	Waveform 1	1	171.1228027	171.5842285	50	175
20	Spectrogram 1	1	171.1228027	171.5842285	50	175
21	Waveform 1	1	194.6555176	194.9851074	50	225
21	Spectrogram 1	1	194.6555176	194.9851074	50	225
22	Waveform 1	1	195.973877	196.3693848	25	225
22	Spectrogram 1	1	195.973877	196.3693848	25	225
23	Waveform 1	1	200.7199707	200.8518066	0	125
23	Spectrogram 1	1	200.7199707	200.8518066	0	125
25	Waveform 1	1	219.8361816	220.0339355	0	125
