Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
61	Spectrogram 1	1	6996.598877	6996.664795	25	225
4	Spectrogram 1	1	1050.00708	1050.072998	25	150
5	Spectrogram 1	1	1088.371338	1088.437256	50	200
6	Spectrogram 1	1	1110.849365	1110.915283	75	200
8	Spectrogram 1	1	1413.14917	1413.215088	75	225
9	Spectrogram 1	1	1424.948486	1425.212158	75	250
10	Spectrogram 1	1	1649.596924	1650.05835	0	125
12	Spectrogram 1	1	1896.393799	1896.459717	0	250
13	Spectrogram 1	1	1896.723389	1896.855225	25	200
17	Spectrogram 1	1	2324.992432	2325.05835	25	250
23	Spectrogram 1	1	3271.706299	3272.101807	25	250
26	Spectrogram 1	1	3374.999756	3375.263428	25	250
27	Spectrogram 1	1	3674.992432	3675.124268	0	250
28	Spectrogram 1	1	3825.021729	3825.087646	50	250
31	Spectrogram 1	1	5100.00708	5100.072998	50	250
33	Spectrogram 1	1	5324.985107	5325.051025	50	250
52	Spectrogram 1	1	6374.992432	6375.05835	25	250
58	Spectrogram 1	1	6822.377686	6822.443604	100	250
60	Spectrogram 1	1	6964.101318	6964.299072	100	225
63	Spectrogram 1	1	7147.551025	7148.012451	25	150
64	Spectrogram 1	1	7167.062744	7167.128662	25	150
68	Spectrogram 1	1	7315.575928	7315.641846	25	200
69	Spectrogram 1	1	7350.776123	7350.842041	25	250
70	Spectrogram 1	1	7399.753174	7400.082764	25	150
71	Spectrogram 1	1	7418.671631	7418.803467	25	150
74	Spectrogram 1	1	7558.351807	7558.483643	25	150
75	Spectrogram 1	1	7636.728271	7636.794189	25	150
76	Spectrogram 1	1	7774.167236	7774.299072	25	150
81	Spectrogram 1	1	8150.888428	8150.954346	25	200
82	Spectrogram 1	1	8285.361084	8285.427002	25	250
87	Spectrogram 1	1	8674.145264	8674.540771	25	150
88	Spectrogram 1	1	8754.43335	8754.499268	25	150
94	Spectrogram 1	1	9345.519775	9345.717529	25	150
