Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	34.73852539	34.80444336	75	250
1	Spectrogram 1	1	34.73852539	34.80444336	75	250
4	Waveform 1	1	76.0690918	76.13500977	50	250
4	Spectrogram 1	1	76.0690918	76.13500977	50	250
8	Waveform 1	1	156.5549316	156.6208496	100	250
8	Spectrogram 1	1	156.5549316	156.6208496	100	250
9	Waveform 1	1	159.5871582	160.048584	50	175
9	Spectrogram 1	1	159.5871582	160.048584	50	175
10	Waveform 1	1	173.2980957	173.3640137	125	250
10	Spectrogram 1	1	173.2980957	173.3640137	125	250
11	Waveform 1	1	182.4606934	182.5925293	125	250
11	Spectrogram 1	1	182.4606934	182.5925293	125	250
12	Waveform 1	1	189.447998	189.513916	25	250
12	Spectrogram 1	1	189.447998	189.513916	25	250
13	Waveform 1	1	191.0300293	191.0959473	75	225
13	Spectrogram 1	1	191.0300293	191.0959473	75	225
14	Waveform 1	1	206.322998	206.388916	100	250
14	Spectrogram 1	1	206.322998	206.388916	100	250
15	Waveform 1	1	221.6159668	221.6818848	125	250
15	Spectrogram 1	1	221.6159668	221.6818848	125	250
17	Waveform 1	1	306.1887207	306.2546387	125	250
17	Spectrogram 1	1	306.1887207	306.2546387	125	250
19	Waveform 1	1	312.7145996	312.7805176	75	250
19	Spectrogram 1	1	312.7145996	312.7805176	75	250
21	Waveform 1	1	329.8532715	329.9191895	100	250
21	Spectrogram 1	1	329.8532715	329.9191895	100	250
23	Waveform 1	1	375.0070801	375.072998	75	250
23	Spectrogram 1	1	375.0070801	375.072998	75	250
26	Waveform 1	1	543.7570801	543.822998	50	250
26	Spectrogram 1	1	543.7570801	543.822998	50	250
27	Waveform 1	1	545.0754395	545.1413574	75	225
27	Spectrogram 1	1	545.0754395	545.1413574	75	225
28	Waveform 1	1	553.5129395	553.5788574	50	225
28	Spectrogram 1	1	553.5129395	553.5788574	50	225
29	Waveform 1	1	556.4133301	556.611084	75	250
29	Spectrogram 1	1	556.4133301	556.611084	75	250
30	Waveform 1	1	557.4020996	557.4680176	75	200
30	Spectrogram 1	1	557.4020996	557.4680176	75	200
31	Waveform 1	1	564.8508301	564.982666	75	200
31	Spectrogram 1	1	564.8508301	564.982666	75	200
32	Waveform 1	1	579.9460449	580.0119629	75	225
32	Spectrogram 1	1	579.9460449	580.0119629	75	225
33	Waveform 1	1	589.8996582	589.9655762	50	225
33	Spectrogram 1	1	589.8996582	589.9655762	50	225
34	Waveform 1	1	596.755127	596.8210449	75	225
34	Spectrogram 1	1	596.755127	596.8210449	75	225
35	Waveform 1	1	599.3918457	599.4577637	75	200
35	Spectrogram 1	1	599.3918457	599.4577637	75	200
36	Waveform 1	1	599.9851074	600.4465332	25	250
36	Spectrogram 1	1	599.9851074	600.4465332	25	250
39	Waveform 1	1	675.9885254	676.0544434	75	250
39	Spectrogram 1	1	675.9885254	676.0544434	75	250
40	Waveform 1	1	680.1413574	680.2731934	100	250
40	Spectrogram 1	1	680.1413574	680.2731934	100	250
41	Waveform 1	1	682.7121582	682.7780762	100	250
41	Spectrogram 1	1	682.7121582	682.7780762	100	250
42	Waveform 1	1	689.1721191	689.2380371	75	250
42	Spectrogram 1	1	689.1721191	689.2380371	75	250
43	Waveform 1	1	708.6838379	708.7497559	100	225
43	Spectrogram 1	1	708.6838379	708.7497559	100	225
44	Waveform 1	1	750.0144043	750.2121582	25	200
44	Spectrogram 1	1	750.0144043	750.2121582	25	200
45	Waveform 1	1	789.5651855	789.7629395	0	200
45	Spectrogram 1	1	789.5651855	789.7629395	0	200
47	Waveform 1	1	941.9675293	942.2312012	75	225
47	Spectrogram 1	1	941.9675293	942.2312012	75	225
48	Waveform 1	1	960.2268066	960.4245605	75	225
48	Spectrogram 1	1	960.2268066	960.4245605	75	225
49	Waveform 1	1	974.6628418	974.7946777	50	175
49	Spectrogram 1	1	974.6628418	974.7946777	50	175
50	Waveform 1	1	974.9924316	975.0583496	100	250
50	Spectrogram 1	1	974.9924316	975.0583496	100	250
51	Waveform 1	1	980.463623	980.529541	75	250
51	Spectrogram 1	1	980.463623	980.529541	75	250
52	Waveform 1	1	980.7932129	980.8591309	125	250
52	Spectrogram 1	1	980.7932129	980.8591309	125	250
54	Waveform 1	1	990.6809082	990.8786621	50	225
54	Spectrogram 1	1	990.6809082	990.8786621	50	225
55	Waveform 1	1	994.7678223	994.8337402	125	250
55	Spectrogram 1	1	994.7678223	994.8337402	125	250
56	Waveform 1	1	1005.907959	1006.105713	25	250
56	Spectrogram 1	1	1005.907959	1006.105713	25	250
57	Waveform 1	1	1017.773193	1017.970947	25	200
57	Spectrogram 1	1	1017.773193	1017.970947	25	200
58	Waveform 1	1	1026.144775	1026.210693	125	250
58	Spectrogram 1	1	1026.144775	1026.210693	125	250
60	Waveform 1	1	1053.89624	1053.962158	100	250
60	Spectrogram 1	1	1053.89624	1053.962158	100	250
61	Waveform 1	1	1081.713623	1081.911377	75	200
61	Spectrogram 1	1	1081.713623	1081.911377	75	200
62	Waveform 1	1	1114.408936	1114.540771	75	200
62	Spectrogram 1	1	1114.408936	1114.540771	75	200
63	Waveform 1	1	1118.561768	1118.627686	100	250
63	Spectrogram 1	1	1118.561768	1118.627686	100	250
65	Waveform 1	1	1126.537842	1126.801514	50	200
65	Spectrogram 1	1	1126.537842	1126.801514	50	200
66	Waveform 1	1	1139.853271	1139.985107	75	200
66	Spectrogram 1	1	1139.853271	1139.985107	75	200
67	Waveform 1	1	1145.785889	1145.917725	75	250
67	Spectrogram 1	1	1145.785889	1145.917725	75	250
68	Waveform 1	1	1146.181396	1146.445068	25	175
68	Spectrogram 1	1	1146.181396	1146.445068	25	175
70	Waveform 1	1	1190.610107	1190.676025	125	250
70	Spectrogram 1	1	1190.610107	1190.676025	125	250
71	Waveform 1	1	1195.553955	1195.751709	25	150
71	Spectrogram 1	1	1195.553955	1195.751709	25	150
72	Waveform 1	1	1197.135986	1197.267822	50	225
72	Spectrogram 1	1	1197.135986	1197.267822	50	225
73	Waveform 1	1	1208.342041	1208.737549	75	250
73	Spectrogram 1	1	1208.342041	1208.737549	75	250
74	Waveform 1	1	1209.396729	1209.6604	25	150
74	Spectrogram 1	1	1209.396729	1209.6604	25	150
76	Waveform 1	1	1226.271729	1226.469482	50	175
76	Spectrogram 1	1	1226.271729	1226.469482	50	175
77	Waveform 1	1	1227.919678	1228.051514	50	175
77	Spectrogram 1	1	1227.919678	1228.051514	50	175
78	Waveform 1	1	1248.683838	1248.749756	125	250
78	Spectrogram 1	1	1248.683838	1248.749756	125	250
79	Waveform 1	1	1261.93335	1262.065186	50	200
79	Spectrogram 1	1	1261.93335	1262.065186	50	200
80	Waveform 1	1	1265.031494	1265.097412	25	250
80	Spectrogram 1	1	1265.031494	1265.097412	25	250
81	Waveform 1	1	1277.094482	1277.1604	75	250
81	Spectrogram 1	1	1277.094482	1277.1604	75	250
82	Waveform 1	1	1290.607666	1290.673584	100	250
82	Spectrogram 1	1	1290.607666	1290.673584	100	250
83	Waveform 1	1	1292.519287	1292.980713	50	250
83	Spectrogram 1	1	1292.519287	1292.980713	50	250
84	Waveform 1	1	1315.063232	1315.12915	75	250
84	Spectrogram 1	1	1315.063232	1315.12915	75	250
85	Waveform 1	1	1322.446045	1322.511963	125	250
85	Spectrogram 1	1	1322.446045	1322.511963	125	250
86	Waveform 1	1	1326.862549	1327.126221	50	200
86	Spectrogram 1	1	1326.862549	1327.126221	50	200
87	Waveform 1	1	1328.312744	1328.576416	25	250
87	Spectrogram 1	1	1328.312744	1328.576416	25	250
88	Waveform 1	1	1336.55249	1336.618408	0	200
88	Spectrogram 1	1	1336.55249	1336.618408	0	200
89	Waveform 1	1	1353.0979	1353.163818	125	250
89	Spectrogram 1	1	1353.0979	1353.163818	125	250
90	Waveform 1	1	1384.079346	1384.2771	25	175
90	Spectrogram 1	1	1384.079346	1384.2771	25	175
91	Waveform 1	1	1387.375244	1387.50708	25	175
91	Spectrogram 1	1	1387.375244	1387.50708	25	175
92	Waveform 1	1	1393.505615	1393.571533	125	250
92	Spectrogram 1	1	1393.505615	1393.571533	125	250
93	Waveform 1	1	1399.042725	1399.306396	25	225
93	Spectrogram 1	1	1399.042725	1399.306396	25	225
94	Waveform 1	1	1413.742432	1413.80835	25	250
94	Spectrogram 1	1	1413.742432	1413.80835	25	250
95	Waveform 1	1	1417.499756	1417.631592	25	225
95	Spectrogram 1	1	1417.499756	1417.631592	25	225
97	Waveform 1	1	1435.627197	1435.824951	25	225
97	Spectrogram 1	1	1435.627197	1435.824951	25	225
98	Waveform 1	1	1454.084229	1454.216064	25	200
98	Spectrogram 1	1	1454.084229	1454.216064	25	200
99	Waveform 1	1	1459.819092	1460.280518	25	225
99	Spectrogram 1	1	1459.819092	1460.280518	25	225
100	Waveform 1	1	1463.77417	1463.971924	25	175
100	Spectrogram 1	1	1463.77417	1463.971924	25	175
101	Waveform 1	1	1476.694092	1476.825928	100	250
101	Spectrogram 1	1	1476.694092	1476.825928	100	250
102	Waveform 1	1	1480.781006	1480.97876	100	225
102	Spectrogram 1	1	1480.781006	1480.97876	100	225
103	Waveform 1	1	1484.53833	1484.670166	100	250
103	Spectrogram 1	1	1484.53833	1484.670166	100	250
104	Waveform 1	1	1487.966064	1488.0979	50	200
104	Spectrogram 1	1	1487.966064	1488.0979	50	200
105	Waveform 1	1	1499.699463	1499.897217	50	225
105	Spectrogram 1	1	1499.699463	1499.897217	50	225
107	Waveform 1	1	1512.948975	1513.014893	0	250
107	Spectrogram 1	1	1512.948975	1513.014893	0	250
108	Waveform 1	1	1516.706299	1516.772217	100	250
108	Spectrogram 1	1	1516.706299	1516.772217	100	250
109	Waveform 1	1	1523.627686	1523.693604	100	250
109	Spectrogram 1	1	1523.627686	1523.693604	100	250
110	Waveform 1	1	1525.671143	1525.737061	125	250
110	Spectrogram 1	1	1525.671143	1525.737061	125	250
111	Waveform 1	1	1528.176025	1528.241943	75	250
111	Spectrogram 1	1	1528.176025	1528.241943	75	250
112	Waveform 1	1	1529.560303	1529.626221	125	250
112	Spectrogram 1	1	1529.560303	1529.626221	125	250
113	Waveform 1	1	1550.060791	1550.126709	100	250
