Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
2259	Spectrogram 1	1	18949.37231	18950.16333	75	550
1	Spectrogram 1	1	17.40209961	18.32495117	75	300
8	Spectrogram 1	1	94.65795898	95.31713867	65	300
9	Spectrogram 1	1	104.3479004	104.6774902	85	300
10	Spectrogram 1	1	104.6774902	104.8093262	150	300
12	Spectrogram 1	1	188.4592285	189.447998	135	350
13	Spectrogram 1	1	255.2341309	256.0251465	75	145
17	Spectrogram 1	1	323.1955566	323.9206543	75	165
19	Spectrogram 1	1	340.5319824	340.7297363	135	450
22	Spectrogram 1	1	349.2990723	349.826416	85	350
23	Spectrogram 1	1	366.1081543	366.2399902	85	350
25	Spectrogram 1	1	396.7600098	397.0895996	65	450
34	Spectrogram 1	1	578.9572754	579.4187012	65	350
35	Spectrogram 1	1	587.9880371	589.7019043	65	550
45	Spectrogram 1	1	656.0153809	656.6745605	65	450
79	Spectrogram 1	1	893.1223145	893.8474121	65	350
80	Spectrogram 1	1	899.5163574	899.7800293	85	350
81	Spectrogram 1	1	913.2932129	913.7546387	65	300
82	Spectrogram 1	1	918.6325684	919.0939941	85	300
83	Spectrogram 1	1	925.1584473	925.4221191	85	400
97	Spectrogram 1	1	1206.232666	1207.616943	65	300
98	Spectrogram 1	1	1230.75415	1230.951904	85	850
101	Spectrogram 1	1	1241.630615	1242.421631	75	450
109	Spectrogram 1	1	1414.467529	1415.192627	65	165
111	Spectrogram 1	1	1423.827881	1424.552979	65	250
112	Spectrogram 1	1	1429.36499	1429.628662	75	350
113	Spectrogram 1	1	1433.715576	1434.440674	105	165
114	Spectrogram 1	1	1438.857178	1439.516357	125	400
115	Spectrogram 1	1	1449.601807	1449.865479	200	600
116	Spectrogram 1	1	1484.604248	1484.736084	115	300
123	Spectrogram 1	1	1620.724854	1621.252197	65	300
128	Spectrogram 1	1	1640.038818	1641.357178	65	400
129	Spectrogram 1	1	1645.114502	1645.8396	125	650
136	Spectrogram 1	1	1808.327393	1808.986572	85	450
138	Spectrogram 1	1	1910.895752	1911.686768	75	450
139	Spectrogram 1	1	1928.364014	1928.891357	65	350
140	Spectrogram 1	1	1945.766357	1946.293701	115	400
141	Spectrogram 1	1	1954.072021	1954.665283	125	400
142	Spectrogram 1	1	1962.773193	1963.102783	115	400
143	Spectrogram 1	1	1971.540283	1971.803955	65	400
154	Spectrogram 1	1	2177.204346	2177.599854	65	300
155	Spectrogram 1	1	2185.707764	2186.894287	65	300
156	Spectrogram 1	1	2194.145264	2194.804443	65	550
157	Spectrogram 1	1	2202.648682	2203.505615	85	700
158	Spectrogram 1	1	2206.60376	2207.328857	75	300
159	Spectrogram 1	1	2211.1521	2211.415771	85	450
160	Spectrogram 1	1	2236.662354	2236.860107	85	450
161	Spectrogram 1	1	2236.860107	2237.123779	200	350
166	Spectrogram 1	1	2311.677002	2311.940674	85	450
167	Spectrogram 1	1	2320.18042	2320.773682	85	800
168	Spectrogram 1	1	2337.582764	2338.307861	95	400
169	Spectrogram 1	1	2394.799561	2394.865479	250	550
173	Spectrogram 1	1	2484.645752	2485.107178	75	450
181	Spectrogram 1	1	2732.826904	2733.486084	75	350
188	Spectrogram 1	1	2845.942139	2846.601318	85	450
