Selection	View	Chanel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	action
1	Waveform 1	1	13.8425293	13.90844727	200	450	n
1	Spectrogram 1	1	13.8425293	13.90844727	200	450	n
2	Waveform 1	1	22.93920898	23.00512695	200	750	n
2	Spectrogram 1	1	22.93920898	23.00512695	200	750	n
3	Waveform 1	1	48.25170898	48.31762695	135	700	n
3	Spectrogram 1	1	48.25170898	48.31762695	135	700	n
4	Waveform 1	1	66.24731445	66.64282227	105	300	y
4	Spectrogram 1	1	66.24731445	66.64282227	105	300	y
5	Waveform 1	1	79.62866211	79.82641602	150	850	y
5	Spectrogram 1	1	79.62866211	79.82641602	150	850	y
6	Waveform 1	1	86.02270508	86.6159668	95	850	y
6	Spectrogram 1	1	86.02270508	86.6159668	95	850	y
7	Waveform 1	1	89.18676758	89.31860352	200	650	y
7	Spectrogram 1	1	89.18676758	89.31860352	200	650	y
8	Waveform 1	1	92.54858398	92.74633789	150	850	y
8	Spectrogram 1	1	92.54858398	92.74633789	150	850	y
9	Waveform 1	1	95.77856445	95.84448242	450	850	y
9	Spectrogram 1	1	95.77856445	95.84448242	450	850	y
10	Waveform 1	1	96.04223633	96.43774414	65	500	n
10	Spectrogram 1	1	96.04223633	96.43774414	65	500	n
11	Waveform 1	1	99.07446289	99.20629883	150	850	y
11	Spectrogram 1	1	99.07446289	99.20629883	150	850	y
12	Waveform 1	1	102.2385254	102.3703613	250	600	y
12	Spectrogram 1	1	102.2385254	102.3703613	250	600	y
13	Waveform 1	1	124.255127	124.4528809	200	850	y
13	Spectrogram 1	1	124.255127	124.4528809	200	850	y
14	Waveform 1	1	127.2873535	127.4851074	150	700	y
14	Spectrogram 1	1	127.2873535	127.4851074	150	700	y
15	Waveform 1	1	145.8762207	146.0080566	200	500	y
15	Spectrogram 1	1	145.8762207	146.0080566	200	500	y
16	Waveform 1	1	156.2912598	156.6867676	75	350	n
16	Spectrogram 1	1	156.2912598	156.6867676	75	350	n
17	Waveform 1	1	164.7287598	165.6516113	115	450	n
17	Spectrogram 1	1	164.7287598	165.6516113	115	450	n
18	Waveform 1	1	196.8308105	197.7536621	85	165	n
18	Spectrogram 1	1	196.8308105	197.7536621	85	165	n
19	Waveform 1	1	217.5290527	217.5949707	550	850	n
19	Spectrogram 1	1	217.5290527	217.5949707	550	850	n
20	Waveform 1	1	221.8137207	221.8796387	105	850	n
20	Spectrogram 1	1	221.8137207	221.8796387	105	850	n
21	Waveform 1	1	240.5344238	240.6662598	500	650	y
21	Spectrogram 1	1	240.5344238	240.6662598	500	650	y
22	Waveform 1	1	241.9187012	242.0505371	150	500	n
22	Spectrogram 1	1	241.9187012	242.0505371	150	500	n
23	Waveform 1	1	244.357666	244.7531738	85	550	n
23	Spectrogram 1	1	244.357666	244.7531738	85	550	n
24	Waveform 1	1	305.661377	306.1228027	65	165	n
24	Spectrogram 1	1	305.661377	306.1228027	65	165	n
25	Waveform 1	1	316.9333496	317.9221191	65	135	n
25	Spectrogram 1	1	316.9333496	317.9221191	65	135	n
26	Waveform 1	1	351.3425293	351.7380371	65	165	n
26	Spectrogram 1	1	351.3425293	351.7380371	65	165	n
27	Waveform 1	1	363.8669434	364.1306152	115	600	y
27	Spectrogram 1	1	363.8669434	364.1306152	115	600	y
28	Waveform 1	1	369.5358887	370.1950684	85	165	n
28	Spectrogram 1	1	369.5358887	370.1950684	85	165	n
29	Waveform 1	1	370.1950684	370.3269043	150	400	y
29	Spectrogram 1	1	370.1950684	370.3269043	150	400	y
30	Waveform 1	1	374.4797363	374.5456543	95	125	n
30	Spectrogram 1	1	374.4797363	374.5456543	95	125	n
31	Waveform 1	1	374.5456543	374.8093262	65	650	y
31	Spectrogram 1	1	374.5456543	374.8093262	65	650	y
32	Waveform 1	1	376.5891113	377.380127	135	850	y
32	Spectrogram 1	1	376.5891113	377.380127	135	850	y
33	Waveform 1	1	388.9157715	388.9816895	75	850	n
33	Spectrogram 1	1	388.9157715	388.9816895	75	850	n
