Selection	View	Chanel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
4	Waveform 1	1	66.24731445	66.64282227	105	300
4	Spectrogram 1	1	66.24731445	66.64282227	105	300
5	Waveform 1	1	79.62866211	79.82641602	150	850
5	Spectrogram 1	1	79.62866211	79.82641602	150	850
6	Waveform 1	1	86.02270508	86.6159668	95	850
6	Spectrogram 1	1	86.02270508	86.6159668	95	850
7	Waveform 1	1	89.18676758	89.31860352	200	650
7	Spectrogram 1	1	89.18676758	89.31860352	200	650
8	Waveform 1	1	92.54858398	92.74633789	150	850
8	Spectrogram 1	1	92.54858398	92.74633789	150	850
9	Waveform 1	1	95.77856445	95.84448242	450	850
9	Spectrogram 1	1	95.77856445	95.84448242	450	850
11	Waveform 1	1	99.07446289	99.20629883	150	850
11	Spectrogram 1	1	99.07446289	99.20629883	150	850
12	Waveform 1	1	102.2385254	102.3703613	250	600
12	Spectrogram 1	1	102.2385254	102.3703613	250	600
13	Waveform 1	1	124.255127	124.4528809	200	850
13	Spectrogram 1	1	124.255127	124.4528809	200	850
14	Waveform 1	1	127.2873535	127.4851074	150	700
14	Spectrogram 1	1	127.2873535	127.4851074	150	700
15	Waveform 1	1	145.8762207	146.0080566	200	500
15	Spectrogram 1	1	145.8762207	146.0080566	200	500
21	Waveform 1	1	240.5344238	240.6662598	500	650
21	Spectrogram 1	1	240.5344238	240.6662598	500	650
27	Waveform 1	1	363.8669434	364.1306152	115	600
27	Spectrogram 1	1	363.8669434	364.1306152	115	600
29	Waveform 1	1	370.1950684	370.3269043	150	400
29	Spectrogram 1	1	370.1950684	370.3269043	150	400
31	Waveform 1	1	374.5456543	374.8093262	65	650
31	Spectrogram 1	1	374.5456543	374.8093262	65	650
32	Waveform 1	1	376.5891113	377.380127	135	850
32	Spectrogram 1	1	376.5891113	377.380127	135	850
35	Waveform 1	1	397.1555176	397.3532715	95	400
35	Spectrogram 1	1	397.1555176	397.3532715	95	400
44	Waveform 1	1	499.9216309	500.0534668	200	850
44	Spectrogram 1	1	499.9216309	500.0534668	200	850
45	Waveform 1	1	506.4475098	506.5793457	200	850
45	Spectrogram 1	1	506.4475098	506.5793457	200	850
46	Waveform 1	1	509.6774902	509.7434082	400	850
46	Spectrogram 1	1	509.6774902	509.7434082	400	850
47	Waveform 1	1	512.9733887	513.1052246	250	850
47	Spectrogram 1	1	512.9733887	513.1052246	250	850
49	Waveform 1	1	519.5651855	519.7629395	200	850
49	Spectrogram 1	1	519.5651855	519.7629395	200	850
55	Waveform 1	1	684.6237793	684.7556152	200	650
55	Spectrogram 1	1	684.6237793	684.7556152	200	650
56	Waveform 1	1	691.0178223	691.1496582	200	600
56	Spectrogram 1	1	691.0178223	691.1496582	200	600
57	Waveform 1	1	694.1818848	694.3137207	200	750
57	Spectrogram 1	1	694.1818848	694.3137207	200	750
58	Waveform 1	1	697.4777832	697.6096191	300	850
58	Spectrogram 1	1	697.4777832	697.6096191	300	850
59	Waveform 1	1	700.7736816	700.9714355	125	850
59	Spectrogram 1	1	700.7736816	700.9714355	125	850
60	Waveform 1	1	704.0036621	704.333252	75	850
60	Spectrogram 1	1	704.0036621	704.333252	75	850
61	Waveform 1	1	715.2097168	715.2756348	300	700
61	Spectrogram 1	1	715.2097168	715.2756348	300	700
64	Waveform 1	1	751.0031738	751.3327637	65	400
