Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
4	Spectrogram 1	1	8.041748047	8.305419922	150	700
8	Spectrogram 1	1	28.8059082	29.13549805	125	350
27	Spectrogram 1	1	63.87426758	64.07202148	200	450
41	Spectrogram 1	1	90.50512695	90.70288086	150	500
99	Spectrogram 1	1	202.8293457	202.9611816	200	700
105	Spectrogram 1	1	213.3103027	213.8376465	105	450
111	Spectrogram 1	1	223.8571777	224.3186035	95	700
117	Spectrogram 1	1	241.3913574	241.7209473	135	850
125	Spectrogram 1	1	262.0895996	262.3532715	125	850
149	Spectrogram 1	1	321.3498535	321.6794434	65	350
166	Spectrogram 1	1	364.723877	364.9875488	125	700
192	Spectrogram 1	1	417.9196777	418.5129395	65	450
193	Spectrogram 1	1	418.6447754	419.567627	75	550
199	Spectrogram 1	1	429.1257324	429.3234863	150	400
266	Spectrogram 1	1	572.4313965	573.2883301	65	500
267	Spectrogram 1	1	582.8464355	583.4396973	75	850
293	Spectrogram 1	1	667.8806152	668.0783691	150	800
302	Spectrogram 1	1	692.6657715	693.654541	65	350
325	Spectrogram 1	1	767.6804199	767.9440918	75	500
326	Spectrogram 1	1	769.4602051	769.9875488	95	500
328	Spectrogram 1	1	775.5905762	775.920166	75	750
330	Spectrogram 1	1	798.6618652	799.255127	65	135
331	Spectrogram 1	1	805.517334	806.2424316	65	350
332	Spectrogram 1	1	808.4177246	809.2087402	65	165
333	Spectrogram 1	1	810.3293457	811.0544434	65	250
335	Spectrogram 1	1	817.9099121	818.5031738	65	400
336	Spectrogram 1	1	819.4260254	819.6896973	150	600
337	Spectrogram 1	1	823.0515137	823.1174316	85	600
354	Spectrogram 1	1	891.2106934	892.067627	95	500
360	Spectrogram 1	1	913.5568848	914.5456543	65	400
377	Spectrogram 1	1	961.4133301	961.8747559	105	500
381	Spectrogram 1	1	971.6306152	971.9602051	150	650
386	Spectrogram 1	1	978.6838379	978.8156738	250	600
387	Spectrogram 1	1	982.0456543	982.2434082	150	400
399	Spectrogram 1	1	1003.468994	1003.666748	150	400
406	Spectrogram 1	1	1015.861572	1016.322998	115	350
