Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	33.302905604	35.187134390	37.8	475.1
1	Spectrogram 1	1	33.302905604	35.187134390	37.8	475.1
2	Waveform 1	1	329.045611803	330.375462976	59.9	298.2
2	Spectrogram 1	1	329.045611803	330.375462976	59.9	298.2
3	Waveform 1	1	475.779592740	478.009049118	15.7	816.7
3	Spectrogram 1	1	475.779592740	478.009049118	15.7	816.7
4	Waveform 1	1	683.409353005	685.756149193	13.2	644.7
4	Spectrogram 1	1	683.409353005	685.756149193	13.2	644.7
5	Waveform 1	1	974.972608504	977.202064882	12.3	805.9
5	Spectrogram 1	1	974.972608504	977.202064882	12.3	805.9
6	Waveform 1	1	1044.657029690	1047.042939148	9.8	801.0
6	Spectrogram 1	1	1044.657029690	1047.042939148	9.8	801.0
7	Waveform 1	1	1157.076829177	1158.797813047	56.5	407.9
7	Spectrogram 1	1	1157.076829177	1158.797813047	56.5	407.9
8	Waveform 1	1	1191.872213709	1193.475857771	31.9	688.0
8	Spectrogram 1	1	1191.872213709	1193.475857771	31.9	688.0
9	Waveform 1	1	1305.348071480	1306.677922653	78.6	535.6
9	Spectrogram 1	1	1305.348071480	1306.677922653	78.6	535.6
10	Waveform 1	1	1737.778317448	1738.482356304	71.3	275.2
10	Spectrogram 1	1	1737.778317448	1738.482356304	71.3	275.2
11	Waveform 1	1	1750.411903590	1750.998602637	95.8	670.8
11	Spectrogram 1	1	1750.411903590	1750.998602637	95.8	670.8
12	Waveform 1	1	1756.581574958	1757.637633243	86.0	975.4
12	Spectrogram 1	1	1756.581574958	1757.637633243	86.0	975.4
13	Waveform 1	1	2066.680572390	2067.971310294	49.1	282.6
13	Spectrogram 1	1	2066.680572390	2067.971310294	49.1	282.6
14	Waveform 1	1	2073.056035366	2074.033867111	68.8	452.1
14	Spectrogram 1	1	2073.056035366	2074.033867111	68.8	452.1
15	Waveform 1	1	2079.509724882	2080.448443357	61.4	520.9
15	Spectrogram 1	1	2079.509724882	2080.448443357	61.4	520.9
16	Waveform 1	1	2094.971310294	2095.988255308	61.4	265.4
16	Spectrogram 1	1	2094.971310294	2095.988255308	61.4	265.4
17	Waveform 1	1	2210.872190791	2212.123815425	49.1	314.5
17	Spectrogram 1	1	2210.872190791	2212.123815425	49.1	314.5
18	Waveform 1	1	2217.052087418	2218.069032433	39.3	336.6
18	Spectrogram 1	1	2217.052087418	2218.069032433	39.3	336.6
19	Waveform 1	1	2219.762746878	2221.209937860	114.2	719.4
19	Spectrogram 1	1	2219.762746878	2221.209937860	114.2	719.4
20	Waveform 1	1	2223.322054429	2224.456339253	126.3	559.1
20	Spectrogram 1	1	2223.322054429	2224.456339253	126.3	559.1
21	Waveform 1	1	2237.441944824	2238.576229648	110.2	605.2
21	Spectrogram 1	1	2237.441944824	2238.576229648	110.2	605.2
22	Waveform 1	1	2250.603621143	2251.659679428	75.9	639.9
22	Spectrogram 1	1	2250.603621143	2251.659679428	75.9	639.9
23	Waveform 1	1	2253.693569457	2254.827854281	104.1	338.4
23	Spectrogram 1	1	2253.693569457	2254.827854281	104.1	338.4
24	Waveform 1	1	2268.724908901	2269.428947757	149.7	410.0
24	Spectrogram 1	1	2268.724908901	2269.428947757	149.7	410.0
25	Waveform 1	1	2271.736630675	2272.597122610	97.6	368.8
25	Spectrogram 1	1	2271.736630675	2272.597122610	97.6	368.8
26	Waveform 1	1	2286.885309928	2288.488953990	91.1	310.2
26	Spectrogram 1	1	2286.885309928	2288.488953990	91.1	310.2
27	Waveform 1	1	2289.975258242	2290.835750177	80.3	377.4
27	Spectrogram 1	1	2289.975258242	2290.835750177	80.3	377.4
28	Waveform 1	1	2330.977808827	2331.720960953	130.2	579.2
28	Spectrogram 1	1	2330.977808827	2331.720960953	130.2	579.2
29	Waveform 1	1	2334.302436759	2335.475834853	97.6	514.1
29	Spectrogram 1	1	2334.302436759	2335.475834853	97.6	514.1
30	Waveform 1	1	2349.920475250	2350.663627376	86.8	561.8
30	Spectrogram 1	1	2349.920475250	2350.663627376	86.8	561.8
31	Waveform 1	1	2353.205989912	2354.222934927	108.5	613.9
31	Spectrogram 1	1	2353.205989912	2354.222934927	108.5	613.9
32	Waveform 1	1	2369.097821292	2369.958313227	86.8	872.0
32	Spectrogram 1	1	2369.097821292	2369.958313227	86.8	872.0
33	Waveform 1	1	2372.226882875	2374.104319825	91.1	683.3
33	Spectrogram 1	1	2372.226882875	2374.104319825	91.1	683.3
34	Waveform 1	1	2388.732682727	2389.475834853	173.5	644.3
34	Spectrogram 1	1	2388.732682727	2389.475834853	173.5	644.3
35	Waveform 1	1	2391.900857580	2392.722236245	199.6	720.2
35	Spectrogram 1	1	2391.900857580	2392.722236245	199.6	720.2
36	Waveform 1	1	2408.418501276	2409.396333021	88.9	633.4
36	Spectrogram 1	1	2408.418501276	2409.396333021	88.9	633.4
37	Waveform 1	1	2411.860469017	2412.799187492	73.8	713.7
37	Spectrogram 1	1	2411.860469017	2412.799187492	73.8	713.7
38	Waveform 1	1	2428.769245411	2429.590624077	106.3	574.8
38	Spectrogram 1	1	2428.769245411	2429.590624077	106.3	574.8
39	Waveform 1	1	2432.093873344	2433.462837786	80.3	559.7
39	Spectrogram 1	1	2432.093873344	2433.462837786	80.3	559.7
40	Waveform 1	1	2520.787343648	2523.212366375	30.4	379.6
40	Spectrogram 1	1	2520.787343648	2523.212366375	30.4	379.6
41	Waveform 1	1	2527.201919894	2528.766450686	41.2	377.4
41	Spectrogram 1	1	2527.201919894	2528.766450686	41.2	377.4
42	Waveform 1	1	2530.604774366	2531.699945920	52.1	331.9
42	Spectrogram 1	1	2530.604774366	2531.699945920	52.1	331.9
43	Waveform 1	1	2533.980359412	2535.349323855	26.0	193.1
43	Spectrogram 1	1	2533.980359412	2535.349323855	26.0	193.1
44	Waveform 1	1	2549.938573487	2551.659557357	47.7	208.2
44	Spectrogram 1	1	2549.938573487	2551.659557357	47.7	208.2
45	Waveform 1	1	2564.735233312	2565.517498708	119.3	594.4
45	Spectrogram 1	1	2564.735233312	2565.517498708	119.3	594.4
46	Waveform 1	1	2567.903408165	2569.037692989	86.8	603.0
46	Spectrogram 1	1	2567.903408165	2569.037692989	86.8	603.0
47	Waveform 1	1	2583.431376272	2584.487434556	141.0	566.2
47	Spectrogram 1	1	2583.431376272	2584.487434556	141.0	566.2
48	Waveform 1	1	2586.521324585	2587.499156330	130.2	629.1
48	Spectrogram 1	1	2586.521324585	2587.499156330	130.2	629.1
49	Waveform 1	1	2603.273647900	2604.173253105	110.6	605.2
49	Spectrogram 1	1	2603.273647900	2604.173253105	110.6	605.2
50	Waveform 1	1	2606.520049293	2607.224088149	136.7	544.5
50	Spectrogram 1	1	2606.520049293	2607.224088149	136.7	544.5
51	Waveform 1	1	2622.333654133	2623.233259338	125.8	605.2
51	Spectrogram 1	1	2622.333654133	2623.233259338	125.8	605.2
52	Waveform 1	1	2625.775621874	2626.636113810	121.5	564.0
52	Spectrogram 1	1	2625.775621874	2626.636113810	121.5	564.0
53	Waveform 1	1	2642.254152300	2643.153757506	136.7	442.5
