Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
317	Waveform 1	1	1054.093994	1054.22583	450	750
317	Spectrogram 1	1	1054.093994	1054.22583	450	750
5	Waveform 1	1	12.9855957	13.11743164	250	800
5	Spectrogram 1	1	12.9855957	13.11743164	250	800
6	Waveform 1	1	13.11743164	13.24926758	200	300
6	Spectrogram 1	1	13.11743164	13.24926758	200	300
7	Waveform 1	1	13.44702148	13.64477539	500	800
7	Spectrogram 1	1	13.44702148	13.64477539	500	800
8	Waveform 1	1	13.8425293	13.90844727	95	700
8	Spectrogram 1	1	13.8425293	13.90844727	95	700
9	Waveform 1	1	16.47924805	17.07250977	65	850
9	Spectrogram 1	1	16.47924805	17.07250977	65	850
13	Waveform 1	1	42.38500977	42.45092773	500	850
13	Spectrogram 1	1	42.38500977	42.45092773	500	850
17	Waveform 1	1	57.54614258	57.74389648	115	300
17	Spectrogram 1	1	57.54614258	57.74389648	115	300
18	Waveform 1	1	69.21362305	69.27954102	85	500
18	Spectrogram 1	1	69.21362305	69.27954102	85	500
28	Waveform 1	1	153.588623	155.0388184	75	300
28	Spectrogram 1	1	153.588623	155.0388184	75	300
30	Waveform 1	1	167.9587402	168.2224121	95	350
30	Spectrogram 1	1	167.9587402	168.2224121	95	350
33	Waveform 1	1	184.8996582	185.8225098	65	550
33	Spectrogram 1	1	184.8996582	185.8225098	65	550
37	Waveform 1	1	202.5327148	202.8952637	65	165
37	Spectrogram 1	1	202.5327148	202.8952637	65	165
38	Waveform 1	1	202.8952637	203.2248535	105	550
38	Spectrogram 1	1	202.8952637	203.2248535	105	550
41	Waveform 1	1	218.8474121	219.6384277	95	165
41	Spectrogram 1	1	218.8474121	219.6384277	95	165
44	Waveform 1	1	223.7912598	223.9890137	250	800
44	Spectrogram 1	1	223.7912598	223.9890137	250	800
45	Waveform 1	1	223.9890137	224.2526855	135	450
45	Spectrogram 1	1	223.9890137	224.2526855	135	450
52	Waveform 1	1	272.3728027	272.5046387	600	750
52	Spectrogram 1	1	272.3728027	272.5046387	600	750
53	Waveform 1	1	272.5705566	273.2297363	75	600
53	Spectrogram 1	1	272.5705566	273.2297363	75	600
56	Waveform 1	1	282.392334	282.458252	95	750
56	Spectrogram 1	1	282.392334	282.458252	95	750
57	Waveform 1	1	282.458252	282.7219238	125	400
57	Spectrogram 1	1	282.458252	282.7219238	125	400
58	Waveform 1	1	282.7219238	282.8537598	300	850
58	Spectrogram 1	1	282.7219238	282.8537598	300	850
59	Waveform 1	1	282.8537598	282.9855957	200	600
59	Spectrogram 1	1	282.8537598	282.9855957	200	600
63	Waveform 1	1	291.3571777	291.6208496	200	750
63	Spectrogram 1	1	291.3571777	291.6208496	200	750
66	Waveform 1	1	316.142334	316.3400879	400	850
66	Spectrogram 1	1	316.142334	316.3400879	400	850
67	Waveform 1	1	316.3400879	316.4719238	95	700
67	Spectrogram 1	1	316.3400879	316.4719238	95	700
68	Waveform 1	1	316.4719238	317.0651855	125	500
68	Spectrogram 1	1	316.4719238	317.0651855	125	500
69	Waveform 1	1	320.9543457	321.1520996	85	800
69	Spectrogram 1	1	320.9543457	321.1520996	85	800
70	Waveform 1	1	321.1520996	322.8659668	125	350
70	Spectrogram 1	1	321.1520996	322.8659668	125	350
75	Waveform 1	1	337.9611816	338.9499512	65	450
75	Spectrogram 1	1	337.9611816	338.9499512	65	450
76	Waveform 1	1	344.4870605	345.8054199	65	250
76	Spectrogram 1	1	344.4870605	345.8054199	65	250
78	Waveform 1	1	351.3425293	352.1335449	75	250
78	Spectrogram 1	1	351.3425293	352.1335449	75	250
83	Waveform 1	1	371.1838379	372.3703613	65	500
83	Spectrogram 1	1	371.1838379	372.3703613	65	500
84	Waveform 1	1	375.8640137	376.4572754	65	300
84	Spectrogram 1	1	375.8640137	376.4572754	65	300
86	Waveform 1	1	380.4782715	380.6760254	95	300
86	Spectrogram 1	1	380.4782715	380.6760254	95	300
94	Waveform 1	1	406.3181152	406.713623	135	550
94	Spectrogram 1	1	406.3181152	406.713623	135	550
96	Waveform 1	1	416.4035645	417.326416	105	850
96	Spectrogram 1	1	416.4035645	417.326416	105	850
97	Waveform 1	1	417.326416	418.5788574	65	500
97	Spectrogram 1	1	417.326416	418.5788574	65	500
99	Waveform 1	1	438.354248	438.6179199	125	500
99	Spectrogram 1	1	438.354248	438.6179199	125	500
100	Waveform 1	1	438.6179199	438.8815918	75	850
100	Spectrogram 1	1	438.6179199	438.8815918	75	850
101	Waveform 1	1	438.8815918	439.2770996	95	550
101	Spectrogram 1	1	438.8815918	439.2770996	95	550
102	Waveform 1	1	451.4719238	451.8674316	65	350
102	Spectrogram 1	1	451.4719238	451.8674316	65	350
103	Waveform 1	1	462.8098145	463.0734863	95	850
103	Spectrogram 1	1	462.8098145	463.0734863	95	850
104	Waveform 1	1	463.0734863	463.732666	125	500
104	Spectrogram 1	1	463.0734863	463.732666	125	500
107	Waveform 1	1	487.7597656	488.979248	105	350
107	Spectrogram 1	1	487.7597656	488.979248	105	350
110	Waveform 1	1	501.767334	502.0310059	150	700
110	Spectrogram 1	1	501.767334	502.0310059	150	700
113	Waveform 1	1	516.1374512	516.3352051	65	800
113	Spectrogram 1	1	516.1374512	516.3352051	65	800
114	Waveform 1	1	516.3352051	516.532959	150	400
114	Spectrogram 1	1	516.3352051	516.532959	150	400
117	Waveform 1	1	524.7067871	524.970459	75	800
117	Spectrogram 1	1	524.7067871	524.970459	75	800
128	Waveform 1	1	553.8425293	554.369873	75	165
128	Spectrogram 1	1	553.8425293	554.369873	75	165
130	Waveform 1	1	560.2365723	561.6867676	95	300
130	Spectrogram 1	1	560.2365723	561.6867676	95	300
140	Waveform 1	1	641.5134277	641.7111816	85	550
140	Spectrogram 1	1	641.5134277	641.7111816	85	550
141	Waveform 1	1	641.7111816	641.9748535	65	750
141	Spectrogram 1	1	641.7111816	641.9748535	65	750
142	Waveform 1	1	641.9748535	642.5681152	125	165
142	Spectrogram 1	1	641.9748535	642.5681152	125	165
144	Waveform 1	1	650.4782715	651.7966309	65	350
144	Spectrogram 1	1	650.4782715	651.7966309	65	350
145	Waveform 1	1	655.4221191	656.4108887	65	300
145	Spectrogram 1	1	655.4221191	656.4108887	65	300
148	Waveform 1	1	660.6955566	661.3547363	65	300
148	Spectrogram 1	1	660.6955566	661.3547363	65	300
150	Waveform 1	1	665.3098145	665.5075684	65	650
150	Spectrogram 1	1	665.3098145	665.5075684	65	650
151	Waveform 1	1	665.5075684	666.232666	125	600
151	Spectrogram 1	1	665.5075684	666.232666	125	600
152	Waveform 1	1	670.0559082	671.0446777	65	350
152	Spectrogram 1	1	670.0559082	671.0446777	65	350
153	Waveform 1	1	672.692627	673.4836426	115	250
153	Spectrogram 1	1	672.692627	673.4836426	115	250
156	Waveform 1	1	674.802002	675.7907715	75	650
156	Spectrogram 1	1	674.802002	675.7907715	75	650
160	Waveform 1	1	688.7106934	688.9084473	115	800
160	Spectrogram 1	1	688.7106934	688.9084473	115	800
161	Waveform 1	1	688.9084473	689.1721191	150	400
161	Spectrogram 1	1	688.9084473	689.1721191	150	400
165	Waveform 1	1	707.1677246	707.9587402	85	400
165	Spectrogram 1	1	707.1677246	707.9587402	85	400
167	Waveform 1	1	711.9797363	712.1774902	85	400
167	Spectrogram 1	1	711.9797363	712.1774902	85	400
168	Waveform 1	1	712.1774902	712.3752441	250	750
168	Spectrogram 1	1	712.1774902	712.3752441	250	750
169	Waveform 1	1	712.4411621	712.8366699	75	600
169	Spectrogram 1	1	712.4411621	712.8366699	75	600
172	Waveform 1	1	722.1970215	723.4494629	75	250
172	Spectrogram 1	1	722.1970215	723.4494629	75	250
173	Waveform 1	1	723.4494629	723.6472168	85	800
173	Spectrogram 1	1	723.4494629	723.6472168	85	800
174	Waveform 1	1	723.6472168	724.1745605	125	350
174	Spectrogram 1	1	723.6472168	724.1745605	125	350
175	Waveform 1	1	728.0637207	728.5251465	85	300
175	Spectrogram 1	1	728.0637207	728.5251465	85	300
176	Waveform 1	1	740.6540527	741.2473145	65	850
176	Spectrogram 1	1	740.6540527	741.2473145	65	850
178	Waveform 1	1	745.0705566	745.6638184	65	350
178	Spectrogram 1	1	745.0705566	745.6638184	65	350
182	Waveform 1	1	750.3439941	750.673584	450	850
182	Spectrogram 1	1	750.3439941	750.673584	450	850
183	Waveform 1	1	750.673584	751.3986816	65	750
183	Spectrogram 1	1	750.673584	751.3986816	65	750
185	Waveform 1	1	762.2751465	762.3410645	500	750
185	Spectrogram 1	1	762.2751465	762.3410645	500	750
186	Waveform 1	1	762.3410645	763.1320801	85	800
186	Spectrogram 1	1	762.3410645	763.1320801	85	800
195	Waveform 1	1	786.0056152	786.401123	105	350
195	Spectrogram 1	1	786.0056152	786.401123	105	350
196	Waveform 1	1	786.401123	787.0603027	85	450
196	Spectrogram 1	1	786.401123	787.0603027	85	450
198	Waveform 1	1	798.9914551	799.8483887	105	165
198	Spectrogram 1	1	798.9914551	799.8483887	105	165
200	Waveform 1	1	806.0446777	806.2424316	250	850
200	Spectrogram 1	1	806.0446777	806.2424316	250	850
201	Waveform 1	1	806.2424316	806.5061035	150	450
201	Spectrogram 1	1	806.2424316	806.5061035	150	450
206	Waveform 1	1	824.2380371	824.369873	450	850
206	Spectrogram 1	1	824.2380371	824.369873	450	850
217	Waveform 1	1	862.2067871	862.338623	600	850
217	Spectrogram 1	1	862.2067871	862.338623	600	850
218	Waveform 1	1	862.8000488	863.1625977	115	135
218	Spectrogram 1	1	862.8000488	863.1625977	115	135
225	Waveform 1	1	905.9763184	906.0422363	65	800
225	Spectrogram 1	1	905.9763184	906.0422363	65	800
