Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
170	Waveform 1	1	1356.657471	1357.250732	65	165
170	Spectrogram 1	1	1356.657471	1357.250732	65	165
31	Waveform 1	1	210.3439941	210.4758301	65	450
31	Spectrogram 1	1	210.3439941	210.4758301	65	450
32	Waveform 1	1	210.4758301	211.2668457	125	350
32	Spectrogram 1	1	210.4758301	211.2668457	125	350
107	Waveform 1	1	398.0124512	398.407959	75	850
107	Spectrogram 1	1	398.0124512	398.407959	75	850
137	Waveform 1	1	623.8474121	624.3747559	65	300
137	Spectrogram 1	1	623.8474121	624.3747559	65	300
138	Waveform 1	1	624.5725098	625.5612793	65	125
138	Spectrogram 1	1	624.5725098	625.5612793	65	125
139	Waveform 1	1	630.0437012	630.5710449	65	500
139	Spectrogram 1	1	630.0437012	630.5710449	65	500
141	Waveform 1	1	722.6584473	723.7790527	65	165
141	Spectrogram 1	1	722.6584473	723.7790527	65	165
143	Waveform 1	1	728.9206543	729.3161621	65	165
143	Spectrogram 1	1	728.9206543	729.3161621	65	165
146	Waveform 1	1	756.902832	757.3312988	65	500
146	Spectrogram 1	1	756.902832	757.3312988	65	500
152	Waveform 1	1	930.036377	931.1569824	65	165
152	Spectrogram 1	1	930.036377	931.1569824	65	165
153	Waveform 1	1	936.7600098	937.6828613	75	135
153	Spectrogram 1	1	936.7600098	937.6828613	75	135
163	Waveform 1	1	1196.872314	1197.861084	65	250
163	Spectrogram 1	1	1196.872314	1197.861084	65	250
164	Waveform 1	1	1203.134521	1203.200439	95	135
164	Spectrogram 1	1	1203.134521	1203.200439	95	135
165	Waveform 1	1	1203.200439	1203.530029	65	300
165	Spectrogram 1	1	1203.200439	1203.530029	65	300
169	Waveform 1	1	1350.5271	1351.318115	75	135
169	Spectrogram 1	1	1350.5271	1351.318115	75	135
175	Waveform 1	1	1612.814697	1613.737549	65	165
175	Spectrogram 1	1	1612.814697	1613.737549	65	165
180	Waveform 1	1	1838.91333	1839.770264	65	165
180	Spectrogram 1	1	1838.91333	1839.770264	65	165
188	Waveform 1	1	2004.697021	2006.015381	65	350
188	Spectrogram 1	1	2004.697021	2006.015381	65	350
189	Waveform 1	1	2010.959229	2011.55249	65	300
189	Spectrogram 1	1	2010.959229	2011.55249	65	300
201	Waveform 1	1	2231.91626	2233.036865	65	400
201	Spectrogram 1	1	2231.91626	2233.036865	65	400
204	Waveform 1	1	2238.178467	2238.837646	65	165
204	Spectrogram 1	1	2238.178467	2238.837646	65	165
210	Waveform 1	1	2401.984619	2402.841553	65	145
210	Spectrogram 1	1	2401.984619	2402.841553	65	145
211	Waveform 1	1	2408.246826	2408.708252	75	165
211	Spectrogram 1	1	2408.246826	2408.708252	75	165
223	Waveform 1	1	2693.276123	2694.001221	65	250
223	Spectrogram 1	1	2693.276123	2694.001221	65	250
224	Waveform 1	1	2694.133057	2695.121826	65	125
224	Spectrogram 1	1	2694.133057	2695.121826	65	125
225	Waveform 1	1	2699.53833	2700.19751	65	350
225	Spectrogram 1	1	2699.53833	2700.19751	65	350
226	Waveform 1	1	2700.19751	2700.856689	85	450
226	Spectrogram 1	1	2700.19751	2700.856689	85	450
232	Waveform 1	1	2967.428955	2968.351807	65	300
232	Spectrogram 1	1	2967.428955	2968.351807	65	300
233	Waveform 1	1	2973.822998	2974.482178	65	165
233	Spectrogram 1	1	2973.822998	2974.482178	65	165
236	Waveform 1	1	3030.116943	3030.512451	65	350
236	Spectrogram 1	1	3030.116943	3030.512451	65	350
237	Waveform 1	1	3036.115479	3036.70874	65	165
237	Spectrogram 1	1	3036.115479	3036.70874	65	165
238	Waveform 1	1	3058.13208	3058.395752	65	300
238	Spectrogram 1	1	3058.13208	3058.395752	65	300
244	Waveform 1	1	3206.381592	3207.238525	65	350
244	Spectrogram 1	1	3206.381592	3207.238525	65	350
245	Waveform 1	1	3212.380127	3212.973389	65	300
245	Spectrogram 1	1	3212.380127	3212.973389	65	300
357	Waveform 1	1	3649.548096	3650.470947	65	300
357	Spectrogram 1	1	3649.548096	3650.470947	65	300
358	Waveform 1	1	3655.546631	3655.942139	115	165
358	Spectrogram 1	1	3655.546631	3655.942139	115	165
370	Waveform 1	1	3819.616455	3820.209717	65	145
370	Spectrogram 1	1	3819.616455	3820.209717	65	145
412	Waveform 1	1	3996.408447	3997.594971	75	300
412	Spectrogram 1	1	3996.408447	3997.594971	75	300
664	Waveform 1	1	4361.659912	4362.978271	85	300
664	Spectrogram 1	1	4361.659912	4362.978271	85	300
665	Waveform 1	1	4367.724365	4368.581299	65	165
665	Spectrogram 1	1	4367.724365	4368.581299	65	165
666	Waveform 1	1	4370.888428	4371.481689	65	165
666	Spectrogram 1	1	4370.888428	4371.481689	65	165
699	Waveform 1	1	4714.650635	4715.639404	65	350
699	Spectrogram 1	1	4714.650635	4715.639404	65	350
706	Waveform 1	1	4785.973877	4786.105713	115	300
706	Spectrogram 1	1	4785.973877	4786.105713	115	300
707	Waveform 1	1	4786.105713	4786.303467	65	650
707	Spectrogram 1	1	4786.105713	4786.303467	65	650
708	Waveform 1	1	4792.302002	4792.631592	65	450
708	Spectrogram 1	1	4792.302002	4792.631592	65	450
709	Waveform 1	1	4814.318604	4815.307373	65	165
709	Spectrogram 1	1	4814.318604	4815.307373	65	165
728	Waveform 1	1	5079.111084	5079.968018	65	350
728	Spectrogram 1	1	5079.111084	5079.968018	65	350
729	Waveform 1	1	5086.032471	5087.087158	85	165
729	Spectrogram 1	1	5086.032471	5087.087158	85	165
745	Waveform 1	1	5184.645752	5185.304932	65	300
745	Spectrogram 1	1	5184.645752	5185.304932	65	300
746	Waveform 1	1	5190.710205	5191.501221	65	750
746	Spectrogram 1	1	5190.710205	5191.501221	65	750
749	Waveform 1	1	5198.488525	5199.015869	65	300
749	Spectrogram 1	1	5198.488525	5199.015869	65	300
765	Waveform 1	1	5387.145752	5387.739014	65	300
765	Spectrogram 1	1	5387.145752	5387.739014	65	300
767	Waveform 1	1	5393.210205	5394.133057	75	165
767	Spectrogram 1	1	5393.210205	5394.133057	75	165
808	Waveform 1	1	5585.624756	5587.338623	65	165
808	Spectrogram 1	1	5585.624756	5587.338623	65	165
809	Waveform 1	1	5590.766357	5592.348389	65	165
809	Spectrogram 1	1	5590.766357	5592.348389	65	165
842	Waveform 1	1	5773.952393	5774.875244	65	300
842	Spectrogram 1	1	5773.952393	5774.875244	65	300
854	Waveform 1	1	5841.320557	5842.704834	85	165
854	Spectrogram 1	1	5841.320557	5842.704834	85	165
856	Waveform 1	1	5846.132568	5846.989502	125	165
856	Spectrogram 1	1	5846.132568	5846.989502	125	165
883	Waveform 1	1	6028.989014	6029.977783	65	165
883	Spectrogram 1	1	6028.989014	6029.977783	65	165
884	Waveform 1	1	6033.669189	6034.657959	65	250
884	Spectrogram 1	1	6033.669189	6034.657959	65	250
915	Waveform 1	1	6298.197998	6299.516357	65	165
915	Spectrogram 1	1	6298.197998	6299.516357	65	165
916	Waveform 1	1	6303.207764	6304.394287	65	165
916	Spectrogram 1	1	6303.207764	6304.394287	65	165
943	Waveform 1	1	6461.674561	6462.795166	85	165
943	Spectrogram 1	1	6461.674561	6462.795166	85	165
951	Waveform 1	1	6659.758057	6660.2854	105	350
951	Spectrogram 1	1	6659.758057	6660.2854	105	350
955	Waveform 1	1	6668.7229	6669.184326	105	450
955	Spectrogram 1	1	6668.7229	6669.184326	105	450
956	Waveform 1	1	6677.48999	6677.654785	65	400
956	Spectrogram 1	1	6677.48999	6677.654785	65	400
957	Waveform 1	1	6677.654785	6677.81958	95	300
957	Spectrogram 1	1	6677.654785	6677.81958	95	300
960	Waveform 1	1	6686.125244	6686.652588	125	350
960	Spectrogram 1	1	6686.125244	6686.652588	125	350
985	Waveform 1	1	7020.922607	7021.515869	105	650
985	Spectrogram 1	1	7020.922607	7021.515869	105	650
986	Waveform 1	1	7029.426025	7029.887451	125	350
986	Spectrogram 1	1	7029.426025	7029.887451	125	350
995	Waveform 1	1	7154.406494	7154.86792	65	500
995	Spectrogram 1	1	7154.406494	7154.86792	65	500
996	Waveform 1	1	7163.239502	7163.766846	65	450
996	Spectrogram 1	1	7163.239502	7163.766846	65	450
998	Waveform 1	1	7169.897217	7170.029053	135	650
998	Spectrogram 1	1	7169.897217	7170.029053	135	650
999	Waveform 1	1	7171.874756	7172.599854	65	400
999	Spectrogram 1	1	7171.874756	7172.599854	65	400
1001	Waveform 1	1	7180.312256	7181.169189	75	300
1001	Spectrogram 1	1	7180.312256	7181.169189	75	300
1002	Waveform 1	1	7189.2771	7189.936279	65	450
1002	Spectrogram 1	1	7189.2771	7189.936279	65	450
1003	Waveform 1	1	7198.176025	7198.571533	65	400
1003	Spectrogram 1	1	7198.176025	7198.571533	65	400
1005	Waveform 1	1	7215.446533	7216.501221	85	165
1005	Spectrogram 1	1	7215.446533	7216.501221	85	165
1018	Waveform 1	1	7471.537842	7471.999268	65	400
1018	Spectrogram 1	1	7471.537842	7471.999268	65	400
1020	Waveform 1	1	7480.04126	7481.030029	65	500
1020	Spectrogram 1	1	7480.04126	7481.030029	65	500
1021	Waveform 1	1	7489.006104	7490.126709	65	300
1021	Spectrogram 1	1	7489.006104	7490.126709	65	300
1024	Waveform 1	1	7497.443604	7498.564209	85	400
1024	Spectrogram 1	1	7497.443604	7498.564209	85	400
1033	Waveform 1	1	7593.420166	7593.749756	95	450
1033	Spectrogram 1	1	7593.420166	7593.749756	95	450
1034	Waveform 1	1	7602.187256	7602.912354	65	400
1034	Spectrogram 1	1	7602.187256	7602.912354	65	400
1035	Waveform 1	1	7610.888428	7611.020264	95	600
1035	Spectrogram 1	1	7610.888428	7611.020264	95	600
1037	Waveform 1	1	7619.325928	7619.787354	105	400
1037	Spectrogram 1	1	7619.325928	7619.787354	105	400
1038	Waveform 1	1	7627.69751	7628.422607	65	350
1038	Spectrogram 1	1	7627.69751	7628.422607	65	350
1041	Waveform 1	1	7644.57251	7644.704346	75	350
1041	Spectrogram 1	1	7644.57251	7644.704346	75	350
1047	Waveform 1	1	7725.981201	7726.574463	65	450
1047	Spectrogram 1	1	7725.981201	7726.574463	65	450
1049	Waveform 1	1	7734.814209	7735.605225	65	450
1049	Spectrogram 1	1	7734.814209	7735.605225	65	450
1050	Waveform 1	1	7743.449463	7743.581299	115	350
1050	Spectrogram 1	1	7743.449463	7743.581299	115	350
1051	Waveform 1	1	7743.581299	7744.635986	65	400
1051	Spectrogram 1	1	7743.581299	7744.635986	65	400
1052	Waveform 1	1	7751.952881	7752.94165	65	350
1052	Spectrogram 1	1	7751.952881	7752.94165	65	350
1053	Waveform 1	1	7760.785889	7761.37915	75	450
1053	Spectrogram 1	1	7760.785889	7761.37915	75	450
1054	Waveform 1	1	7786.955322	7787.68042	65	165
1054	Spectrogram 1	1	7786.955322	7787.68042	65	165
1059	Waveform 1	1	7910.02417	7910.947021	95	450
1059	Spectrogram 1	1	7910.02417	7910.947021	95	450
1060	Waveform 1	1	7919.186768	7920.043701	65	500
1060	Spectrogram 1	1	7919.186768	7920.043701	65	500
1061	Waveform 1	1	7927.887939	7928.415283	75	350
1061	Spectrogram 1	1	7927.887939	7928.415283	75	350
1062	Waveform 1	1	7931.711182	7932.436279	105	165
1062	Spectrogram 1	1	7931.711182	7932.436279	105	165
1063	Waveform 1	1	7936.391357	7937.116455	65	400
1063	Spectrogram 1	1	7936.391357	7937.116455	65	400
1064	Waveform 1	1	7944.828857	7945.619873	65	350
1064	Spectrogram 1	1	7944.828857	7945.619873	65	350
1065	Waveform 1	1	7953.200439	7954.189209	105	600
1065	Spectrogram 1	1	7953.200439	7954.189209	105	600
1077	Waveform 1	1	8100.19751	8100.593018	65	450
1077	Spectrogram 1	1	8100.19751	8100.593018	65	450
1078	Waveform 1	1	8108.898682	8109.689697	65	450
1078	Spectrogram 1	1	8108.898682	8109.689697	65	450
1079	Waveform 1	1	8117.4021	8118.061279	65	450
1079	Spectrogram 1	1	8117.4021	8118.061279	65	450
1081	Waveform 1	1	8125.8396	8126.366943	75	300
1081	Spectrogram 1	1	8125.8396	8126.366943	75	300
1082	Waveform 1	1	8127.355713	8128.278564	65	165
1082	Spectrogram 1	1	8127.355713	8128.278564	65	165
1083	Waveform 1	1	8134.408936	8134.804443	65	165
1083	Spectrogram 1	1	8134.408936	8134.804443	65	165
