Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Mooring
1	Waveform 1	1	21.908822421	22.518427092	68.8	682.2	AU-AWBS03_20151106_042730.wav	21.909	AW15_AU_BS3
1	Spectrogram 1	1	21.908822421	22.518427092	68.8	682.2	AU-AWBS03_20151106_042730.wav	21.909	AW15_AU_BS3
2	Waveform 1	1	28.614473803	29.039349786	58.7	498.0	AU-AWBS03_20151106_042730.wav	28.615	AW15_AU_BS3
2	Spectrogram 1	1	28.614473803	29.039349786	58.7	498.0	AU-AWBS03_20151106_042730.wav	28.615	AW15_AU_BS3
3	Waveform 1	1	31.507379992	32.098511795	145.7	485.8	AU-AWBS03_20151106_042730.wav	31.507	AW15_AU_BS3
3	Spectrogram 1	1	31.507379992	32.098511795	145.7	485.8	AU-AWBS03_20151106_042730.wav	31.507	AW15_AU_BS3
4	Waveform 1	1	34.740132036	35.238899494	107.3	629.6	AU-AWBS03_20151106_042730.wav	34.740	AW15_AU_BS3
4	Spectrogram 1	1	34.740132036	35.238899494	107.3	629.6	AU-AWBS03_20151106_042730.wav	34.740	AW15_AU_BS3
5	Waveform 1	1	47.467938653	47.948233243	125.5	589.1	AU-AWBS03_20151106_042730.wav	47.468	AW15_AU_BS3
5	Spectrogram 1	1	47.467938653	47.948233243	125.5	589.1	AU-AWBS03_20151106_042730.wav	47.468	AW15_AU_BS3
6	Waveform 1	1	71.013512184	71.623116855	76.9	666.0	AU-AWBS03_20151106_042730.wav	71.013	AW15_AU_BS3
6	Spectrogram 1	1	71.013512184	71.623116855	76.9	666.0	AU-AWBS03_20151106_042730.wav	71.013	AW15_AU_BS3
7	Waveform 1	1	77.405124796	77.793055041	111.3	564.8	AU-AWBS03_20151106_042730.wav	77.405	AW15_AU_BS3
7	Spectrogram 1	1	77.405124796	77.793055041	111.3	564.8	AU-AWBS03_20151106_042730.wav	77.405	AW15_AU_BS3
8	Waveform 1	1	91.160077851	91.455643753	58.7	591.1	AU-AWBS03_20151106_042730.wav	91.160	AW15_AU_BS3
8	Spectrogram 1	1	91.160077851	91.455643753	58.7	591.1	AU-AWBS03_20151106_042730.wav	91.160	AW15_AU_BS3
9	Waveform 1	1	138.084969093	138.620682289	70.9	629.6	AU-AWBS03_20151106_042730.wav	138.085	AW15_AU_BS3
9	Spectrogram 1	1	138.084969093	138.620682289	70.9	629.6	AU-AWBS03_20151106_042730.wav	138.085	AW15_AU_BS3
10	Waveform 1	1	144.254907279	144.901457688	52.6	664.0	AU-AWBS03_20151106_042730.wav	144.255	AW15_AU_BS3
10	Spectrogram 1	1	144.254907279	144.901457688	52.6	664.0	AU-AWBS03_20151106_042730.wav	144.255	AW15_AU_BS3
11	Waveform 1	1	172.049240638	172.621899572	97.2	562.8	AU-AWBS03_20151106_043000.wav	22.049	AW15_AU_BS3
