Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	Mooring
1	Waveform 1	1	33.302905604	35.187134390	37.8	475.1	33.303	AU-BS02a_20120619_151345.wav	BS12_AU_02a
1	Spectrogram 1	1	33.302905604	35.187134390	37.8	475.1	33.303	AU-BS02a_20120619_151345.wav	BS12_AU_02a
2	Waveform 1	1	329.045611803	330.375462976	59.9	298.2	104.046	AU-BS02a_20120621_080000.wav	BS12_AU_02a
2	Spectrogram 1	1	329.045611803	330.375462976	59.9	298.2	104.046	AU-BS02a_20120621_080000.wav	BS12_AU_02a
3	Waveform 1	1	475.779592740	478.009049118	15.7	816.7	25.780	AU-BS02a_20120630_071000.wav	BS12_AU_02a
3	Spectrogram 1	1	475.779592740	478.009049118	15.7	816.7	25.780	AU-BS02a_20120630_071000.wav	BS12_AU_02a
4	Waveform 1	1	683.409353005	685.756149193	13.2	644.7	8.409	AU-BS02a_20120630_071730.wav	BS12_AU_02a
4	Spectrogram 1	1	683.409353005	685.756149193	13.2	644.7	8.409	AU-BS02a_20120630_071730.wav	BS12_AU_02a
5	Waveform 1	1	974.972608504	977.202064882	12.3	805.9	149.973	AU-BS02a_20120630_072000.wav	BS12_AU_02a
5	Spectrogram 1	1	974.972608504	977.202064882	12.3	805.9	149.973	AU-BS02a_20120630_072000.wav	BS12_AU_02a
6	Waveform 1	1	1044.657029690	1047.042939148	9.8	801.0	219.657	AU-BS02a_20120630_072000.wav	BS12_AU_02a
6	Spectrogram 1	1	1044.657029690	1047.042939148	9.8	801.0	219.657	AU-BS02a_20120630_072000.wav	BS12_AU_02a
7	Waveform 1	1	1157.076829177	1158.797813047	56.5	407.9	107.077	AU-BS02a_20120701_230000.wav	BS12_AU_02a
7	Spectrogram 1	1	1157.076829177	1158.797813047	56.5	407.9	107.077	AU-BS02a_20120701_230000.wav	BS12_AU_02a
8	Waveform 1	1	1191.872213709	1193.475857771	31.9	688.0	141.872	AU-BS02a_20120701_230000.wav	BS12_AU_02a
8	Spectrogram 1	1	1191.872213709	1193.475857771	31.9	688.0	141.872	AU-BS02a_20120701_230000.wav	BS12_AU_02a
9	Waveform 1	1	1305.348071480	1306.677922653	78.6	535.6	30.348	AU-BS02a_20120702_040730.wav	BS12_AU_02a
9	Spectrogram 1	1	1305.348071480	1306.677922653	78.6	535.6	30.348	AU-BS02a_20120702_040730.wav	BS12_AU_02a
10	Waveform 1	1	1737.778317448	1738.482356304	71.3	275.2	87.778	AU-BS02a_20120709_053000.wav	BS12_AU_02a
10	Spectrogram 1	1	1737.778317448	1738.482356304	71.3	275.2	87.778	AU-BS02a_20120709_053000.wav	BS12_AU_02a
11	Waveform 1	1	1750.411903590	1750.998602637	95.8	670.8	100.412	AU-BS02a_20120709_053000.wav	BS12_AU_02a
11	Spectrogram 1	1	1750.411903590	1750.998602637	95.8	670.8	100.412	AU-BS02a_20120709_053000.wav	BS12_AU_02a
12	Waveform 1	1	1756.581574958	1757.637633243	86.0	975.4	106.582	AU-BS02a_20120709_053000.wav	BS12_AU_02a
12	Spectrogram 1	1	1756.581574958	1757.637633243	86.0	975.4	106.582	AU-BS02a_20120709_053000.wav	BS12_AU_02a
