Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-AWBS02-151013-020000.wav	216.289	216.454	0.165	66.2	420.5	354.3	80.0	start pattern
2	Spectrogram 1	1	AU-AWBS02-151013-020000.wav	216.825	217.072	0.247	66.2	559.6	493.4	128.0	
3	Spectrogram 1	1	AU-AWBS02-151013-020000.wav	225.979	226.144	0.165	66.2	493.4	427.2	96.0	
4	Spectrogram 1	1	AU-AWBS02-151013-020000.wav	226.474	226.680	0.206	77.8	478.5	400.7	288.0	
5	Spectrogram 1	1	AU-AWBS02-151013-020000.wav	231.134	231.299	0.165	59.6	556.3	496.7	160.0	
6	Spectrogram 1	1	AU-AWBS02-151013-020000.wav	231.588	231.794	0.206	56.3	572.8	516.6	128.0	
7	Spectrogram 1	1	AU-AWBS02-151013-020000.wav	236.165	236.371	0.206	72.8	655.6	582.8	96.0	
8	Spectrogram 1	1	AU-AWBS02-151013-020000.wav	236.660	236.907	0.247	69.5	622.5	553.0	256.0	
9	Spectrogram 1	1	AU-AWBS02-151013-020000.wav	241.320	241.526	0.206	56.3	549.7	493.4	288.0	
10	Spectrogram 1	1	AU-AWBS02-151013-020000.wav	241.856	242.062	0.206	59.6	549.7	490.1	240.0	
11	Spectrogram 1	1	AU-AWBS02-151013-020000.wav	246.433	246.639	0.206	72.8	599.3	526.5	288.0	
12	Spectrogram 1	1	AU-AWBS02-151013-020000.wav	246.969	247.175	0.206	82.8	586.1	503.3	208.0	
13	Spectrogram 1	1	AU-AWBS02-151013-020000.wav	251.546	251.753	0.206	69.5	612.6	543.0	176.0	
14	Spectrogram 1	1	AU-AWBS02-151013-020000.wav	252.124	252.330	0.206	62.9	609.3	546.4	240.0	
15	Spectrogram 1	1	AU-AWBS02-151013-020000.wav	256.866	257.072	0.206	79.5	503.3	423.8	176.0	
16	Spectrogram 1	1	AU-AWBS02-151013-020000.wav	257.361	257.608	0.247	79.5	506.6	427.2	176.0	
17	Spectrogram 1	1	AU-AWBS02-151013-020000.wav	451.670	451.918	0.247	76.2	1258.3	1182.1	112.0	start pattern
18	Spectrogram 1	1	AU-AWBS02-151013-020000.wav	452.289	452.536	0.247	62.9	1036.4	973.5	224.0	
