Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	112.206	112.454	0.247	45.2	683.9	638.7	88.0	start pattern A
2	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	113.196	113.526	0.330	26.5	683.3	656.7	96.0	
3	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	114.268	114.515	0.247	43.1	683.3	640.1	96.0	
4	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	115.216	115.546	0.330	63.0	679.9	616.9	104.0	
5	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	116.165	116.495	0.330	66.3	693.2	626.9	88.0	
6	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	117.196	117.526	0.330	63.0	679.9	616.9	104.0	
7	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	118.186	118.515	0.330	49.8	686.6	636.8	104.0	
8	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	119.258	119.546	0.289	66.3	693.2	626.9	88.0	
9	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	120.289	120.577	0.289	63.0	699.8	636.8	104.0	
10	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	121.278	121.567	0.289	56.4	703.2	646.8	96.0	
11	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	122.227	122.557	0.330	69.7	706.5	636.8	112.0	
12	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	123.299	123.629	0.330	66.3	713.1	646.8	120.0	
13	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	125.402	126.392	0.990	145.9	195.7	49.8	160.0	DS
14	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	128.866	129.196	0.330	56.4	650.1	593.7	88.0	start pattern
15	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	129.856	130.227	0.371	49.8	653.4	603.6	88.0	
16	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	130.928	131.258	0.330	46.4	660.0	613.6	96.0	
17	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	131.959	132.289	0.330	53.1	689.9	636.8	96.0	
18	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	132.990	133.361	0.371	53.1	673.3	620.2	104.0	
19	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	134.062	134.351	0.289	53.1	696.5	643.4	104.0	
20	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	135.093	135.423	0.330	53.1	713.1	660.0	104.0	
21	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	136.165	136.495	0.330	46.4	703.2	656.7	96.0	
22	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	137.237	137.567	0.330	53.1	1558.9	1505.8	96.0	
23	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	138.268	138.639	0.371	56.4	1552.2	1495.9	96.0	
24	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	139.258	139.629	0.371	59.7	1568.8	1509.1	104.0	
25	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	140.330	140.619	0.289	56.4	1548.9	1492.5	104.0	
26	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	141.320	141.649	0.330	46.4	1565.5	1519.1	96.0	
27	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	142.392	142.722	0.330	63.0	1552.2	1489.2	104.0	
28	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	143.464	143.794	0.330	66.3	1552.2	1485.9	96.0	
29	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	144.454	144.742	0.289	59.7	1542.3	1482.6	112.0	
30	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	145.526	145.856	0.330	69.7	1545.6	1476.0	104.0	
31	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	146.598	146.928	0.330	66.3	1552.2	1485.9	632.0	
34	Spectrogram 1	1	AU-AWBS02-151014-220000.wav	149.278	150.557	1.278	145.9	228.9	82.9	168.0	
35	Spectrogram 1	1	AU-AWBS02-151014-221000.wav	769.278	769.526	0.247	59.7	676.6	616.9	96.0	start pattern - not first GS, they're too faint
36	Spectrogram 1	1	AU-AWBS02-151014-221000.wav	770.268	770.557	0.289	63.0	709.8	646.8	112.0	
37	Spectrogram 1	1	AU-AWBS02-151014-221000.wav	771.340	771.670	0.330	53.1	693.2	640.1	104.0	
38	Spectrogram 1	1	AU-AWBS02-151014-221000.wav	772.371	772.660	0.289	69.7	703.2	633.5	104.0	
39	Spectrogram 1	1	AU-AWBS02-151014-221000.wav	773.402	773.732	0.330	82.9	686.6	603.6	120.0	
