Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8090.320782858	8090.514831819	0.194	546.6	664.2	117.6	624.0	start pattern A
2	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8091.329837459	8091.485076628	0.155	512.0	1920.0	1408.0	624.0	
3	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8092.416511644	8092.571750814	0.155	377.1	1795.5	1418.4	624.0	
4	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8093.464376038	8093.619615207	0.155	429.0	1864.6	1435.7	624.0	
5	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8094.512240431	8094.667479600	0.155	467.0	1857.7	1390.7	624.0	
6	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8095.560104824	8095.715343994	0.155	461.8	1809.3	1347.5	624.0	
7	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8096.607969217	8096.763208387	0.155	463.6	1698.6	1235.0	624.0	
8	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8097.694643403	8097.849882572	0.155	529.3	1857.7	1328.4	640.0	
9	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8098.781317589	8099.014176343	0.233	480.9	1767.8	1286.9	624.0	
10	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8099.867991774	8100.062040736	0.194	487.8	1812.8	1325.0	640.0	
11	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8100.954665960	8101.148714922	0.194	501.6	1785.1	1283.5	656.0	
12	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8102.856345785	8103.865400386	1.009	148.8	235.2	86.5	192.0	DS
13	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8363.231517283	8363.425566245	0.194	449.7	1594.8	1145.1	672.0	start pattenr
14	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8364.279381677	8364.473430638	0.194	463.6	1712.4	1248.9	624.0	
15	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8365.366055862	8365.521295032	0.155	442.8	1826.6	1383.8	656.0	
16	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8366.413920256	8366.569159425	0.155	456.6	1726.3	1269.6	624.0	
17	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8367.422974857	8367.617023818	0.194	491.2	1729.7	1238.5	640.0	
18	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8368.470839250	8368.626078419	0.155	505.1	1740.1	1235.0	640.0	
19	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8369.596323228	8369.751562397	0.155	508.5	1729.7	1221.2	624.0	
20	Spectrogram 1	1	AU-AWBS03-130919-062000.wav	8371.498003053	8372.351818484	0.854	162.6	242.2	79.6	208.0	DS
21	Spectrogram 1	1	AU-AWBS03-130919-065000.wav	10118.064662642	10118.219901812	0.155	522.4	1709.0	1186.6	896.0	start pattern
22	Spectrogram 1	1	AU-AWBS03-130919-065000.wav	10119.073717243	10119.267766205	0.194	546.6	1733.2	1186.6	640.0	
23	Spectrogram 1	1	AU-AWBS03-130919-065000.wav	10120.160391429	10120.354440391	0.194	557.0	1781.6	1224.6	624.0	
24	Spectrogram 1	1	AU-AWBS03-130919-065000.wav	10121.324685199	10121.479924369	0.155	505.1	1781.6	1276.5	624.0	
25	Spectrogram 1	1	AU-AWBS03-130919-065000.wav	10122.372549592	10122.527788762	0.155	505.1	1778.2	1273.1	624.0	
26	Spectrogram 1	1	AU-AWBS03-130919-065000.wav	10123.420413986	10123.575653155	0.155	480.9	1760.9	1280.0	624.0	
27	Spectrogram 1	1	AU-AWBS03-130919-065000.wav	10124.468278379	10124.623517548	0.155	480.9	1785.1	1304.2	624.0	
28	Spectrogram 1	1	AU-AWBS03-130919-065000.wav	10125.477332980	10125.632572149	0.155	520.6	1802.4	1281.7	640.0	
29	Spectrogram 1	1	AU-AWBS03-130919-065000.wav	10126.564007166	10126.758056127	0.194	522.4	1781.6	1259.2	640.0	
30	Spectrogram 1	1	AU-AWBS03-130919-065000.wav	10127.650681351	10127.805920521	0.155	512.0	1771.2	1259.2	624.0	
31	Spectrogram 1	1	AU-AWBS03-130919-065000.wav	10128.698545745	10128.853784914	0.155	496.4	1753.9	1257.5	640.0	
32	Spectrogram 1	1	AU-AWBS03-130919-065000.wav	10129.746410138	10129.901649307	0.155	480.9	1750.5	1269.6	640.0	
33	Spectrogram 1	1	AU-AWBS03-130919-065000.wav	10130.833084324	10130.988323493	0.155	463.6	1805.8	1342.3	640.0	
34	Spectrogram 1	1	AU-AWBS03-130919-065000.wav	10131.919758509	10132.074997679	0.155	435.9	1760.9	1325.0	640.0	
35	Spectrogram 1	1	AU-AWBS03-130919-065000.wav	10133.006432695	10133.200481657	0.194	435.9	1740.1	1304.2	624.0	
36	Spectrogram 1	1	AU-AWBS03-130919-065000.wav	10134.015487296	10134.170726465	0.155	473.9	1760.9	1286.9	624.0	
37	Spectrogram 1	1	AU-AWBS03-130919-065000.wav	10135.645498574	10136.499314006	0.854	141.8	231.8	89.9	176.0	DS
