Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	4.540745704	4.695984874	0.155	76.1	743.8	667.7	80.0	start pattern D
2	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	5.103487693	5.375156240	0.272	65.7	633.1	567.4	96.0	
3	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	14.049144829	14.243193790	0.194	72.6	854.5	781.8	96.0	
4	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	14.592481922	14.825340676	0.233	86.5	813.0	726.5	144.0	
5	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	19.133227626	19.288466795	0.155	65.7	577.7	512.0	240.0	
6	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	19.637754926	19.870613680	0.233	69.2	577.7	508.5	80.0	
7	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	24.275525112	24.469574073	0.194	70.9	987.7	916.8	128.0	
8	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	24.838267101	25.032316062	0.194	62.3	508.5	446.3	112.0	
9	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	29.379012805	29.573061767	0.194	72.6	982.5	909.8	240.0	
10	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	29.883540105	30.116398859	0.233	69.2	449.7	380.5	176.0	
11	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	34.579524979	34.734764148	0.155	72.6	1075.9	1003.2	80.0	
12	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	35.122862072	35.316911034	0.194	76.1	927.1	851.0	96.0	
13	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	39.896466530	40.090515492	0.194	79.6	965.2	885.6	80.0	
14	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	40.498018312	40.692067273	0.194	77.8	864.9	787.0	80.0	
15	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	477.058168912	477.213408082	0.155	76.1	345.9	269.8	208.0	start pattern
16	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	477.601506005	477.795554967	0.194	72.6	757.6	685.0	80.0	
17	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	486.391923971	486.585972933	0.194	58.8	1241.9	1183.1	192.0	
18	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	486.954665960	487.187524714	0.233	62.3	1190.1	1127.8	96.0	
19	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	491.355751344	491.549800305	0.194	76.1	1055.1	979.0	256.0	
20	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	491.821468852	492.015517813	0.194	69.2	1034.4	965.2	96.0	
21	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	496.478643933	496.672692895	0.194	62.3	595.0	532.8	208.0	
22	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	496.983171234	497.216029988	0.233	69.2	612.3	543.1	192.0	
23	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	501.523916938	501.717965900	0.194	69.2	1715.9	1646.7	128.0	
24	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	502.106063823	502.261302992	0.155	62.3	529.3	467.0	96.0	
25	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	506.646809527	506.840858489	0.194	58.8	1584.4	1525.6	64.0	
26	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	507.073717243	507.306575997	0.233	55.4	1933.8	1878.5	160.0	
27	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	511.769702117	512.002560871	0.233	65.7	1075.9	1010.2	192.0	
28	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	512.235419625	512.468278379	0.233	65.7	1961.5	1895.8	288.0	
29	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	517.009024083	517.241882837	0.233	69.2	1051.7	982.5	80.0	
30	Spectrogram 1	1	AU-AWBS03-130918-205000.wav	517.513551384	517.746410138	0.233	72.6	1722.8	1650.2	208.0	
31	Spectrogram 1	1	AU-AWBS03-130918-210000.wav	792.325965635	792.481204804	0.155	72.6	397.8	325.2	80.0	start pattern
32	Spectrogram 1	1	AU-AWBS03-130918-210000.wav	792.869302727	793.063351689	0.194	51.9	588.1	536.2	96.0	
33	Spectrogram 1	1	AU-AWBS03-130918-210000.wav	801.601506005	801.756745174	0.155	69.2	909.8	840.6	80.0	
34	Spectrogram 1	1	AU-AWBS03-130918-210000.wav	802.106033305	802.300082267	0.194	62.3	1086.3	1024.0	96.0	
35	Spectrogram 1	1	AU-AWBS03-130918-210000.wav	806.627374114	806.821423075	0.194	64.0	1574.1	1510.1	64.0	
36	Spectrogram 1	1	AU-AWBS03-130918-210000.wav	807.112496518	807.345355272	0.233	62.3	1387.2	1325.0	64.0	
37	Spectrogram 1	1	AU-AWBS03-130918-210000.wav	811.614432430	811.808481392	0.194	72.6	1363.0	1290.4	192.0	
38	Spectrogram 1	1	AU-AWBS03-130918-210000.wav	812.118959730	812.313008692	0.194	72.6	934.1	861.4	256.0	
39	Spectrogram 1	1	AU-AWBS03-130918-210000.wav	816.752903868	817.024572414	0.272	55.4	1172.8	1117.4	144.0	
40	Spectrogram 1	1	AU-AWBS03-130918-210000.wav	817.335050753	817.567909507	0.233	65.7	636.5	570.8	112.0	
41	Spectrogram 1	1	AU-AWBS03-130918-210000.wav	821.836986665	822.031035627	0.194	65.7	1695.1	1629.4	128.0	
42	Spectrogram 1	1	AU-AWBS03-130918-210000.wav	822.322109069	822.516158031	0.194	69.2	1380.3	1311.1	192.0	
43	Spectrogram 1	1	AU-AWBS03-130918-210000.wav	826.998689047	827.192738009	0.194	62.3	1089.7	1027.5	64.0	
44	Spectrogram 1	1	AU-AWBS03-130918-210000.wav	827.503216347	827.736075102	0.233	62.3	951.4	889.1	192.0	
45	Spectrogram 1	1	AU-AWBS03-130918-210000.wav	1087.606719300	1087.761958469	0.155	74.4	749.0	674.6	320.0	start pattern
