Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	98.542	98.701	0.159	82.9	1751.2	1668.2	224.0	start pattern D
2	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	99.060	99.259	0.199	46.1	927.8	881.7	96.0	
3	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	108.064	108.223	0.159	73.7	1987.7	1914.0	80.0	
4	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	108.582	108.741	0.159	73.7	1993.9	1920.1	96.0	
5	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	113.219	113.418	0.199	30.7	1996.9	1966.2	80.0	
6	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	113.697	113.896	0.199	27.6	1996.9	1969.3	64.0	
7	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	118.359	118.598	0.239	61.4	1996.9	1935.5	64.0	
8	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	118.797	118.996	0.199	76.8	992.3	915.5	96.0	
9	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	123.378	123.578	0.199	49.2	1996.9	1947.8	160.0	
10	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	123.817	124.016	0.199	43.0	1990.8	1947.8	128.0	
11	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	128.438	128.637	0.199	61.4	1993.9	1932.4	256.0	
12	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	128.956	129.155	0.199	61.4	1990.8	1929.3	160.0	
13	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	133.498	133.697	0.199	61.4	1993.9	1932.4	400.0	
14	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	134.056	134.255	0.199	55.3	1996.9	1941.6	176.0	
15	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	138.837	139.036	0.199	49.2	1996.9	1947.8	64.0	
16	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	139.275	139.514	0.239	64.5	1993.9	1929.3	160.0	
17	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	144.096	144.255	0.159	73.7	1990.8	1917.1	80.0	
18	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	144.614	144.813	0.199	70.7	1996.9	1926.3	176.0	
19	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	322.311	322.510	0.199	67.6	722.0	654.4	96.0	start pattern
20	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	322.789	322.988	0.199	67.6	949.3	881.7	80.0	
21	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	331.849	332.048	0.199	58.4	1336.4	1278.0	176.0	
22	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	332.327	332.526	0.199	55.3	1619.0	1563.7	64.0	
23	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	336.948	337.147	0.199	64.5	1634.4	1569.9	288.0	
24	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	337.386	337.586	0.199	67.6	1993.9	1926.3	80.0	
25	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	341.968	342.207	0.239	58.4	1953.9	1895.5	144.0	
26	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	342.486	342.645	0.159	24.6	1990.8	1966.2	64.0	
27	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	347.068	347.227	0.159	55.3	1996.9	1941.6	304.0	
28	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	347.506	347.745	0.239	70.7	1926.3	1855.6	176.0	
29	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	352.167	352.367	0.199	25.0	1996.9	1972.0	176.0	
30	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	352.645	352.845	0.199	18.4	1993.9	1975.4	64.0	
31	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	357.347	357.506	0.159	53.0	1996.9	1943.8	176.0	
32	Spectrogram 1	1	AU-AWBS03-130919-210000.wav	357.825	357.984	0.159	49.9	1990.6	1940.7	304.0	
