Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-AWBS03-130920-024000.wav	1930.595042793	1930.789091754	0.194	402.0	695.9	293.9	608.0	start pattern A
2	Spectrogram 1	1	AU-AWBS03-130920-024000.wav	1931.642907186	1931.798146355	0.155	398.6	702.7	304.1	640.0	
3	Spectrogram 1	1	AU-AWBS03-130920-024000.wav	1932.690771579	1932.846010749	0.155	412.2	712.8	300.7	640.0	
4	Spectrogram 1	1	AU-AWBS03-130920-024000.wav	1933.738635972	1933.893875142	0.155	368.2	716.2	348.0	624.0	
5	Spectrogram 1	1	AU-AWBS03-130920-024000.wav	1934.825310158	1934.999954224	0.175	331.1	709.5	378.4	640.0	
6	Spectrogram 1	1	AU-AWBS03-130920-024000.wav	1935.873174551	1936.067223513	0.194	361.5	709.5	348.0	640.0	
7	Spectrogram 1	1	AU-AWBS03-130920-024000.wav	1936.998658529	1937.153897699	0.155	337.8	716.2	378.4	656.0	
8	Spectrogram 1	1	AU-AWBS03-130920-024000.wav	1938.124142507	1938.279381677	0.155	293.9	706.1	412.2	640.0	
9	Spectrogram 1	1	AU-AWBS03-130920-024000.wav	1939.133197108	1939.288436278	0.155	398.6	716.2	317.6	632.0	
10	Spectrogram 1	1	AU-AWBS03-130920-024000.wav	1940.258681086	1940.413920256	0.155	351.4	723.0	371.6	640.0	
11	Spectrogram 1	1	AU-AWBS03-130920-024000.wav	1941.345355272	1941.500594441	0.155	300.7	739.9	439.2	624.0	
12	Spectrogram 1	1	AU-AWBS03-130920-024000.wav	1942.393219665	1942.548458835	0.155	314.2	733.1	418.9	632.0	
13	Spectrogram 1	1	AU-AWBS03-130920-024000.wav	1943.518703643	1943.673942813	0.155	344.6	729.7	385.1	640.0	
14	Spectrogram 1	1	AU-AWBS03-130920-024000.wav	1944.644187621	1944.799426791	0.155	432.4	729.7	297.3	640.0	
15	Spectrogram 1	1	AU-AWBS03-130920-024000.wav	1946.817535993	1947.787780801	0.970	158.8	243.2	84.5	192.0	DS
16	Spectrogram 1	1	AU-AWBS03-130920-030000.wav	3221.510959995	3221.743818749	0.233	537.2	682.4	145.3	632.0	start pattern
17	Spectrogram 1	1	AU-AWBS03-130920-030000.wav	3222.520014596	3222.714063558	0.194	537.2	675.7	138.5	632.0	
18	Spectrogram 1	1	AU-AWBS03-130920-030000.wav	3223.606688782	3223.800737744	0.194	547.3	682.4	135.1	632.0	
19	Spectrogram 1	1	AU-AWBS03-130920-030000.wav	3224.732172760	3224.887411929	0.155	554.1	689.2	135.1	632.0	
20	Spectrogram 1	1	AU-AWBS03-130920-030000.wav	3225.818846946	3225.974086115	0.155	570.9	695.9	125.0	640.0	
21	Spectrogram 1	1	AU-AWBS03-130920-030000.wav	3226.866711339	3227.021950508	0.155	542.2	701.0	158.8	632.0	
22	Spectrogram 1	1	AU-AWBS03-130920-030000.wav	3227.914575732	3228.069814902	0.155	533.8	706.1	172.3	640.0	
23	Spectrogram 1	1	AU-AWBS03-130920-030000.wav	3229.040059710	3229.195298880	0.155	557.4	695.9	138.5	640.0	
24	Spectrogram 1	1	AU-AWBS03-130920-030000.wav	3230.126733896	3230.320782858	0.194	567.6	709.5	141.9	632.0	
25	Spectrogram 1	1	AU-AWBS03-130920-030000.wav	3231.174598289	3231.329837459	0.155	550.7	706.1	155.4	632.0	
26	Spectrogram 1	1	AU-AWBS03-130920-030000.wav	3232.300082267	3232.494131229	0.194	560.8	709.5	148.6	632.0	
27	Spectrogram 1	1	AU-AWBS03-130920-030000.wav	3233.347946660	3233.541995622	0.194	567.6	695.9	128.4	648.0	
28	Spectrogram 1	1	AU-AWBS03-130920-030000.wav	3234.415215950	3234.609264912	0.194	547.3	709.5	162.2	632.0	
29	Spectrogram 1	1	AU-AWBS03-130920-030000.wav	3235.560104824	3235.792963578	0.233	557.4	706.1	148.6	640.0	
30	Spectrogram 1	1	AU-AWBS03-130920-030000.wav	3238.548458835	3239.324654682	0.776	175.7	239.9	64.2	184.0	DS
31	Spectrogram 1	1	AU-AWBS03-130920-072000.wav	5456.018109202	5456.250967956	0.233	358.1	692.6	334.5	616.0	start pattern
32	Spectrogram 1	1	AU-AWBS03-130920-072000.wav	5456.988354011	5457.182402972	0.194	425.7	1141.9	716.2	648.0	
33	Spectrogram 1	1	AU-AWBS03-130920-072000.wav	5458.075028196	5458.269077158	0.194	530.4	851.4	320.9	648.0	
34	Spectrogram 1	1	AU-AWBS03-130920-072000.wav	5459.006463212	5459.200512174	0.194	537.2	766.9	229.7	640.0	
35	Spectrogram 1	1	AU-AWBS03-130920-072000.wav	5460.054327606	5460.209566775	0.155	466.2	763.5	297.3	656.0	
36	Spectrogram 1	1	AU-AWBS03-130920-072000.wav	5461.102191999	5461.296240961	0.194	503.4	756.8	253.4	648.0	
37	Spectrogram 1	1	AU-AWBS03-130920-072000.wav	5462.150056392	5462.344105354	0.194	530.4	729.7	199.3	560.0	
38	Spectrogram 1	1	AU-AWBS03-130920-072000.wav	5463.159110993	5463.353159955	0.194	506.8	723.0	216.2	648.0	
39	Spectrogram 1	1	AU-AWBS03-130920-072000.wav	5464.168165594	5464.323404764	0.155	473.0	766.9	293.9	640.0	
40	Spectrogram 1	1	AU-AWBS03-130920-072000.wav	5465.157815299	5465.351864261	0.194	545.6	731.4	185.8	656.0	
41	Spectrogram 1	1	AU-AWBS03-130920-072000.wav	5466.186274796	5466.380323758	0.194	547.3	699.3	152.0	648.0	
42	Spectrogram 1	1	AU-AWBS03-130920-072000.wav	5468.320813375	5469.097009222	0.776	162.2	236.5	74.3	176.0	DS
43	Spectrogram 1	1	AU-AWBS03-130920-073000.wav	6188.444986400	6188.677845154	0.233	510.1	689.2	179.1	640.0	start pattern
44	Spectrogram 1	1	AU-AWBS03-130920-073000.wav	6189.492850793	6189.725709548	0.233	537.2	706.1	168.9	640.0	
45	Spectrogram 1	1	AU-AWBS03-130920-073000.wav	6190.579524979	6190.773573941	0.194	533.8	712.8	179.1	640.0	
46	Spectrogram 1	1	AU-AWBS03-130920-073000.wav	6191.666199165	6191.899057919	0.233	560.8	702.7	141.9	640.0	
47	Spectrogram 1	1	AU-AWBS03-130920-073000.wav	6192.791683143	6193.024541897	0.233	550.7	719.6	168.9	632.0	
48	Spectrogram 1	1	AU-AWBS03-130920-073000.wav	6193.839547536	6194.033596498	0.194	523.6	729.7	206.1	648.0	
49	Spectrogram 1	1	AU-AWBS03-130920-073000.wav	6195.003841306	6195.197890268	0.194	537.2	743.2	206.1	640.0	
50	Spectrogram 1	1	AU-AWBS03-130920-073000.wav	6196.012895907	6196.245754661	0.233	554.1	702.7	148.6	640.0	
51	Spectrogram 1	1	AU-AWBS03-130920-073000.wav	6198.263863863	6199.078869503	0.815	172.3	250.0	77.7	184.0	DS
