Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-AWBS03-141209-004000.wav	569.922349898	570.116398859	0.194	34.6	1286.9	1252.3	96.0	start pattern B
2	Spectrogram 1	1	AU-AWBS03-141209-004000.wav	571.358312214	571.513551384	0.155	41.5	1037.8	996.3	48.0	
3	Spectrogram 1	1	AU-AWBS03-141209-004000.wav	572.949513701	573.104752870	0.155	48.4	892.5	844.1	144.0	
4	Spectrogram 1	1	AU-AWBS03-141209-004000.wav	576.248346050	576.442395012	0.194	38.1	1148.5	1110.5	304.0	
5	Spectrogram 1	1	AU-AWBS03-141209-004000.wav	577.723118159	577.878357328	0.155	24.2	1082.8	1058.6	32.0	
6	Spectrogram 1	1	AU-AWBS03-141209-004000.wav	579.430749022	579.585988192	0.155	31.1	1778.2	1747.0	304.0	
7	Spectrogram 1	1	AU-AWBS03-141209-004000.wav	580.789091754	580.944330924	0.155	38.1	954.8	916.8	432.0	
8	Spectrogram 1	1	AU-AWBS03-141209-004000.wav	582.729581371	582.884820541	0.155	38.1	2044.5	2006.5	144.0	
9	Spectrogram 1	1	AU-AWBS03-141209-004000.wav	584.243163273	584.398402442	0.155	31.1	1542.9	1511.8	160.0	
10	Spectrogram 1	1	AU-AWBS03-141209-004000.wav	586.028413721	586.222462682	0.194	41.5	2041.1	1999.6	592.0	
11	Spectrogram 1	1	AU-AWBS03-141209-004000.wav	587.580805415	587.736044584	0.155	45.0	1214.3	1169.3	128.0	
12	Spectrogram 1	1	AU-AWBS03-141209-004000.wav	589.327246070	589.521295032	0.194	45.0	2037.6	1992.6	704.0	
13	Spectrogram 1	1	AU-AWBS03-141209-004000.wav	590.840827972	590.996067141	0.155	45.0	1574.1	1529.1	704.0	
14	Spectrogram 1	1	AU-AWBS03-141209-004000.wav	592.470839250	592.626078419	0.155	34.6	1888.9	1854.3	704.0	
15	Spectrogram 1	1	AU-AWBS03-141209-004000.wav	594.023230944	594.178470113	0.155	41.5	1885.4	1843.9	704.0	
16	Spectrogram 1	1	AU-AWBS03-141209-004000.wav	595.614432430	595.769671599	0.155	34.6	2044.5	2009.9	448.0	
17	Spectrogram 1	1	AU-AWBS03-141209-004000.wav	598.618365289	598.851224043	0.233	39.8	1473.7	1433.9	96.0	
18	Spectrogram 1	1	AU-AWBS03-141209-005000.wav	602.033627015	602.188866185	0.155	41.5	1681.3	1639.8	144.0	end main phrase
19	Spectrogram 1	1	AU-AWBS03-141209-005000.wav	608.010335036	608.165574206	0.155	48.4	1847.4	1798.9	352.0	
20	Spectrogram 1	1	AU-AWBS03-141209-005000.wav	609.523916938	609.717965900	0.194	51.9	1999.6	1947.7	400.0	
21	Spectrogram 1	1	AU-AWBS03-141209-005000.wav	611.037498839	611.231547801	0.194	38.1	2041.1	2003.0	1008.0	
22	Spectrogram 1	1	AU-AWBS03-141209-005000.wav	612.551080741	612.745129702	0.194	48.4	2044.5	1996.1	1152.0	
