Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	272.018109202	272.212158164	0.194	45.0	1342.3	1297.3	96.0	start pattern B
2	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	273.454071519	273.609310688	0.155	65.7	1453.0	1387.2	144.0	
3	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	274.890033835	275.045273005	0.155	64.0	1340.5	1276.5	80.0	
4	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	278.421724939	278.654583693	0.233	58.8	1951.1	1892.3	96.0	
5	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	279.896497048	280.051736217	0.155	76.1	1947.7	1871.6	128.0	
6	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	281.604127911	281.798176873	0.194	48.4	1961.5	1913.1	96.0	
7	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	283.156519605	283.350568567	0.194	65.7	1940.8	1875.0	128.0	
8	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	284.922365157	285.116414118	0.194	69.2	1985.7	1916.5	80.0	
9	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	286.416542162	286.610591124	0.194	65.7	1255.8	1190.1	112.0	
10	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	288.201792610	288.395841571	0.194	45.0	2037.6	1992.6	80.0	
11	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	289.792994096	289.987043057	0.194	55.4	1792.0	1736.6	96.0	
12	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	291.578244544	291.733483713	0.155	38.1	2037.6	1999.6	112.0	
13	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	293.130636237	293.285875407	0.155	48.4	2037.6	1989.2	112.0	
14	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	294.799457308	294.954696478	0.155	51.9	2003.0	1951.1	128.0	
15	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	296.390658794	296.584707756	0.194	48.4	2041.1	1992.6	224.0	
16	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	298.059479865	298.214719035	0.155	62.3	2044.5	1982.3	272.0	
17	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	299.767110728	299.922349898	0.155	46.7	1726.3	1679.6	48.0	
18	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	302.871894116	303.065943078	0.194	72.6	2034.2	1961.5	96.0	
19	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	306.287155842	306.481204804	0.194	65.7	1971.9	1906.2	112.0	end main phrase
20	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	312.496722617	312.690771579	0.194	69.2	1906.2	1837.0	112.0	
21	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	314.126733896	314.320782858	0.194	69.2	1792.0	1722.8	128.0	
22	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	315.834364759	315.989603928	0.155	70.9	1887.1	1816.2	144.0	
23	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	317.541995622	317.736044584	0.194	51.9	2020.3	1968.4	128.0	
24	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	320.802018179	321.034876933	0.233	51.9	2020.3	1968.4	144.0	
25	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	324.566568037	324.799426791	0.233	62.3	1954.6	1892.3	64.0	
26	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	332.460534731	332.654583693	0.194	83.0	1892.3	1809.3	256.0	
27	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	334.168165594	334.401024348	0.233	65.7	1965.0	1899.2	80.0	
28	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	335.972820938	336.166869900	0.194	62.3	1895.8	1833.5	64.0	
29	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	337.699856698	337.893905659	0.194	76.1	2030.7	1954.6	272.0	
30	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	340.979284151	341.173333113	0.194	57.1	2039.4	1982.3	112.0	
31	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	344.530380150	344.724429112	0.194	69.2	2041.1	1971.9	112.0	
32	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	354.271638029	354.465686991	0.194	65.7	2034.2	1968.4	128.0	
33	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	356.018078684	356.212127646	0.194	58.8	1999.6	1940.8	64.0	
34	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	357.570470378	357.764519340	0.194	48.4	2044.5	1996.1	192.0	
35	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	360.714063558	360.908112520	0.194	51.9	2041.1	1989.2	112.0	
36	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	364.478613415	364.672662377	0.194	55.4	2041.1	1985.7	256.0	
37	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	376.820127381	377.014176343	0.194	48.4	1937.3	1888.9	64.0	
38	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	378.450138660	378.644187621	0.194	45.0	2041.1	1996.1	256.0	
39	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	381.671351424	381.904210178	0.233	62.3	2041.1	1978.8	272.0	
40	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	385.529099715	385.723148677	0.194	65.7	2037.6	1971.9	208.0	
41	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	396.861559080	397.055608041	0.194	62.3	1985.7	1923.5	64.0	
42	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	398.452760566	398.646809527	0.194	62.3	2044.5	1982.3	224.0	
43	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	401.712783123	401.906832084	0.194	58.8	2041.1	1982.3	96.0	
44	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	405.516142772	405.710191734	0.194	72.6	2041.1	1968.4	224.0	
45	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	416.266455252	416.460504214	0.194	91.7	1783.4	1691.7	128.0	
46	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	417.935276323	418.090515492	0.155	96.9	2030.7	1933.8	224.0	
47	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	419.642907186	419.914575732	0.272	76.1	2044.5	1968.4	208.0	
48	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	422.941739535	423.213408082	0.272	51.9	2044.5	1992.6	128.0	
49	Spectrogram 1	1	AU-AWBS03-150620-230000.wav	426.551050223	426.783908977	0.233	65.7	2013.4	1947.7	80.0	end pattern
50	Spectrogram 1	1	AU-AWBS03-150620-231000.wav	618.605408347	618.838267101	0.233	31.1	1881.9	1850.8	64.0	start pattern
51	Spectrogram 1	1	AU-AWBS03-150620-231000.wav	619.924941286	620.080180456	0.155	43.2	1698.6	1655.4	48.0	
52	Spectrogram 1	1	AU-AWBS03-150620-231000.wav	621.516142772	621.749001526	0.233	45.0	1709.0	1664.0	48.0	
53	Spectrogram 1	1	AU-AWBS03-150620-231000.wav	624.892594706	625.125453460	0.233	38.1	1709.0	1670.9	112.0	
54	Spectrogram 1	1	AU-AWBS03-150620-231000.wav	626.386771712	626.580820673	0.194	38.1	1397.6	1359.6	112.0	
55	Spectrogram 1	1	AU-AWBS03-150620-231000.wav	628.113807471	628.346666225	0.233	55.4	2037.6	1982.3	112.0	
56	Spectrogram 1	1	AU-AWBS03-150620-231000.wav	629.627389372	629.821438334	0.194	48.4	1414.9	1366.5	128.0	
57	Spectrogram 1	1	AU-AWBS03-150620-231000.wav	631.412639820	631.606688782	0.194	45.0	2037.6	1992.6	128.0	
58	Spectrogram 1	1	AU-AWBS03-150620-231000.wav	632.965031514	633.159080476	0.194	48.4	1290.4	1241.9	128.0	
59	Spectrogram 1	1	AU-AWBS03-150620-231000.wav	634.633852585	634.866711339	0.233	41.5	2041.1	1999.6	128.0	
60	Spectrogram 1	1	AU-AWBS03-150620-231000.wav	636.225054071	636.419103033	0.194	45.0	1760.9	1715.9	48.0	
61	Spectrogram 1	1	AU-AWBS03-150620-231000.wav	637.971494726	638.204353481	0.233	48.4	2034.2	1985.7	112.0	
62	Spectrogram 1	1	AU-AWBS03-150620-231000.wav	639.523886420	639.717935382	0.194	55.4	1885.4	1830.1	112.0	
63	Spectrogram 1	1	AU-AWBS03-150620-231000.wav	641.153897699	641.386756453	0.233	45.0	2003.0	1958.1	64.0	
64	Spectrogram 1	1	AU-AWBS03-150620-231000.wav	642.745099185	642.939148147	0.194	48.4	2016.9	1968.4	64.0	
65	Spectrogram 1	1	AU-AWBS03-150620-231000.wav	644.433325152	644.627374114	0.194	53.6	2029.0	1975.4	64.0	
