Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1094.786530883	1095.174628807	0.388	38.1	217.9	179.9	192.0	start pattern C
2	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1097.600240828	1097.949528959	0.349	48.4	235.2	186.8	208.0	
3	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1100.336331189	1100.724429112	0.388	41.5	256.0	214.5	192.0	
4	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1103.363494991	1103.751592915	0.388	27.7	231.8	204.1	208.0	
5	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1106.002560871	1106.545897964	0.543	27.7	224.9	197.2	160.0	
6	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1108.796865920	1109.262583428	0.466	45.0	238.7	193.7	192.0	
7	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1111.280692630	1111.707600346	0.427	41.5	256.0	214.5	192.0	
8	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1113.958568302	1114.307856433	0.349	34.6	245.6	211.0	128.0	
9	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1116.209536258	1116.636443973	0.427	31.1	249.1	217.9	208.0	
10	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1118.421694421	1118.887411929	0.466	34.6	242.2	207.6	192.0	
11	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1120.983140716	1121.448858224	0.466	27.7	228.3	200.6	160.0	
12	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1138.137068932	1138.292308102	0.155	32.9	1966.7	1933.8	128.0	start gs
13	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1141.994817223	1142.150056392	0.155	51.9	1473.7	1421.8	176.0	
14	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1145.817581769	1146.011630731	0.194	72.6	1477.2	1404.5	112.0	
15	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1149.523916938	1149.679156107	0.155	83.0	1446.1	1363.0	224.0	
16	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1153.346681484	1153.540730446	0.194	57.1	1527.4	1470.3	176.0	
17	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1157.188850926	1157.382899888	0.194	45.0	1473.7	1428.8	432.0	
18	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1161.050406669	1161.205645839	0.155	51.9	1511.8	1459.9	448.0	
19	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1164.970195696	1165.125434866	0.155	34.6	1494.5	1459.9	224.0	
20	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1168.851174931	1169.045223892	0.194	38.1	1660.5	1622.5	288.0	
21	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1172.670113429	1172.902972183	0.233	41.5	1795.5	1753.9	224.0	
22	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1176.512282871	1176.706331833	0.194	34.6	1971.9	1937.3	320.0	
23	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1180.393262106	1180.587311067	0.194	48.4	1598.3	1549.8	336.0	
24	Spectrogram 1	1	AU-AWBS03-151019-171000.wav	1184.119002171	1184.351860925	0.233	58.8	1920.0	1861.2	368.0	
