Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-AWBS03-151116-040000.wav	395.549	395.820	0.271	76.1	1394.2	1318.1	80.0	start pattern
2	Spectrogram 1	1	AU-AWBS03-151116-040000.wav	396.271	396.541	0.271	70.0	1296.8	1226.8	80.0	
3	Spectrogram 1	1	AU-AWBS03-151116-040000.wav	405.293	405.564	0.271	42.6	1287.7	1245.1	208.0	
4	Spectrogram 1	1	AU-AWBS03-151116-040000.wav	405.835	406.150	0.316	33.5	1281.6	1248.1	48.0	
5	Spectrogram 1	1	AU-AWBS03-151116-040000.wav	410.459	410.684	0.226	57.8	1062.4	1004.6	64.0	
6	Spectrogram 1	1	AU-AWBS03-151116-040000.wav	410.977	411.248	0.271	57.8	910.2	852.4	64.0	
7	Spectrogram 1	1	AU-AWBS03-151116-040000.wav	415.624	415.895	0.271	63.9	1065.4	1001.5	320.0	
8	Spectrogram 1	1	AU-AWBS03-151116-040000.wav	416.120	416.391	0.271	60.9	1010.7	949.8	240.0	
9	Spectrogram 1	1	AU-AWBS03-151116-040000.wav	420.722	420.992	0.271	51.8	1172.0	1120.2	64.0	
10	Spectrogram 1	1	AU-AWBS03-151116-040000.wav	421.263	421.534	0.271	57.8	1065.4	1007.6	176.0	
11	Spectrogram 1	1	AU-AWBS03-151116-040000.wav	425.820	426.090	0.271	39.6	1634.7	1595.1	240.0	
12	Spectrogram 1	1	AU-AWBS03-151116-040000.wav	426.316	426.541	0.226	67.0	1646.9	1579.9	176.0	
13	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	604.263	604.489	0.226	65.4	1949.8	1884.3	96.0	start pattern
14	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	604.737	604.962	0.226	63.9	1470.3	1406.4	64.0	
15	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	613.850	614.075	0.226	79.1	1987.8	1908.7	80.0	
16	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	614.391	614.662	0.271	79.1	1866.1	1786.9	80.0	
17	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	619.038	619.308	0.271	54.8	1254.2	1199.4	288.0	
18	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	619.534	619.805	0.271	60.9	1153.7	1092.8	64.0	
19	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	624.135	624.406	0.271	48.7	1911.7	1863.0	272.0	
20	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	624.677	624.947	0.271	54.8	1339.4	1284.6	64.0	
21	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	629.368	629.639	0.271	67.0	1902.6	1835.6	240.0	
22	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	629.910	630.180	0.271	68.5	1418.6	1350.1	208.0	
23	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	634.534	634.759	0.226	63.9	1318.1	1254.2	320.0	
24	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	635.008	635.278	0.271	67.0	1080.7	1013.7	272.0	
25	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	639.744	640.015	0.271	42.6	648.4	605.8	224.0	
26	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	640.241	640.511	0.271	51.8	633.2	581.4	224.0	
27	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	820.195	820.421	0.226	67.0	1646.9	1579.9	80.0	start pattern
28	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	820.737	821.008	0.271	67.0	1360.7	1293.8	96.0	
29	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	830.211	830.436	0.226	103.5	1997.0	1893.5	816.0	
30	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	830.752	831.023	0.271	91.3	1153.7	1062.4	128.0	
31	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	835.444	835.714	0.271	48.7	1920.9	1872.1	272.0	
32	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	835.985	836.256	0.271	39.6	1065.4	1025.9	128.0	
33	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	840.722	840.947	0.226	60.9	1586.0	1525.1	64.0	
34	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	841.173	841.444	0.271	70.0	1869.1	1799.1	592.0	
35	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	845.910	846.180	0.271	60.9	1388.1	1327.2	64.0	
36	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	846.451	846.722	0.271	54.8	888.9	834.1	144.0	
37	Spectrogram 1	1	AU-AWBS03-151116-041000.wav	851.188	851.459	0.271	51.8	1774.7	1723.0	176.0	
