Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-AWBS03-151130-230000.wav	496.015	496.241	0.226	42.6	1260.3	1217.7	288.0	start pattern D
2	Spectrogram 1	1	AU-AWBS03-151130-230000.wav	496.556	496.782	0.226	39.6	1044.1	1004.6	48.0	
3	Spectrogram 1	1	AU-AWBS03-151130-230000.wav	505.263	505.489	0.226	70.0	1726.0	1656.0	80.0	
4	Spectrogram 1	1	AU-AWBS03-151130-230000.wav	505.714	505.940	0.226	63.9	1540.3	1476.4	64.0	
5	Spectrogram 1	1	AU-AWBS03-151130-230000.wav	510.361	510.586	0.226	85.2	1135.5	1050.2	160.0	
6	Spectrogram 1	1	AU-AWBS03-151130-230000.wav	510.857	511.128	0.271	82.2	1065.4	983.3	96.0	
7	Spectrogram 1	1	AU-AWBS03-151130-230000.wav	515.504	515.729	0.226	42.6	1050.2	1007.6	48.0	
8	Spectrogram 1	1	AU-AWBS03-151130-230000.wav	516.045	516.271	0.226	60.9	895.0	834.1	144.0	
9	Spectrogram 1	1	AU-AWBS03-151130-230000.wav	520.511	520.737	0.226	82.2	538.8	456.6	96.0	
10	Spectrogram 1	1	AU-AWBS03-151130-230000.wav	521.008	521.233	0.226	70.0	1077.6	1007.6	80.0	
11	Spectrogram 1	1	AU-AWBS03-151130-230000.wav	525.654	525.880	0.226	54.8	1007.6	952.8	64.0	
12	Spectrogram 1	1	AU-AWBS03-151130-230000.wav	526.195	526.466	0.271	57.8	709.3	651.4	64.0	
13	Spectrogram 1	1	AU-AWBS03-151130-232000.wav	1472.075	1472.256	0.180	88.3	1558.6	1470.3	192.0	start pattern
14	Spectrogram 1	1	AU-AWBS03-151130-232000.wav	1472.571	1472.752	0.180	60.9	1068.5	1007.6	64.0	
15	Spectrogram 1	1	AU-AWBS03-151130-232000.wav	1481.098	1481.323	0.226	82.2	1601.2	1519.0	144.0	
16	Spectrogram 1	1	AU-AWBS03-151130-232000.wav	1481.594	1481.820	0.226	85.2	1187.2	1102.0	96.0	
17	Spectrogram 1	1	AU-AWBS03-151130-232000.wav	1486.150	1486.376	0.226	54.8	1832.6	1777.8	160.0	
18	Spectrogram 1	1	AU-AWBS03-151130-232000.wav	1486.692	1486.917	0.226	60.9	1506.8	1446.0	64.0	
19	Spectrogram 1	1	AU-AWBS03-151130-232000.wav	1491.248	1491.429	0.180	94.4	1552.5	1458.1	96.0	
20	Spectrogram 1	1	AU-AWBS03-151130-232000.wav	1491.699	1491.925	0.226	100.5	761.0	660.6	224.0	
21	Spectrogram 1	1	AU-AWBS03-151130-232000.wav	1496.211	1496.436	0.226	63.9	1920.9	1856.9	336.0	
22	Spectrogram 1	1	AU-AWBS03-151130-232000.wav	1496.662	1496.932	0.271	73.1	1421.6	1348.6	272.0	
23	Spectrogram 1	1	AU-AWBS03-151130-232000.wav	1501.353	1501.579	0.226	76.1	1923.9	1847.8	80.0	
24	Spectrogram 1	1	AU-AWBS03-151130-232000.wav	1501.850	1502.075	0.226	63.9	800.6	736.7	64.0	
25	Spectrogram 1	1	AU-AWBS03-151130-232000.wav	1506.158	1506.383	0.226	62.4	1461.2	1398.8	288.0	
26	Spectrogram 1	1	AU-AWBS03-151130-232000.wav	1506.632	1506.902	0.271	70.0	471.8	401.8	80.0	
27	Spectrogram 1	1	AU-AWBS03-151130-232000.wav	1511.143	1511.414	0.271	106.5	1016.7	910.2	112.0	
28	Spectrogram 1	1	AU-AWBS03-151130-232000.wav	1511.684	1511.955	0.271	94.4	983.3	888.9	96.0	
33	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	1880.752	1880.977	0.226	39.9	1528.1	1488.2	48.0	start pattern
34	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	1881.248	1881.474	0.226	84.1	1482.9	1398.8	176.0	
35	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	1890.135	1890.361	0.226	56.1	1660.4	1604.4	288.0	
36	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	1890.632	1890.857	0.226	49.8	1616.8	1567.0	304.0	
37	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	1895.323	1895.549	0.226	56.1	1523.4	1467.3	288.0	
38	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	1895.820	1896.045	0.226	65.4	1056.1	990.7	432.0	
39	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	1900.556	1900.782	0.226	74.8	1965.7	1891.0	608.0	
40	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	1901.120	1901.346	0.226	62.3	1405.0	1342.7	64.0	
41	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	1905.744	1905.970	0.226	81.0	1937.7	1856.7	592.0	
42	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	1906.308	1906.534	0.226	73.2	1676.0	1602.8	416.0	
43	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	1910.977	1911.203	0.226	65.4	1943.9	1878.5	432.0	
44	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	1911.474	1911.699	0.226	74.8	1426.8	1352.0	256.0	
45	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	2179.308	2179.579	0.271	81.0	887.9	806.9	288.0	start pattern
46	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	2179.850	2180.075	0.226	84.1	719.6	635.5	96.0	
47	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	2188.556	2188.827	0.271	87.2	1426.8	1339.6	176.0	
48	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	2189.053	2189.278	0.226	84.1	1202.5	1118.4	208.0	
49	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	2193.699	2193.880	0.180	71.7	881.6	810.0	128.0	
50	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	2194.241	2194.466	0.226	87.2	859.8	772.6	160.0	
51	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	2198.707	2198.977	0.271	87.2	1261.7	1174.5	96.0	
53	Spectrogram 1	1	AU-AWBS03-151130-233000.wav	2199.203	2199.474	0.271	71.7	1000.0	928.3	112.0	
