Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	115.286	115.511	0.226	71.5	817.4	745.8	80.0	start pattern B
2	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	116.571	116.752	0.180	54.8	1001.5	946.7	160.0	
3	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	118.105	118.286	0.180	36.5	1068.5	1032.0	96.0	
4	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	121.398	121.624	0.226	45.7	1068.5	1022.8	48.0	
5	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	122.752	122.977	0.226	67.0	1092.8	1025.9	128.0	
6	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	124.511	124.737	0.226	39.6	1920.9	1881.3	144.0	
7	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	126.000	126.180	0.180	51.8	1138.5	1086.8	144.0	
8	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	127.850	128.030	0.180	73.1	1902.6	1829.5	128.0	
9	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	129.293	129.474	0.180	100.5	1214.6	1114.2	128.0	
10	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	131.098	131.278	0.180	48.7	1987.8	1939.1	128.0	
11	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	132.541	132.722	0.180	67.0	1589.0	1522.1	112.0	
12	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	134.346	134.571	0.226	42.6	1997.0	1954.3	496.0	
13	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	135.835	136.015	0.180	57.8	934.6	876.7	112.0	
14	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	137.639	137.820	0.180	76.1	1997.0	1920.9	528.0	
15	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	139.128	139.308	0.180	97.4	1826.5	1729.1	112.0	
16	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	140.797	141.023	0.226	76.1	1817.4	1741.2	176.0	
17	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	142.331	142.556	0.226	91.3	1981.7	1890.4	816.0	
18	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	143.955	144.180	0.226	91.3	1987.8	1896.5	864.0	
19	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	147.068	147.293	0.226	54.8	1917.8	1863.0	112.0	
20	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	150.496	150.767	0.271	73.1	1738.2	1665.1	112.0	end main phrase
21	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	155.594	155.774	0.180	82.2	1482.5	1400.3	272.0	
22	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	157.218	157.398	0.180	60.9	1997.0	1936.1	256.0	
23	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	158.797	159.023	0.226	103.5	1997.0	1893.5	320.0	
24	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	160.466	160.647	0.180	91.3	1990.9	1899.5	1456.0	
25	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	162.045	162.316	0.271	63.9	1997.0	1933.0	240.0	
26	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	165.203	165.429	0.226	63.9	1997.0	1933.0	272.0	
27	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	168.722	168.902	0.180	76.1	1981.7	1905.6	464.0	
28	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	177.068	177.248	0.180	115.7	1872.1	1756.5	256.0	
29	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	178.692	178.872	0.180	118.7	1902.6	1783.9	144.0	
30	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	180.361	180.541	0.180	100.5	1902.6	1802.1	448.0	
31	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	181.895	182.120	0.226	73.1	1990.9	1917.8	256.0	
32	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	185.143	185.368	0.226	57.8	1997.0	1939.1	1376.0	
33	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	188.887	189.113	0.226	103.5	1993.9	1890.4	272.0	
34	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	198.135	198.316	0.180	161.3	1978.7	1817.4	288.0	
35	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	199.805	199.940	0.135	109.6	1997.0	1887.4	912.0	
36	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	201.429	201.609	0.180	73.1	1990.9	1917.8	304.0	
37	Spectrogram 1	1	AU-AWBS03-151203-060000.wav	204.632	204.812	0.180	88.3	1997.0	1908.7	272.0	end pattern
38	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	725.865	726.090	0.226	48.7	1719.9	1671.2	96.0	start pattern
39	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	727.218	727.444	0.226	73.1	1330.3	1257.2	96.0	
40	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	728.752	728.932	0.180	60.9	1360.7	1299.8	192.0	
41	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	732.000	732.226	0.226	73.1	1981.7	1908.7	288.0	
42	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	733.444	733.669	0.226	70.0	1470.3	1400.3	128.0	
43	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	735.158	735.338	0.180	53.3	1992.4	1939.1	128.0	
44	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	736.466	736.692	0.226	57.8	1336.4	1278.5	192.0	
45	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	738.406	738.586	0.180	27.4	1997.0	1969.6	320.0	
46	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	739.895	740.120	0.226	60.9	961.9	901.1	112.0	
47	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	741.654	741.880	0.226	94.4	1930.0	1835.6	464.0	
48	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	743.188	743.368	0.180	88.3	1178.1	1089.8	96.0	
49	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	744.947	745.218	0.271	54.8	1856.9	1802.1	528.0	
50	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	746.481	746.707	0.226	39.6	1534.2	1494.7	96.0	
51	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	748.241	748.466	0.226	76.1	1993.9	1917.8	480.0	
52	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	749.774	750.000	0.226	60.9	1799.1	1738.2	768.0	
53	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	751.263	751.444	0.180	73.1	1814.3	1741.2	768.0	
54	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	752.887	753.113	0.226	73.1	1960.4	1887.4	768.0	
55	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	756.068	756.293	0.226	41.1	1060.9	1019.8	96.0	
56	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	759.338	759.564	0.226	73.1	517.5	444.4	80.0	end main phrase
57	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	765.519	765.699	0.180	112.6	1984.8	1872.1	336.0	
58	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	767.098	767.323	0.226	74.1	1993.8	1919.8	320.0	
59	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	768.722	768.902	0.180	64.8	1990.7	1925.9	416.0	
60	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	770.256	770.481	0.226	55.6	1996.9	1941.4	880.0	
61	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	773.188	773.414	0.226	98.8	1996.9	1898.1	336.0	
62	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	776.481	776.707	0.226	83.3	1993.8	1910.5	816.0	
63	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	783.338	783.519	0.180	135.8	1925.9	1790.1	864.0	
64	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	785.008	785.188	0.180	83.3	1805.6	1722.2	528.0	
65	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	786.541	786.722	0.180	77.2	1663.6	1586.4	928.0	
66	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	788.165	788.346	0.180	92.6	1990.7	1898.1	864.0	
67	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	791.098	791.323	0.226	117.3	1996.9	1879.6	768.0	
68	Spectrogram 1	1	AU-AWBS03-151203-061000.wav	794.707	794.977	0.271	52.5	1996.9	1944.4	384.0	end pattern
69	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1349.910	1350.180	0.271	43.2	1518.5	1475.3	96.0	start pattern
70	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1351.083	1351.353	0.271	49.4	771.6	722.2	112.0	
71	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1352.752	1352.977	0.226	98.8	592.6	493.8	128.0	
72	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1356.090	1356.271	0.180	43.2	1833.3	1790.1	112.0	
73	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1357.534	1357.714	0.180	58.6	688.3	629.6	224.0	
74	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1359.293	1359.519	0.226	43.2	981.5	938.3	112.0	
75	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1360.782	1360.962	0.180	71.0	543.2	472.2	192.0	
76	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1362.586	1362.812	0.226	55.6	1969.1	1913.6	176.0	
77	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1364.120	1364.301	0.180	71.0	1293.2	1222.2	176.0	
78	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1365.902	1366.128	0.226	38.6	1300.9	1262.3	416.0	
79	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1367.368	1367.594	0.226	58.6	876.5	817.9	160.0	
80	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1369.218	1369.444	0.226	58.6	1996.9	1938.3	416.0	
81	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1370.752	1370.977	0.226	74.1	876.5	802.5	144.0	
82	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1372.466	1372.692	0.226	67.9	1969.1	1901.2	816.0	
83	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1374.090	1374.316	0.226	92.6	1138.9	1046.3	176.0	
84	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1375.669	1375.850	0.180	80.2	1808.6	1728.4	96.0	
85	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1377.158	1377.383	0.226	83.3	1959.9	1876.5	1008.0	
86	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1378.827	1379.053	0.226	58.6	1993.8	1935.2	912.0	
87	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1381.962	1382.188	0.226	46.3	1095.7	1049.4	96.0	
88	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1385.323	1385.594	0.271	94.1	1086.4	992.3	96.0	end main phrase - can't see terminal phrases
89	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1621.624	1621.850	0.226	61.7	1642.0	1580.2	96.0	start pattern
90	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1622.932	1623.113	0.180	89.5	1330.2	1240.7	96.0	
91	Spectrogram 1	1	AU-AWBS03-151203-062000.wav	1624.534	1624.759	0.226	81.8	1530.9	1449.1	96.0	
