Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-BS02a-090814-022351.wav	484.711757164	485.220230706	0.508	37.1	240.9	203.9	80.0	start pattern C
2	Spectrogram 1	1	AU-BS02a-090814-022351.wav	487.465988849	488.059207981	0.593	30.9	247.1	216.2	48.0	
3	Spectrogram 1	1	AU-BS02a-090814-022351.wav	490.661007466	491.381344984	0.720	18.5	250.2	231.7	48.0	
4	Spectrogram 1	1	AU-BS02a-090814-022351.wav	493.838967102	494.644050210	0.805	18.5	253.3	234.8	24.0	
5	Spectrogram 1	1	AU-BS02a-090814-022351.wav	496.423707606	497.059299534	0.636	30.9	244.0	213.1	48.0	
6	Spectrogram 1	1	AU-BS02a-090814-022351.wav	499.347430472	500.025395194	0.678	37.1	259.5	222.4	48.0	
7	Spectrogram 1	1	AU-BS02a-090814-022351.wav	502.271153337	502.949118059	0.678	24.7	234.8	210.1	32.0	
8	Spectrogram 1	1	AU-BS02a-090814-022351.wav	505.237248997	505.957586515	0.720	34.0	237.9	203.9	64.0	
9	Spectrogram 1	1	AU-BS02a-090814-022351.wav	508.372835838	509.093173356	0.720	24.7	247.1	222.4	48.0	
10	Spectrogram 1	1	AU-BS02a-090814-022351.wav	524.686361970	524.940598741	0.254	61.8	1677.3	1615.5	72.0	start gs
11	Spectrogram 1	1	AU-BS02a-090814-022351.wav	528.542286329	528.754150304	0.212	34.0	1804.0	1770.0	392.0	
12	Spectrogram 1	1	AU-BS02a-090814-022351.wav	532.228719507	532.440583482	0.212	52.5	1723.7	1671.1	472.0	
13	Spectrogram 1	1	AU-BS02a-090814-022351.wav	535.915152684	536.127016660	0.212	34.0	1766.9	1732.9	72.0	
14	Spectrogram 1	1	AU-BS02a-090814-022351.wav	539.686331453	539.898195428	0.212	52.5	1828.7	1776.2	168.0	
15	Spectrogram 1	1	AU-BS02a-090814-022351.wav	543.347450817	543.601687588	0.254	40.2	1862.7	1822.5	80.0	
16	Spectrogram 1	1	AU-BS02a-090814-022351.wav	547.118629585	547.372866356	0.254	47.9	872.6	824.8	216.0	
17	Spectrogram 1	1	AU-BS02a-090814-022351.wav	550.889808353	551.144045124	0.254	61.8	790.8	729.0	72.0	
18	Spectrogram 1	1	AU-BS02a-090814-022351.wav	554.533868736	554.788105507	0.254	21.6	611.6	590.0	72.0	
19	Spectrogram 1	1	AU-BS02a-090814-022351.wav	558.453352287	558.665216263	0.212	27.8	1022.5	994.7	72.0	
20	Spectrogram 1	1	AU-BS02a-090814-022351.wav	562.076226272	562.245717453	0.169	47.9	471.1	423.2	72.0	end pattenr
21	Spectrogram 1	1	AU-BS02a-090814-023454.wav	763.372866356	763.796594307	0.424	27.8	207.0	179.2	40.0	start pattern
