Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-BS02a-110729-032000.wav	169.173	169.694	0.521	58.2	238.9	180.7	188.0	start pattern. beautiful.
2	Spectrogram 1	1	AU-BS02a-110729-032000.wav	171.606	171.954	0.348	55.1	245.0	189.9	56.0	
3	Spectrogram 1	1	AU-BS02a-110729-032000.wav	174.039	174.560	0.521	70.4	242.0	171.5	188.0	
4	Spectrogram 1	1	AU-BS02a-110729-032000.wav	176.733	177.254	0.521	67.4	242.0	174.6	172.0	
5	Spectrogram 1	1	AU-BS02a-110729-032000.wav	179.340	179.861	0.521	55.1	242.0	186.8	188.0	
6	Spectrogram 1	1	AU-BS02a-110729-032000.wav	181.773	182.294	0.521	70.4	245.0	174.6	180.0	
7	Spectrogram 1	1	AU-BS02a-110729-032000.wav	184.293	184.901	0.608	45.9	217.5	171.5	52.0	
8	Spectrogram 1	1	AU-BS02a-110729-032000.wav	186.899	187.421	0.521	73.5	232.8	159.3	176.0	
9	Spectrogram 1	1	AU-BS02a-110729-032000.wav	189.593	190.114	0.521	73.5	235.8	162.3	164.0	
10	Spectrogram 1	1	AU-BS02a-110729-032000.wav	192.026	192.634	0.608	55.1	235.8	180.7	176.0	
11	Spectrogram 1	1	AU-BS02a-110729-032000.wav	195.762	196.371	0.608	55.1	229.7	174.6	104.0	
12	Spectrogram 1	1	AU-BS02a-110729-032000.wav	213.054	213.260	0.205	82.7	1779.5	1696.8	152.0	
13	Spectrogram 1	1	AU-BS02a-110729-032000.wav	216.762	217.008	0.246	67.4	1540.6	1473.2	152.0	
14	Spectrogram 1	1	AU-BS02a-110729-032000.wav	220.448	220.694	0.246	67.4	1966.3	1898.9	152.0	
15	Spectrogram 1	1	AU-BS02a-110729-032000.wav	224.196	224.442	0.246	70.4	1969.4	1898.9	128.0	
16	Spectrogram 1	1	AU-BS02a-110729-032000.wav	227.981	228.227	0.246	33.7	1608.0	1574.3	36.0	
17	Spectrogram 1	1	AU-BS02a-110729-032000.wav	231.729	232.098	0.369	39.8	1635.5	1595.7	40.0	
18	Spectrogram 1	1	AU-BS02a-110729-032000.wav	235.355	235.600	0.246	82.7	1638.6	1555.9	120.0	
19	Spectrogram 1	1	AU-BS02a-110729-032000.wav	239.287	239.533	0.246	76.6	1960.2	1883.6	180.0	
20	Spectrogram 1	1	AU-BS02a-110729-032000.wav	243.035	243.281	0.246	64.3	1758.0	1693.7	104.0	
21	Spectrogram 1	1	AU-BS02a-110729-032000.wav	246.967	247.213	0.246	58.2	1767.2	1709.0	568.0	
22	Spectrogram 1	1	AU-BS02a-110729-032000.wav	251.023	251.268	0.246	79.6	1871.4	1791.7	100.0	
23	Spectrogram 1	1	AU-BS02a-110729-032000.wav	254.832	255.078	0.246	61.3	1243.5	1182.2	84.0	
24	Spectrogram 1	1	AU-BS02a-110729-032000.wav	258.887	259.194	0.307	73.5	827.0	753.4	100.0	
25	Spectrogram 1	1	AU-BS02a-110729-032000.wav	262.512	262.820	0.307	55.1	585.0	529.9	100.0	
26	Spectrogram 1	1	AU-BS02a-110729-032000.wav	265.953	266.260	0.307	61.3	563.6	502.3	152.0	end main phrase
27	Spectrogram 1	1	AU-BS02a-110729-032000.wav	279.409	279.655	0.246	59.0	570.5	511.5	492.0	
28	Spectrogram 1	1	AU-BS02a-110729-032000.wav	283.157	283.403	0.246	82.0	629.5	547.5	152.0	
29	Spectrogram 1	1	AU-BS02a-110729-032000.wav	287.151	287.397	0.246	82.0	629.5	547.5	176.0	
30	Spectrogram 1	1	AU-BS02a-110729-032000.wav	306.628	306.813	0.184	72.1	1265.6	1193.4	408.0	
31	Spectrogram 1	1	AU-BS02a-110729-032000.wav	310.499	310.807	0.307	95.1	1432.8	1337.7	416.0	
32	Spectrogram 1	1	AU-BS02a-110729-032000.wav	314.309	314.616	0.307	68.9	1636.1	1567.2	416.0	
33	Spectrogram 1	1	AU-BS02a-110729-032000.wav	317.995	318.241	0.246	101.6	1721.3	1619.7	432.0	
34	Spectrogram 1	1	AU-BS02a-110729-032000.wav	322.051	322.296	0.246	85.2	1855.7	1770.5	432.0	
35	Spectrogram 1	1	AU-BS02a-110729-032000.wav	325.860	326.167	0.307	85.2	1206.6	1121.3	432.0	
36	Spectrogram 1	1	AU-BS02a-110729-032000.wav	344.829	345.136	0.307	91.8	1829.5	1737.7	516.0	
37	Spectrogram 1	1	AU-BS02a-110729-032000.wav	349.069	349.315	0.246	95.1	1675.4	1580.3	516.0	
38	Spectrogram 1	1	AU-BS02a-110729-032000.wav	353.185	353.493	0.307	98.4	1839.3	1741.0	432.0	
39	Spectrogram 1	1	AU-BS02a-110729-032000.wav	373.032	373.339	0.307	114.8	1567.2	1452.5	152.0	
40	Spectrogram 1	1	AU-BS02a-110729-032000.wav	377.148	377.394	0.246	91.8	1718.0	1626.2	628.0	
41	Spectrogram 1	1	AU-BS02a-110729-032000.wav	381.388	381.695	0.307	72.1	1809.8	1737.7	532.0	
42	Spectrogram 1	1	AU-BS02a-110729-032000.wav	385.443	385.873	0.430	78.7	1767.2	1688.5	168.0	
43	Spectrogram 1	1	AU-BS02a-110729-032000.wav	532.767	533.320	0.553	52.5	226.2	173.8	168.0	start new pattern
44	Spectrogram 1	1	AU-BS02a-110729-032000.wav	534.917	535.531	0.614	52.5	239.3	186.9	56.0	
45	Spectrogram 1	1	AU-BS02a-110729-032000.wav	537.129	537.928	0.799	52.5	223.0	170.5	56.0	
46	Spectrogram 1	1	AU-BS02a-110729-032000.wav	539.464	540.201	0.737	59.0	229.5	170.5	108.0	
47	Spectrogram 1	1	AU-BS02a-110729-032000.wav	541.922	542.720	0.799	75.4	236.1	160.7	180.0	
48	Spectrogram 1	1	AU-BS02a-110729-032000.wav	544.932	545.792	0.860	68.9	242.6	173.8	104.0	
49	Spectrogram 1	1	AU-BS02a-110729-032000.wav	547.759	548.680	0.922	52.5	239.3	186.9	56.0	
50	Spectrogram 1	1	AU-BS02a-110729-032000.wav	561.136	561.444	0.307	52.5	1777.0	1724.6	128.0	
51	Spectrogram 1	1	AU-BS02a-110729-032000.wav	565.007	565.253	0.246	78.7	1908.2	1829.5	112.0	
52	Spectrogram 1	1	AU-BS02a-110729-032000.wav	568.632	568.817	0.184	59.0	1878.7	1819.7	164.0	
53	Spectrogram 1	1	AU-BS02a-110729-032000.wav	572.258	572.442	0.184	49.2	1924.6	1875.4	164.0	
54	Spectrogram 1	1	AU-BS02a-110729-032000.wav	576.006	576.251	0.246	68.9	1960.7	1891.8	164.0	
55	Spectrogram 1	1	AU-BS02a-110729-032000.wav	579.692	579.938	0.246	62.3	1970.5	1908.2	208.0	
56	Spectrogram 1	1	AU-BS02a-110729-032000.wav	583.317	583.563	0.246	65.6	1577.0	1511.5	120.0	
57	Spectrogram 1	1	AU-BS02a-110729-032000.wav	587.127	587.311	0.184	75.4	1580.3	1504.9	128.0	
58	Spectrogram 1	1	AU-BS02a-110729-032000.wav	590.752	590.998	0.246	62.3	1478.7	1416.4	100.0	
59	Spectrogram 1	1	AU-BS02a-110729-032000.wav	594.500	594.746	0.246	65.6	1252.5	1186.9	208.0	
60	Spectrogram 1	1	AU-BS02a-110729-032000.wav	598.125	598.432	0.307	85.2	1531.1	1445.9	164.0	
61	Spectrogram 1	1	AU-BS02a-110729-033000.wav	602.242	602.488	0.246	62.3	1888.5	1826.2	212.0	
62	Spectrogram 1	1	AU-BS02a-110729-033000.wav	606.051	606.358	0.307	68.9	1052.5	983.6	544.0	
63	Spectrogram 1	1	AU-BS02a-110729-033000.wav	609.984	610.229	0.246	59.0	1796.7	1737.7	88.0	
64	Spectrogram 1	1	AU-BS02a-110729-033000.wav	613.793	614.039	0.246	65.6	1301.6	1236.1	92.0	
65	Spectrogram 1	1	AU-BS02a-110729-033000.wav	617.357	617.603	0.246	55.7	977.0	921.3	128.0	
66	Spectrogram 1	1	AU-BS02a-110729-033000.wav	620.859	621.105	0.246	39.3	747.5	708.2	40.0	end main phrase
67	Spectrogram 1	1	AU-BS02a-110729-033000.wav	634.745	634.991	0.246	52.5	763.9	711.5	76.0	
68	Spectrogram 1	1	AU-BS02a-110729-033000.wav	638.555	638.862	0.307	59.0	747.5	688.5	164.0	
