Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-BS02a-110916-233000.wav	408.067	408.379	0.312	613.7	1337.4	723.7	632.0	start pattern A
2	Spectrogram 1	1	AU-BS02a-110916-233000.wav	409.271	409.494	0.223	604.6	1377.1	772.5	640.0	
3	Spectrogram 1	1	AU-BS02a-110916-233000.wav	410.409	410.632	0.223	589.3	1322.1	732.8	624.0	
4	Spectrogram 1	1	AU-BS02a-110916-233000.wav	411.502	411.680	0.178	601.5	1325.2	723.7	632.0	
5	Spectrogram 1	1	AU-BS02a-110916-233000.wav	412.528	412.751	0.223	601.5	1276.3	674.8	632.0	
6	Spectrogram 1	1	AU-BS02a-110916-233000.wav	413.688	413.866	0.178	586.3	1316.0	729.8	640.0	
7	Spectrogram 1	1	AU-BS02a-110916-233000.wav	414.803	415.026	0.223	607.6	1316.0	708.4	640.0	
8	Spectrogram 1	1	AU-BS02a-110916-233000.wav	416.007	416.275	0.268	601.5	1340.5	738.9	632.0	
9	Spectrogram 1	1	AU-BS02a-110916-233000.wav	417.078	417.301	0.223	595.4	1349.6	754.2	640.0	
10	Spectrogram 1	1	AU-BS02a-110916-233000.wav	418.327	418.550	0.223	598.5	1361.8	763.4	632.0	
11	Spectrogram 1	1	AU-BS02a-110916-233000.wav	419.353	419.665	0.312	601.5	1361.8	760.3	624.0	
12	Spectrogram 1	1	AU-BS02a-110916-233000.wav	421.450	422.342	0.892	134.4	198.5	64.1	160.0	DS
13	Spectrogram 1	1	AU-BS02a-110916-234000.wav	682.349	682.662	0.312	607.6	1267.2	659.5	632.0	
14	Spectrogram 1	1	AU-BS02a-110916-234000.wav	683.375	683.688	0.312	598.5	1267.2	668.7	632.0	
15	Spectrogram 1	1	AU-BS02a-110916-234000.wav	684.491	684.803	0.312	607.6	1236.6	629.0	632.0	
16	Spectrogram 1	1	AU-BS02a-110916-234000.wav	685.606	685.829	0.223	601.5	1251.9	650.4	632.0	
17	Spectrogram 1	1	AU-BS02a-110916-234000.wav	686.632	686.944	0.312	601.5	1258.0	656.5	624.0	
18	Spectrogram 1	1	AU-BS02a-110916-234000.wav	687.836	688.193	0.357	598.5	1251.9	653.4	632.0	
19	Spectrogram 1	1	AU-BS02a-110916-234000.wav	688.952	689.264	0.312	601.5	1270.2	668.7	632.0	
20	Spectrogram 1	1	AU-BS02a-110916-234000.wav	690.022	690.335	0.312	601.5	1273.3	671.8	640.0	
21	Spectrogram 1	1	AU-BS02a-110916-234000.wav	691.048	691.361	0.312	598.5	1273.3	674.8	616.0	
22	Spectrogram 1	1	AU-BS02a-110916-234000.wav	692.074	692.387	0.312	604.6	1282.4	677.9	632.0	
23	Spectrogram 1	1	AU-BS02a-110916-234000.wav	695.152	695.822	0.669	171.0	250.4	79.4	216.0	DS
24	Spectrogram 1	1	AU-BS02a-110916-234000.wav	697.829	698.186	0.357	604.6	1273.3	668.7	632.0	terminal
25	Spectrogram 1	1	AU-BS02a-110916-234000.wav	699.078	699.346	0.268	601.5	1248.9	647.3	632.0	
26	Spectrogram 1	1	AU-BS02a-110916-234000.wav	700.193	700.416	0.223	595.4	1288.5	693.1	640.0	
27	Spectrogram 1	1	AU-BS02a-110916-234000.wav	701.264	701.532	0.268	595.4	1297.7	702.3	688.0	end pattern
28	Spectrogram 1	1	AU-BS02a-110917-001000.wav	2197.695	2198.052	0.357	589.3	1343.5	754.2	632.0	start pattern
29	Spectrogram 1	1	AU-BS02a-110917-001000.wav	2198.810	2199.301	0.491	577.1	1349.6	772.5	592.0	
30	Spectrogram 1	1	AU-BS02a-110917-001000.wav	2199.881	2200.149	0.268	592.4	1331.3	738.9	640.0	
31	Spectrogram 1	1	AU-BS02a-110917-001000.wav	2200.996	2201.353	0.357	598.5	1306.9	708.4	632.0	
32	Spectrogram 1	1	AU-BS02a-110917-001000.wav	2202.201	2202.513	0.312	592.4	1306.9	714.5	600.0	
33	Spectrogram 1	1	AU-BS02a-110917-001000.wav	2203.271	2203.584	0.312	577.1	1316.0	738.9	632.0	
34	Spectrogram 1	1	AU-BS02a-110917-001000.wav	2204.342	2204.610	0.268	580.2	1325.2	745.0	632.0	
35	Spectrogram 1	1	AU-BS02a-110917-001000.wav	2205.457	2205.770	0.312	571.0	1319.1	748.1	1048.0	
36	Spectrogram 1	1	AU-BS02a-110917-001000.wav	2206.572	2206.929	0.357	580.2	1313.0	732.8	632.0	
37	Spectrogram 1	1	AU-BS02a-110917-001000.wav	2207.732	2208.045	0.312	583.2	1309.9	726.7	648.0	
38	Spectrogram 1	1	AU-BS02a-110917-001000.wav	2208.937	2209.160	0.223	595.4	1282.4	687.0	1040.0	
39	Spectrogram 1	1	AU-BS02a-110917-001000.wav	2210.007	2210.320	0.312	580.2	1300.8	720.6	632.0	
40	Spectrogram 1	1	AU-BS02a-110917-001000.wav	2211.167	2211.435	0.268	592.4	1319.1	726.7	640.0	
41	Spectrogram 1	1	AU-BS02a-110917-001000.wav	2212.238	2212.550	0.312	580.2	983.2	403.1	896.0	
42	Spectrogram 1	1	AU-BS02a-110917-001000.wav	2213.398	2213.710	0.312	598.5	1016.8	418.3	632.0	
43	Spectrogram 1	1	AU-BS02a-110917-001000.wav	2215.316	2216.074	0.758	171.0	241.2	70.2	224.0	DS
44	Spectrogram 1	1	AU-BS02a-110917-002000.wav	2923.628	2923.807	0.178	610.7	1016.8	406.1	640.0	start pattern
45	Spectrogram 1	1	AU-BS02a-110917-002000.wav	2924.699	2924.877	0.178	598.5	974.0	375.6	632.0	
46	Spectrogram 1	1	AU-BS02a-110917-002000.wav	2925.814	2926.037	0.223	604.6	980.2	375.6	648.0	
47	Spectrogram 1	1	AU-BS02a-110917-002000.wav	2926.929	2927.197	0.268	607.6	961.8	354.2	712.0	
48	Spectrogram 1	1	AU-BS02a-110917-002000.wav	2927.866	2928.223	0.357	595.4	955.7	360.3	624.0	
49	Spectrogram 1	1	AU-BS02a-110917-002000.wav	2929.026	2929.338	0.312	598.5	967.9	369.5	632.0	
50	Spectrogram 1	1	AU-BS02a-110917-002000.wav	2930.141	2930.454	0.312	601.5	955.7	354.2	616.0	
