Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-BS02a-120719-060000.wav	97.714	97.985	0.271	56.3	808.2	751.9	120.0	start pattern
2	Spectrogram 1	1	AU-BS02a-120719-060000.wav	99.068	99.293	0.226	57.8	928.5	870.6	64.0	
3	Spectrogram 1	1	AU-BS02a-120719-060000.wav	100.602	100.872	0.271	70.0	934.6	864.5	72.0	
4	Spectrogram 1	1	AU-BS02a-120719-060000.wav	103.917	104.143	0.226	59.4	786.9	727.5	360.0	
5	Spectrogram 1	1	AU-BS02a-120719-060000.wav	105.293	105.519	0.226	70.0	560.1	490.1	80.0	
6	Spectrogram 1	1	AU-BS02a-120719-060000.wav	107.008	107.233	0.226	57.8	627.1	569.3	256.0	
7	Spectrogram 1	1	AU-BS02a-120719-060000.wav	108.451	108.677	0.226	73.1	885.8	812.8	120.0	
8	Spectrogram 1	1	AU-BS02a-120719-060000.wav	110.165	110.391	0.226	60.9	1022.8	961.9	216.0	
9	Spectrogram 1	1	AU-BS02a-120719-060000.wav	111.564	111.789	0.226	60.9	1281.6	1220.7	96.0	
10	Spectrogram 1	1	AU-BS02a-120719-060000.wav	113.278	113.504	0.226	70.0	1232.9	1162.9	184.0	
11	Spectrogram 1	1	AU-BS02a-120719-060000.wav	114.880	115.105	0.226	67.0	1248.1	1181.1	72.0	
12	Spectrogram 1	1	AU-BS02a-120719-060000.wav	116.504	116.729	0.226	70.0	1327.2	1257.2	184.0	
13	Spectrogram 1	1	AU-BS02a-120719-060000.wav	118.015	118.195	0.180	70.0	1336.4	1266.4	88.0	
14	Spectrogram 1	1	AU-BS02a-120719-060000.wav	119.684	119.910	0.226	73.1	1458.1	1385.1	160.0	
15	Spectrogram 1	1	AU-BS02a-120719-060000.wav	121.195	121.421	0.226	77.6	1237.4	1159.8	160.0	
16	Spectrogram 1	1	AU-BS02a-120719-060000.wav	122.707	122.887	0.180	88.3	1561.6	1473.4	280.0	
17	Spectrogram 1	1	AU-BS02a-120719-060000.wav	124.286	124.511	0.226	70.0	1683.4	1613.4	280.0	
18	Spectrogram 1	1	AU-BS02a-120719-060000.wav	127.105	127.331	0.226	65.4	1330.3	1264.8	120.0	
19	Spectrogram 1	1	AU-BS02a-120719-060000.wav	130.827	131.053	0.226	76.1	1296.8	1220.7	120.0	end main phrase
20	Spectrogram 1	1	AU-BS02a-120719-060000.wav	136.195	136.421	0.226	100.5	1893.5	1793.0	480.0	
21	Spectrogram 1	1	AU-BS02a-120719-060000.wav	137.752	137.977	0.226	67.0	1881.3	1814.3	424.0	
22	Spectrogram 1	1	AU-BS02a-120719-060000.wav	139.308	139.489	0.180	60.9	1984.8	1923.9	472.0	
23	Spectrogram 1	1	AU-BS02a-120719-060000.wav	140.865	141.090	0.226	74.6	1989.3	1914.8	480.0	
24	Spectrogram 1	1	AU-BS02a-120719-060000.wav	143.820	144.000	0.180	60.9	1930.0	1869.1	184.0	
25	Spectrogram 1	1	AU-BS02a-120719-060000.wav	147.383	147.564	0.180	88.3	1726.0	1637.7	256.0	
26	Spectrogram 1	1	AU-BS02a-120719-060000.wav	155.504	155.684	0.180	76.1	1665.1	1589.0	480.0	
27	Spectrogram 1	1	AU-BS02a-120719-060000.wav	157.083	157.263	0.180	85.2	1671.2	1586.0	216.0	
28	Spectrogram 1	1	AU-BS02a-120719-060000.wav	158.571	158.752	0.180	63.9	1765.6	1701.7	64.0	
29	Spectrogram 1	1	AU-BS02a-120719-060000.wav	161.594	161.820	0.226	63.9	1786.9	1723.0	480.0	
30	Spectrogram 1	1	AU-BS02a-120719-060000.wav	165.158	165.338	0.180	73.1	1579.9	1506.8	392.0	
31	Spectrogram 1	1	AU-BS02a-120719-060000.wav	172.015	172.195	0.180	94.4	1388.1	1293.8	432.0	
32	Spectrogram 1	1	AU-BS02a-120719-060000.wav	173.639	173.820	0.180	88.3	1418.6	1330.3	472.0	
33	Spectrogram 1	1	AU-BS02a-120719-060000.wav	175.195	175.421	0.226	74.6	1739.7	1665.1	272.0	
34	Spectrogram 1	1	AU-BS02a-120719-060000.wav	176.797	177.023	0.226	60.9	1659.1	1598.2	280.0	
35	Spectrogram 1	1	AU-BS02a-120719-060000.wav	179.865	180.090	0.226	88.3	1710.8	1622.5	480.0	
36	Spectrogram 1	1	AU-BS02a-120719-060000.wav	183.519	183.744	0.226	76.1	1723.0	1646.9	264.0	
37	Spectrogram 1	1	AU-BS02a-120719-060000.wav	192.090	192.316	0.226	91.3	998.5	907.2	568.0	
38	Spectrogram 1	1	AU-BS02a-120719-060000.wav	193.714	193.895	0.180	79.1	998.5	919.3	640.0	
39	Spectrogram 1	1	AU-BS02a-120719-060000.wav	195.271	195.496	0.226	79.1	1022.8	943.7	584.0	
40	Spectrogram 1	1	AU-BS02a-120719-060000.wav	198.361	198.586	0.226	70.0	1774.7	1704.7	184.0	
41	Spectrogram 1	1	AU-BS02a-120719-060000.wav	202.015	202.241	0.226	73.1	1342.5	1269.4	640.0	
