Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-BS02a-120804-072000.wav	4020.361	4021.083	0.722	27.7	203.4	175.7	32.0	start pattern C
2	Spectrogram 1	1	AU-BS02a-120804-072000.wav	4023.023	4023.564	0.541	37.0	200.3	163.3	40.0	
3	Spectrogram 1	1	AU-BS02a-120804-072000.wav	4025.233	4025.955	0.722	46.2	212.6	166.4	48.0	
4	Spectrogram 1	1	AU-BS02a-120804-072000.wav	4027.714	4028.301	0.586	40.1	212.6	172.6	48.0	
5	Spectrogram 1	1	AU-BS02a-120804-072000.wav	4029.835	4030.737	0.902	49.3	200.3	151.0	56.0	
6	Spectrogram 1	1	AU-BS02a-120804-072000.wav	4033.308	4034.030	0.722	27.7	203.4	175.7	32.0	
8	Spectrogram 1	1	AU-BS02a-120804-072000.wav	4043.143	4043.323	0.180	117.1	1990.8	1873.7	424.0	start gs
9	Spectrogram 1	1	AU-BS02a-120804-072000.wav	4047.474	4047.654	0.180	86.3	1830.5	1744.2	136.0	
10	Spectrogram 1	1	AU-BS02a-120804-072000.wav	4051.489	4051.669	0.180	80.1	1984.6	1904.5	456.0	
11	Spectrogram 1	1	AU-BS02a-120804-072000.wav	4055.278	4055.459	0.180	46.2	1993.8	1947.6	264.0	
12	Spectrogram 1	1	AU-BS02a-120804-072000.wav	4058.978	4059.158	0.180	80.1	1996.9	1916.8	376.0	
13	Spectrogram 1	1	AU-BS02a-120804-072000.wav	4062.857	4063.083	0.226	64.7	1993.8	1929.1	936.0	
14	Spectrogram 1	1	AU-BS02a-120804-072000.wav	4066.827	4067.008	0.180	67.8	1963.0	1895.2	608.0	
15	Spectrogram 1	1	AU-BS02a-120804-072000.wav	4070.887	4071.068	0.180	80.1	1950.7	1870.6	152.0	
16	Spectrogram 1	1	AU-BS02a-120804-072000.wav	4074.902	4075.083	0.180	83.2	1935.3	1852.1	144.0	
17	Spectrogram 1	1	AU-BS02a-120804-072000.wav	4078.985	4079.211	0.226	80.1	1503.9	1423.7	136.0	
18	Spectrogram 1	1	AU-BS02a-120804-072000.wav	4083.068	4083.293	0.226	80.1	1470.0	1389.8	88.0	
19	Spectrogram 1	1	AU-BS02a-120804-072000.wav	4087.308	4087.534	0.226	67.8	1134.1	1066.3	80.0	
20	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4286.211	4286.842	0.632	40.1	197.2	157.2	48.0	start pattern
21	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4288.827	4289.459	0.632	37.0	203.4	166.4	40.0	
22	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4291.308	4291.940	0.632	40.1	215.7	175.7	48.0	
23	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4294.015	4294.647	0.632	43.1	228.0	184.9	48.0	
24	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4296.451	4296.993	0.541	49.3	228.0	178.7	56.0	
25	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4298.932	4299.609	0.677	40.1	231.1	191.1	48.0	
26	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4301.729	4302.226	0.496	27.7	212.6	184.9	40.0	
27	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4303.940	4304.572	0.632	40.1	218.8	178.7	48.0	
28	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4306.602	4307.143	0.541	52.4	212.6	160.2	56.0	
29	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4308.948	4309.669	0.722	43.1	218.8	175.7	48.0	
30	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4311.790	4312.511	0.722	37.0	215.7	178.7	40.0	
31	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4321.218	4321.399	0.180	80.1	1981.5	1901.4	104.0	start gs
32	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4325.459	4325.639	0.180	70.9	1996.9	1926.0	136.0	
33	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4329.429	4329.609	0.180	58.6	1996.9	1938.4	768.0	
34	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4333.263	4333.444	0.180	61.6	1990.8	1929.1	704.0	
35	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4337.098	4337.323	0.226	49.3	1993.8	1944.5	576.0	
36	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4340.978	4341.203	0.226	80.1	1993.8	1913.7	552.0	
37	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4344.857	4345.083	0.226	52.4	1987.7	1935.3	552.0	
38	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4348.647	4348.827	0.180	49.3	1981.5	1932.2	64.0	
39	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4352.391	4352.572	0.180	61.6	1688.8	1627.1	88.0	
40	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4356.316	4356.541	0.226	40.1	1642.5	1602.5	56.0	
41	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4360.151	4360.376	0.226	55.5	1466.9	1411.4	64.0	
42	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4363.985	4364.166	0.180	43.1	1072.4	1029.3	56.0	
43	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4367.729	4367.955	0.226	18.5	1100.2	1081.7	64.0	
44	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4371.564	4371.744	0.180	32.4	1132.5	1100.2	64.0	
45	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4375.714	4375.895	0.180	55.5	1368.3	1312.8	56.0	
46	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4379.752	4379.978	0.226	86.3	1053.9	967.6	248.0	
47	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4383.880	4384.105	0.226	55.5	1676.4	1621.0	56.0	
48	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4387.985	4388.211	0.226	52.4	1232.7	1180.3	56.0	
49	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4391.910	4392.090	0.180	27.7	1919.9	1892.1	32.0	
50	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4395.880	4396.105	0.226	61.6	1220.3	1158.7	72.0	
51	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4618.827	4619.278	0.451	46.2	228.0	181.8	48.0	start pattern
52	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4621.354	4621.895	0.541	24.7	215.7	191.1	32.0	
53	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4624.015	4624.466	0.451	27.7	240.4	212.6	32.0	
54	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4626.767	4627.399	0.632	40.1	231.1	191.1	48.0	
55	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4629.203	4629.790	0.586	37.0	246.5	209.6	40.0	
56	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4631.594	4632.135	0.541	37.0	249.6	212.6	48.0	
57	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4634.436	4634.932	0.496	24.7	234.2	209.6	32.0	
58	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4637.008	4637.594	0.586	46.2	246.5	200.3	48.0	
59	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4639.444	4640.301	0.857	49.3	249.6	200.3	176.0	
60	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4642.196	4642.963	0.767	24.7	231.1	206.5	56.0	
61	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4645.173	4645.940	0.767	37.0	200.3	163.3	104.0	
62	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4648.241	4648.827	0.586	40.1	203.4	163.3	48.0	
63	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4656.632	4656.857	0.226	114.0	1990.8	1876.7	368.0	start gs
64	Spectrogram 1	1	AU-BS02a-120804-073000.wav	4660.895	4661.075	0.180	72.4	1143.3	1070.9	184.0	
