Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-BS02a-140903-010000.wav	13.057	13.679	0.622	24.7	197.2	172.6	32.0	start pattern
2	Spectrogram 1	1	AU-BS02a-140903-010000.wav	16.166	16.654	0.489	61.6	218.8	157.2	64.0	
3	Spectrogram 1	1	AU-BS02a-140903-010000.wav	19.053	19.585	0.533	37.0	237.3	200.3	48.0	
4	Spectrogram 1	1	AU-BS02a-140903-010000.wav	21.895	22.383	0.489	24.7	221.9	197.2	32.0	
5	Spectrogram 1	1	AU-BS02a-140903-010000.wav	24.604	25.093	0.489	46.2	234.2	188.0	48.0	
6	Spectrogram 1	1	AU-BS02a-140903-010000.wav	27.446	27.890	0.444	27.7	231.1	203.4	48.0	
7	Spectrogram 1	1	AU-BS02a-140903-010000.wav	29.845	30.555	0.711	27.7	215.7	188.0	32.0	
8	Spectrogram 1	1	AU-BS02a-140903-010000.wav	32.598	33.131	0.533	27.7	228.0	200.3	32.0	
9	Spectrogram 1	1	AU-BS02a-140903-010000.wav	35.041	35.618	0.577	33.9	243.5	209.6	48.0	
10	Spectrogram 1	1	AU-BS02a-140903-010000.wav	37.750	38.327	0.577	27.7	237.3	209.6	48.0	
11	Spectrogram 1	1	AU-BS02a-140903-010000.wav	40.637	41.392	0.755	15.4	212.6	197.2	16.0	
12	Spectrogram 1	1	AU-BS02a-140903-010000.wav	54.644	54.866	0.222	24.7	684.1	659.5	32.0	start gs
13	Spectrogram 1	1	AU-BS02a-140903-010000.wav	58.619	58.841	0.222	33.9	690.3	656.4	48.0	
14	Spectrogram 1	1	AU-BS02a-140903-010000.wav	62.527	62.749	0.222	33.9	1365.2	1331.3	176.0	
15	Spectrogram 1	1	AU-BS02a-140903-010000.wav	66.435	66.657	0.222	52.4	1673.3	1621.0	64.0	
16	Spectrogram 1	1	AU-BS02a-140903-010000.wav	70.343	70.566	0.222	12.3	1753.5	1741.1	160.0	
17	Spectrogram 1	1	AU-BS02a-140903-010000.wav	74.207	74.429	0.222	40.1	1306.6	1266.6	48.0	
18	Spectrogram 1	1	AU-BS02a-140903-010000.wav	78.204	78.426	0.222	18.5	1796.6	1778.1	128.0	
19	Spectrogram 1	1	AU-BS02a-140903-010000.wav	82.157	82.379	0.222	30.8	976.9	946.1	32.0	
20	Spectrogram 1	1	AU-BS02a-140903-010000.wav	86.110	86.332	0.222	55.5	918.3	862.9	112.0	
21	Spectrogram 1	1	AU-BS02a-140903-010000.wav	90.018	90.240	0.222	33.9	1735.0	1701.1	96.0	
22	Spectrogram 1	1	AU-BS02a-140903-010000.wav	94.126	94.415	0.289	55.5	585.5	530.0	80.0	
23	Spectrogram 1	1	AU-BS02a-140903-010000.wav	98.101	98.367	0.266	43.1	1214.2	1171.0	80.0	
24	Spectrogram 1	1	AU-BS02a-140903-010000.wav	102.231	102.497	0.266	37.0	1488.4	1451.5	48.0	
25	Spectrogram 1	1	AU-BS02a-140903-010000.wav	106.539	106.805	0.266	21.6	1032.4	1010.8	208.0	
26	Spectrogram 1	1	AU-BS02a-140903-010000.wav	110.625	110.891	0.266	43.1	502.3	459.2	208.0	
27	Spectrogram 1	1	AU-BS02a-140903-010000.wav	114.884	115.150	0.266	21.6	502.3	480.7	80.0	
28	Spectrogram 1	1	AU-BS02a-140903-010000.wav	119.236	119.458	0.222	43.1	388.3	345.1	48.0	
29	Spectrogram 1	1	AU-BS02a-140903-010000.wav	123.278	123.544	0.266	37.0	588.6	551.6	208.0	
30	Spectrogram 1	1	AU-BS02a-140903-010000.wav	127.541	127.808	0.266	27.7	490.0	462.2	32.0	
31	Spectrogram 1	1	AU-BS02a-140903-010000.wav	131.849	132.115	0.266	52.4	397.5	345.1	112.0	
32	Spectrogram 1	1	AU-BS02a-140903-010000.wav	136.068	136.290	0.222	33.9	416.0	382.1	160.0	
33	Spectrogram 1	1	AU-BS02a-140903-010000.wav	140.198	140.465	0.266	40.1	388.3	348.2	64.0	
34	Spectrogram 1	1	AU-BS02a-140903-010000.wav	144.640	144.906	0.266	18.5	400.6	382.1	64.0	
35	Spectrogram 1	1	AU-BS02a-140903-010000.wav	149.170	149.392	0.222	46.2	385.2	339.0	48.0	
