Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-BS02a-140905-221000.wav	212.851	213.118	0.266	12.3	465.3	453.0	80.0	start pattern D
2	Spectrogram 1	1	AU-BS02a-140905-221000.wav	221.907	222.173	0.266	20.0	349.8	329.7	160.0	
3	Spectrogram 1	1	AU-BS02a-140905-221000.wav	222.506	222.728	0.222	15.4	342.1	326.7	64.0	
4	Spectrogram 1	1	AU-BS02a-140905-221000.wav	226.947	227.170	0.222	20.0	337.4	317.4	64.0	
5	Spectrogram 1	1	AU-BS02a-140905-221000.wav	227.503	227.725	0.222	40.1	339.0	298.9	48.0	
6	Spectrogram 1	1	AU-BS02a-140905-221000.wav	232.121	232.343	0.222	27.7	363.6	335.9	240.0	
7	Spectrogram 1	1	AU-BS02a-140905-221000.wav	232.610	232.832	0.222	15.4	372.9	357.5	112.0	
8	Spectrogram 1	1	AU-BS02a-140905-221000.wav	237.318	237.540	0.222	27.7	363.6	335.9	208.0	
9	Spectrogram 1	1	AU-BS02a-140905-221000.wav	237.850	238.117	0.266	30.8	366.7	335.9	144.0	
10	Spectrogram 1	1	AU-BS02a-140905-221000.wav	242.336	242.603	0.266	24.7	351.3	326.7	240.0	
11	Spectrogram 1	1	AU-BS02a-140905-221000.wav	242.869	243.224	0.355	37.0	360.6	323.6	128.0	
12	Spectrogram 1	1	AU-BS02a-140905-221000.wav	247.732	247.954	0.222	23.1	346.7	323.6	32.0	
13	Spectrogram 1	1	AU-BS02a-140905-221000.wav	248.243	248.509	0.266	33.9	326.7	292.8	112.0	
14	Spectrogram 1	1	AU-BS02a-140905-222000.wav	896.909	897.131	0.222	12.3	391.4	379.0	80.0	start pattern 
15	Spectrogram 1	1	AU-BS02a-140905-222000.wav	905.747	905.969	0.222	24.7	474.6	449.9	32.0	
16	Spectrogram 1	1	AU-BS02a-140905-222000.wav	906.235	906.457	0.222	33.9	443.8	409.9	128.0	
17	Spectrogram 1	1	AU-BS02a-140905-222000.wav	910.810	911.032	0.222	12.3	416.0	403.7	16.0	
18	Spectrogram 1	1	AU-BS02a-140905-222000.wav	911.343	911.609	0.266	27.7	409.9	382.1	64.0	
19	Spectrogram 1	1	AU-BS02a-140905-222000.wav	915.962	916.184	0.222	37.0	382.1	345.1	64.0	
20	Spectrogram 1	1	AU-BS02a-140905-222000.wav	916.539	916.805	0.266	27.7	406.8	379.0	192.0	
21	Spectrogram 1	1	AU-BS02a-140905-222000.wav	921.358	921.580	0.222	26.2	417.6	391.4	32.0	
22	Spectrogram 1	1	AU-BS02a-140905-222000.wav	921.779	922.001	0.222	30.8	388.3	357.5	48.0	
23	Spectrogram 1	1	AU-BS02a-140905-231000.wav	3713.347	3713.525	0.178	12.3	412.9	400.6	16.0	start pattern
24	Spectrogram 1	1	AU-BS02a-140905-231000.wav	3713.747	3713.969	0.222	23.1	376.0	352.9	64.0	
25	Spectrogram 1	1	AU-BS02a-140905-231000.wav	3722.496	3722.674	0.178	24.7	406.8	382.1	144.0	
26	Spectrogram 1	1	AU-BS02a-140905-231000.wav	3722.896	3723.118	0.222	15.4	459.2	443.8	64.0	
27	Spectrogram 1	1	AU-BS02a-140905-231000.wav	3727.426	3727.603	0.178	40.1	486.9	446.8	144.0	
28	Spectrogram 1	1	AU-BS02a-140905-231000.wav	3727.914	3728.136	0.222	27.7	391.4	363.6	48.0	
29	Spectrogram 1	1	AU-BS02a-140905-231000.wav	3732.395	3732.617	0.222	18.5	360.6	342.1	64.0	
30	Spectrogram 1	1	AU-BS02a-140905-231000.wav	3732.906	3733.128	0.222	13.9	380.6	366.7	48.0	
31	Spectrogram 1	1	AU-BS02a-140905-231000.wav	3737.458	3737.680	0.222	24.7	320.5	295.8	256.0	
32	Spectrogram 1	1	AU-BS02a-140905-231000.wav	3737.947	3738.169	0.222	27.7	323.6	295.8	64.0	
33	Spectrogram 1	1	AU-BS02a-140905-231000.wav	3742.566	3742.743	0.178	24.7	360.6	335.9	32.0	
34	Spectrogram 1	1	AU-BS02a-140905-231000.wav	3743.010	3743.276	0.266	18.5	363.6	345.1	48.0	
35	Spectrogram 1	1	AU-BS02a-140905-231000.wav	3747.540	3747.762	0.222	24.7	385.2	360.6	240.0	
36	Spectrogram 1	1	AU-BS02a-140905-231000.wav	3748.117	3748.339	0.222	24.7	376.0	351.3	48.0	
37	Spectrogram 1	1	AU-BS02a-140905-233000.wav	4979.458	4979.680	0.222	30.8	357.5	326.7	48.0	start pattern
38	Spectrogram 1	1	AU-BS02a-140905-233000.wav	4979.991	4980.258	0.266	15.4	351.3	335.9	80.0	
39	Spectrogram 1	1	AU-BS02a-140905-233000.wav	4989.184	4989.406	0.222	12.3	369.8	357.5	48.0	
40	Spectrogram 1	1	AU-BS02a-140905-233000.wav	4989.717	4989.984	0.266	12.3	388.3	376.0	48.0	
41	Spectrogram 1	1	AU-BS02a-140905-233000.wav	4994.070	4994.336	0.266	24.7	437.6	412.9	32.0	
42	Spectrogram 1	1	AU-BS02a-140905-233000.wav	4994.647	4994.958	0.311	30.8	443.8	412.9	32.0	
43	Spectrogram 1	1	AU-BS02a-140905-233000.wav	4999.177	4999.399	0.222	21.6	366.7	345.1	48.0	
44	Spectrogram 1	1	AU-BS02a-140905-233000.wav	4999.665	4999.932	0.266	30.8	372.9	342.1	160.0	
45	Spectrogram 1	1	AU-BS02a-140905-233000.wav	5004.195	5004.462	0.266	30.8	363.6	332.8	192.0	
46	Spectrogram 1	1	AU-BS02a-140905-233000.wav	5004.728	5005.039	0.311	30.8	354.4	323.6	144.0	
47	Spectrogram 1	1	AU-BS02a-140905-233000.wav	5009.392	5009.569	0.178	21.6	360.6	339.0	64.0	
48	Spectrogram 1	1	AU-BS02a-140905-233000.wav	5009.880	5010.147	0.266	15.4	366.7	351.3	16.0	
49	Spectrogram 1	1	AU-BS02a-140905-234000.wav	5737.990	5738.167	0.178	37.0	869.0	832.0	160.0	start pattern
50	Spectrogram 1	1	AU-BS02a-140905-234000.wav	5738.434	5738.700	0.266	27.7	819.7	792.0	160.0	
51	Spectrogram 1	1	AU-BS02a-140905-234000.wav	5747.360	5747.583	0.222	18.5	705.7	687.2	128.0	
52	Spectrogram 1	1	AU-BS02a-140905-234000.wav	5747.849	5748.115	0.266	12.3	1294.3	1282.0	80.0	
53	Spectrogram 1	1	AU-BS02a-140905-234000.wav	5752.357	5752.668	0.311	38.5	1343.6	1305.1	208.0	
54	Spectrogram 1	1	AU-BS02a-140905-234000.wav	5752.868	5753.090	0.222	43.1	1131.0	1087.8	64.0	
55	Spectrogram 1	1	AU-BS02a-140905-234000.wav	5757.397	5757.620	0.222	44.7	810.5	765.8	80.0	
56	Spectrogram 1	1	AU-BS02a-140905-234000.wav	5757.886	5758.108	0.222	46.2	597.8	551.6	112.0	
57	Spectrogram 1	1	AU-BS02a-140905-234000.wav	5762.416	5762.682	0.266	33.9	477.7	443.8	80.0	
58	Spectrogram 1	1	AU-BS02a-140905-234000.wav	5762.882	5763.104	0.222	29.3	463.8	434.5	80.0	
59	Spectrogram 1	1	AU-BS02a-140905-234000.wav	5767.657	5767.879	0.222	27.7	437.6	409.9	48.0	
60	Spectrogram 1	1	AU-BS02a-140905-234000.wav	5768.101	5768.367	0.266	37.0	440.7	403.7	240.0	
