Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-BS02a-110716-074000.wav	258.839	259.794	0.956	12.4	220.2	207.8	28.0	start pattern
2	Spectrogram 1	1	AU-BS02a-110716-074000.wav	261.011	261.880	0.869	12.4	220.2	207.8	16.0	
3	Spectrogram 1	1	AU-BS02a-110716-074000.wav	263.357	264.139	0.782	15.5	226.4	210.9	16.0	
4	Spectrogram 1	1	AU-BS02a-110716-074000.wav	265.703	266.659	0.956	15.5	220.2	204.7	28.0	
5	Spectrogram 1	1	AU-BS02a-110716-074000.wav	268.744	269.526	0.782	15.5	245.0	229.5	16.0	
6	Spectrogram 1	1	AU-BS02a-110716-074000.wav	283.951	284.298	0.348	0.0	1869.8	1869.8	4.0	start GS
7	Spectrogram 1	1	AU-BS02a-110716-074000.wav	287.600	287.861	0.261	3.3	1880.8	1877.5	4.0	
9	Spectrogram 1	1	AU-BS02a-110716-074000.wav	291.277	291.585	0.307	39.7	1933.8	1894.0	40.0	
10	Spectrogram 1	1	AU-BS02a-110716-074000.wav	294.841	295.148	0.307	3.3	1970.2	1966.9	4.0	
11	Spectrogram 1	1	AU-BS02a-110716-074000.wav	298.466	298.712	0.246	0.0	1930.5	1930.5	4.0	
12	Spectrogram 1	1	AU-BS02a-110716-074000.wav	302.214	302.521	0.307	0.0	457.0	457.0	4.0	
13	Spectrogram 1	1	AU-BS02a-110716-074000.wav	305.901	306.147	0.246	49.7	1433.8	1384.1	52.0	
14	Spectrogram 1	1	AU-BS02a-110716-074000.wav	309.587	309.833	0.246	26.5	1599.3	1572.8	28.0	
15	Spectrogram 1	1	AU-BS02a-110716-074000.wav	313.643	313.888	0.246	46.4	1572.8	1526.5	52.0	
16	Spectrogram 1	1	AU-BS02a-110716-074000.wav	317.391	317.698	0.307	29.8	1294.7	1264.9	32.0	
17	Spectrogram 1	1	AU-BS02a-110716-074000.wav	321.077	321.323	0.246	19.9	814.6	794.7	28.0	
18	Spectrogram 1	1	AU-BS02a-110716-074000.wav	324.825	325.255	0.430	36.4	930.5	894.0	40.0	
19	Spectrogram 1	1	AU-BS02a-110716-074000.wav	328.942	329.249	0.307	23.2	1109.3	1086.1	556.0	
20	Spectrogram 1	1	AU-BS02a-110716-074000.wav	332.567	332.874	0.307	29.8	768.2	738.4	32.0	
21	Spectrogram 1	1	AU-BS02a-110716-074000.wav	336.227	336.596	0.369	29.8	738.4	708.6	32.0	
22	Spectrogram 1	1	AU-BS02a-110716-074000.wav	339.852	340.221	0.369	23.2	768.2	745.0	24.0	end main phrase
23	Spectrogram 1	1	AU-BS02a-110716-074000.wav	353.738	353.984	0.246	39.7	940.4	900.7	40.0	
24	Spectrogram 1	1	AU-BS02a-110716-074000.wav	357.486	357.855	0.369	46.4	1062.9	1016.6	48.0	
25	Spectrogram 1	1	AU-BS02a-110716-074000.wav	368.669	369.099	0.430	56.3	619.2	562.9	60.0	
26	Spectrogram 1	1	AU-BS02a-110716-074000.wav	372.601	372.970	0.369	132.5	1645.7	1513.2	160.0	
27	Spectrogram 1	1	AU-BS02a-110716-074000.wav	376.411	376.780	0.369	82.8	1953.6	1870.9	108.0	
28	Spectrogram 1	1	AU-BS02a-110716-074000.wav	380.097	380.466	0.369	115.9	1198.7	1082.8	228.0	
29	Spectrogram 1	1	AU-BS02a-110716-074000.wav	384.030	384.337	0.307	53.0	1632.5	1579.5	184.0	
30	Spectrogram 1	1	AU-BS02a-110716-074000.wav	398.996	399.426	0.430	43.0	1655.6	1612.6	48.0	
31	Spectrogram 1	1	AU-BS02a-110716-074000.wav	403.420	403.788	0.369	56.3	1513.2	1457.0	68.0	
32	Spectrogram 1	1	AU-BS02a-110716-074000.wav	407.659	408.089	0.430	43.0	1649.0	1606.0	52.0	
33	Spectrogram 1	1	AU-BS02a-110716-074000.wav	428.427	428.796	0.369	59.6	1606.0	1546.4	232.0	
34	Spectrogram 1	1	AU-BS02a-110716-074000.wav	575.145	575.760	0.614	36.4	225.2	188.7	40.0	start pattern
35	Spectrogram 1	1	AU-BS02a-110716-074000.wav	577.726	578.463	0.737	29.8	228.5	198.7	32.0	
36	Spectrogram 1	1	AU-BS02a-110716-074000.wav	580.061	580.675	0.614	9.9	245.0	235.1	12.0	
37	Spectrogram 1	1	AU-BS02a-110716-074000.wav	582.088	582.703	0.614	16.6	248.3	231.8	32.0	
38	Spectrogram 1	1	AU-BS02a-110716-074000.wav	584.976	585.836	0.860	26.5	248.3	221.9	36.0	
39	Spectrogram 1	1	AU-BS02a-110716-074000.wav	587.987	588.479	0.492	6.6	245.0	238.4	8.0	
40	Spectrogram 1	1	AU-BS02a-110716-080000.wav	640.644	641.197	0.553	19.9	1377.5	1357.6	76.0	start main GS but no pulses
41	Spectrogram 1	1	AU-BS02a-110716-080000.wav	644.515	644.822	0.307	26.5	1294.7	1268.2	28.0	
42	Spectrogram 1	1	AU-BS02a-110716-080000.wav	648.508	648.877	0.369	53.0	1304.6	1251.7	56.0	
43	Spectrogram 1	1	AU-BS02a-110716-080000.wav	652.564	652.932	0.369	36.4	1026.5	990.1	76.0	
44	Spectrogram 1	1	AU-BS02a-110716-080000.wav	656.295	656.619	0.324	66.2	718.5	652.3	68.0	
45	Spectrogram 1	1	AU-BS02a-110716-080000.wav	660.227	660.473	0.246	19.9	764.9	745.0	68.0	
46	Spectrogram 1	1	AU-BS02a-110716-080000.wav	664.037	664.405	0.369	53.0	781.5	728.5	68.0	
47	Spectrogram 1	1	AU-BS02a-110716-080000.wav	667.846	668.215	0.369	33.1	774.8	741.7	40.0	
48	Spectrogram 1	1	AU-BS02a-110716-080000.wav	671.717	672.086	0.369	19.9	755.0	735.1	28.0	
49	Spectrogram 1	1	AU-BS02a-110716-080000.wav	675.588	675.957	0.369	26.5	758.3	731.8	28.0	
50	Spectrogram 1	1	AU-BS02a-110716-080000.wav	679.336	679.705	0.369	33.1	778.1	745.0	40.0	
51	Spectrogram 1	1	AU-BS02a-110716-080000.wav	683.207	683.514	0.307	29.8	711.9	682.1	32.0	end main phrase
52	Spectrogram 1	1	AU-BS02a-110716-080000.wav	698.506	698.875	0.369	56.3	841.1	784.8	60.0	
53	Spectrogram 1	1	AU-BS02a-110716-080000.wav	702.746	703.053	0.307	29.8	755.0	725.2	40.0	
54	Spectrogram 1	1	AU-BS02a-110716-080000.wav	706.617	706.985	0.369	26.5	672.2	645.7	32.0	
55	Spectrogram 1	1	AU-BS02a-110716-080000.wav	710.488	710.795	0.307	56.3	788.1	731.8	68.0	
56	Spectrogram 1	1	AU-BS02a-110716-080000.wav	714.358	714.666	0.307	36.4	788.1	751.7	40.0	
57	Spectrogram 1	1	AU-BS02a-110716-080000.wav	718.475	718.721	0.246	56.3	768.2	711.9	68.0	
58	Spectrogram 1	1	AU-BS02a-110716-080000.wav	733.221	733.652	0.430	33.1	798.0	764.9	56.0	
59	Spectrogram 1	1	AU-BS02a-110716-080000.wav	740.410	740.718	0.307	43.0	711.9	668.9	52.0	
60	Spectrogram 1	1	AU-BS02a-110716-080000.wav	867.458	867.703	0.246	49.7	1119.2	1069.5	52.0	start main pattern. pulses not clear enough
61	Spectrogram 1	1	AU-BS02a-110716-080000.wav	871.206	871.390	0.184	43.0	1377.5	1334.4	44.0	
62	Spectrogram 1	1	AU-BS02a-110716-080000.wav	874.831	875.138	0.307	16.6	1466.9	1450.3	36.0	
63	Spectrogram 1	1	AU-BS02a-110716-080000.wav	878.501	878.746	0.246	39.7	1321.2	1281.5	40.0	
64	Spectrogram 1	1	AU-BS02a-110716-080000.wav	882.003	882.310	0.307	56.3	1351.0	1294.7	684.0	
65	Spectrogram 1	1	AU-BS02a-110716-080000.wav	885.567	885.997	0.430	59.6	963.6	904.0	60.0	
66	Spectrogram 1	1	AU-BS02a-110716-080000.wav	889.315	889.622	0.307	62.9	884.1	821.2	88.0	
67	Spectrogram 1	1	AU-BS02a-110716-080000.wav	893.063	893.431	0.369	76.2	728.5	652.3	184.0	
68	Spectrogram 1	1	AU-BS02a-110716-080000.wav	896.811	897.118	0.307	76.2	851.0	774.8	400.0	
69	Spectrogram 1	1	AU-BS02a-110716-080000.wav	900.497	900.804	0.307	82.8	662.3	579.5	84.0	
70	Spectrogram 1	1	AU-BS02a-110716-080000.wav	904.184	904.614	0.430	86.1	533.1	447.0	156.0	
71	Spectrogram 1	1	AU-BS02a-110716-080000.wav	908.178	908.485	0.307	76.2	509.9	433.8	80.0	
72	Spectrogram 1	1	AU-BS02a-110716-080000.wav	912.356	912.724	0.369	46.4	450.3	404.0	76.0	
73	Spectrogram 1	1	AU-BS02a-110716-080000.wav	916.165	916.472	0.307	82.8	390.7	307.9	128.0	
74	Spectrogram 1	1	AU-BS02a-110716-080000.wav	919.913	920.405	0.492	79.5	337.7	258.3	160.0	
75	Spectrogram 1	1	AU-BS02a-110716-080000.wav	923.600	923.907	0.307	82.8	304.6	221.9	84.0	
76	Spectrogram 1	1	AU-BS02a-110716-080000.wav	926.918	927.348	0.430	56.3	1245.0	1188.7	156.0	end main phrase
