Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-BS02b-091020-025000.wav	7805.639770206	7805.851634182	0.212	30.4	2006.3	1975.9	56.0	start pattern A
2	Spectrogram 1	1	AU-BS02b-091020-025000.wav	7806.805022073	7806.974513253	0.169	44.9	2019.2	1974.3	88.0	
3	Spectrogram 1	1	AU-BS02b-091020-025000.wav	7807.737223566	7807.906714747	0.169	105.8	2003.1	1897.4	656.0	
4	Spectrogram 1	1	AU-BS02b-091020-025000.wav	7808.584679469	7808.754170649	0.169	60.9	1971.1	1910.2	64.0	
5	Spectrogram 1	1	AU-BS02b-091020-025000.wav	7809.559253757	7809.686372143	0.127	92.9	2028.8	1935.8	104.0	
6	Spectrogram 1	1	AU-BS02b-091020-025000.wav	7810.533828046	7810.660946431	0.127	51.3	2038.4	1987.1	88.0	
7	Spectrogram 1	1	AU-BS02b-091020-025000.wav	7811.338911154	7811.508402334	0.169	44.9	2028.8	1983.9	64.0	
8	Spectrogram 1	1	AU-BS02b-091020-025000.wav	7812.249926249	7812.377044635	0.127	56.1	2040.0	1983.9	72.0	
9	Spectrogram 1	1	AU-BS02b-091020-025000.wav	7813.245686935	7813.372805321	0.127	44.9	2038.4	1993.5	96.0	
10	Spectrogram 1	1	AU-BS02b-091020-025000.wav	7814.093142838	7814.262634019	0.169	54.5	1987.1	1932.6	160.0	
11	Spectrogram 1	1	AU-BS02b-091020-025000.wav	7814.982971536	7815.152462717	0.169	32.1	2028.8	1996.7	72.0	
12	Spectrogram 1	1	AU-BS02b-091020-025000.wav	7815.957545825	7816.127037005	0.169	19.2	1958.3	1939.0	24.0	end pattern - no ds
13	Spectrogram 1	1	AU-BS02b-091020-025000.wav	8005.855904013	8006.237259170	0.381	32.1	666.6	634.6	112.0	start pattern
14	Spectrogram 1	1	AU-BS02b-091020-025000.wav	8006.872851097	8007.211833458	0.339	44.9	653.8	609.0	80.0	
15	Spectrogram 1	1	AU-BS02b-091020-025000.wav	8007.932170976	8008.355898927	0.424	48.1	660.2	612.2	64.0	
