Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-BS02b-100111-221000.wav	482.859	483.128	0.269	28.5	490.5	462.0	32.0	start p[attern D
2	Spectrogram 1	1	AU-BS02b-100111-221000.wav	483.397	483.621	0.224	15.8	525.3	509.5	200.0	
3	Spectrogram 1	1	AU-BS02b-100111-221000.wav	492.856	493.125	0.269	50.6	753.2	702.5	432.0	
4	Spectrogram 1	1	AU-BS02b-100111-221000.wav	493.438	493.707	0.269	38.0	712.0	674.1	360.0	
5	Spectrogram 1	1	AU-BS02b-100111-221000.wav	498.099	498.367	0.269	44.3	636.1	591.8	152.0	
6	Spectrogram 1	1	AU-BS02b-100111-221000.wav	498.547	498.726	0.179	25.3	718.4	693.0	32.0	
7	Spectrogram 1	1	AU-BS02b-100111-221000.wav	503.162	503.386	0.224	44.3	1246.8	1202.5	528.0	
8	Spectrogram 1	1	AU-BS02b-100111-221000.wav	503.655	503.879	0.224	38.0	708.9	670.9	200.0	
9	Spectrogram 1	1	AU-BS02b-100111-221000.wav	508.405	508.584	0.179	31.6	1164.6	1132.9	288.0	
10	Spectrogram 1	1	AU-BS02b-100111-221000.wav	508.853	509.122	0.269	50.6	1034.8	984.2	232.0	
11	Spectrogram 1	1	AU-BS02b-100111-221000.wav	513.737	513.916	0.179	38.0	1512.7	1474.7	440.0	
12	Spectrogram 1	1	AU-BS02b-100111-221000.wav	514.163	514.387	0.224	38.0	1373.4	1335.4	552.0	
13	Spectrogram 1	1	AU-BS02b-100111-221000.wav	519.069	519.294	0.224	28.5	1256.3	1227.8	360.0	
14	Spectrogram 1	1	AU-BS02b-100111-221000.wav	519.518	519.742	0.224	31.6	1231.0	1199.4	184.0	
15	Spectrogram 1	1	AU-BS02b-100111-222000.wav	660.905	661.084	0.179	19.0	636.1	617.1	24.0	start pattern
16	Spectrogram 1	1	AU-BS02b-100111-222000.wav	661.398	661.622	0.224	38.0	667.7	629.7	256.0	
17	Spectrogram 1	1	AU-BS02b-100111-222000.wav	670.942	671.122	0.179	31.6	465.2	433.5	232.0	
18	Spectrogram 1	1	AU-BS02b-100111-222000.wav	671.525	671.704	0.179	25.3	484.2	458.9	264.0	
19	Spectrogram 1	1	AU-BS02b-100111-222000.wav	676.297	676.521	0.224	68.0	394.0	325.9	384.0	
20	Spectrogram 1	1	AU-BS02b-100111-222000.wav	676.768	676.992	0.224	57.0	411.4	354.4	224.0	
21	Spectrogram 1	1	AU-BS02b-100111-222000.wav	681.406	681.630	0.224	44.3	436.7	392.4	104.0	
22	Spectrogram 1	1	AU-BS02b-100111-222000.wav	681.876	682.100	0.224	41.1	528.5	487.3	48.0	
23	Spectrogram 1	1	AU-BS02b-100111-222000.wav	686.760	686.984	0.224	31.6	300.6	269.0	48.0	
24	Spectrogram 1	1	AU-BS02b-100111-222000.wav	687.388	687.612	0.224	28.5	325.9	297.5	56.0	
25	Spectrogram 1	1	AU-BS02b-100111-222000.wav	692.361	692.586	0.224	44.3	500.0	455.7	72.0	
26	Spectrogram 1	1	AU-BS02b-100111-222000.wav	692.944	693.168	0.224	41.1	1025.3	984.2	144.0	
33	Spectrogram 1	1	AU-BS02b-100111-225000.wav	2252.738	2252.962	0.224	26.8	657.7	630.9	264.0	start pattern
34	Spectrogram 1	1	AU-BS02b-100111-225000.wav	2253.320	2253.589	0.269	26.8	583.9	557.0	88.0	
35	Spectrogram 1	1	AU-BS02b-100111-225000.wav	2262.730	2262.954	0.224	36.9	788.6	751.7	592.0	
36	Spectrogram 1	1	AU-BS02b-100111-225000.wav	2263.268	2263.492	0.224	36.9	778.5	741.6	296.0	
37	Spectrogram 1	1	AU-BS02b-100111-225000.wav	2267.928	2268.197	0.269	40.3	1573.8	1533.6	512.0	
38	Spectrogram 1	1	AU-BS02b-100111-225000.wav	2268.466	2268.735	0.269	23.5	1577.2	1553.7	288.0	
39	Spectrogram 1	1	AU-BS02b-100111-225000.wav	2273.238	2273.462	0.224	36.9	1406.0	1369.1	512.0	
40	Spectrogram 1	1	AU-BS02b-100111-225000.wav	2273.664	2273.843	0.179	50.3	1298.7	1248.3	288.0	
41	Spectrogram 1	1	AU-BS02b-100111-225000.wav	2278.526	2278.750	0.224	31.9	1209.7	1177.9	456.0	
42	Spectrogram 1	1	AU-BS02b-100111-225000.wav	2279.041	2279.220	0.179	26.8	1241.6	1214.8	232.0	
43	Spectrogram 1	1	AU-BS02b-100111-230000.wav	2799.952	2800.221	0.269	47.0	825.5	778.5	64.0	start pattern
44	Spectrogram 1	1	AU-BS02b-100111-230000.wav	2800.580	2800.804	0.224	23.5	1392.6	1369.1	200.0	
45	Spectrogram 1	1	AU-BS02b-100111-230000.wav	2810.057	2810.281	0.224	36.9	1191.3	1154.4	456.0	
46	Spectrogram 1	1	AU-BS02b-100111-230000.wav	2810.595	2810.819	0.224	35.2	978.2	943.0	168.0	
47	Spectrogram 1	1	AU-BS02b-100111-230000.wav	2815.277	2815.456	0.179	30.2	1080.5	1050.3	464.0	
48	Spectrogram 1	1	AU-BS02b-100111-230000.wav	2815.725	2815.994	0.269	47.0	1087.2	1040.3	64.0	
49	Spectrogram 1	1	AU-BS02b-100111-230000.wav	2820.475	2820.699	0.224	60.4	791.9	731.5	568.0	
50	Spectrogram 1	1	AU-BS02b-100111-230000.wav	2820.968	2821.192	0.224	57.0	791.9	734.9	264.0	
51	Spectrogram 1	1	AU-BS02b-100111-230000.wav	2825.812	2826.036	0.224	33.6	828.9	795.3	112.0	
52	Spectrogram 1	1	AU-BS02b-100111-230000.wav	2826.305	2826.574	0.269	23.5	768.5	745.0	80.0	
53	Spectrogram 1	1	AU-BS02b-100111-231000.wav	3439.931	3440.111	0.179	23.5	640.9	617.4	24.0	start pattern
54	Spectrogram 1	1	AU-BS02b-100111-231000.wav	3440.379	3440.559	0.179	25.2	666.1	640.9	112.0	
55	Spectrogram 1	1	AU-BS02b-100111-231000.wav	3449.700	3449.924	0.224	60.4	691.3	630.9	128.0	
56	Spectrogram 1	1	AU-BS02b-100111-231000.wav	3450.148	3450.372	0.224	50.3	704.7	654.4	80.0	
57	Spectrogram 1	1	AU-BS02b-100111-231000.wav	3454.808	3455.032	0.224	36.9	1302.0	1265.1	176.0	
58	Spectrogram 1	1	AU-BS02b-100111-231000.wav	3455.279	3455.503	0.224	53.7	1275.2	1221.5	88.0	
59	Spectrogram 1	1	AU-BS02b-100111-231000.wav	3459.961	3460.230	0.269	33.6	1194.6	1161.1	120.0	
60	Spectrogram 1	1	AU-BS02b-100111-231000.wav	3460.454	3460.723	0.269	30.2	1184.6	1154.4	152.0	
61	Spectrogram 1	1	AU-BS02b-100111-231000.wav	3465.159	3465.428	0.269	30.2	1191.3	1161.1	176.0	
62	Spectrogram 1	1	AU-BS02b-100111-231000.wav	3465.652	3465.876	0.224	36.9	1187.9	1151.0	232.0	
