Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Begin File	Notes
1	Spectrogram 1	1	252.105	252.294	0.188	31.1	591.6	560.5	240.0	AU-BS02b-131029-010000.wav	start pattern
2	Spectrogram 1	1	261.188	261.377	0.188	31.1	774.9	743.8	32.0	AU-BS02b-131029-010000.wav	
3	Spectrogram 1	1	261.641	261.791	0.151	41.5	477.4	435.9	64.0	AU-BS02b-131029-010000.wav	
4	Spectrogram 1	1	266.201	266.389	0.188	13.8	446.3	432.5	16.0	AU-BS02b-131029-010000.wav	
5	Spectrogram 1	1	266.691	266.917	0.226	24.2	435.9	411.7	64.0	AU-BS02b-131029-010000.wav	
6	Spectrogram 1	1	271.289	271.440	0.151	17.3	480.9	463.6	32.0	AU-BS02b-131029-010000.wav	
7	Spectrogram 1	1	271.760	271.948	0.188	27.7	484.3	456.6	128.0	AU-BS02b-131029-010000.wav	
8	Spectrogram 1	1	276.294	276.482	0.188	27.7	885.6	857.9	64.0	AU-BS02b-131029-010000.wav	
9	Spectrogram 1	1	276.784	277.048	0.264	17.3	626.2	608.9	160.0	AU-BS02b-131029-010000.wav	
10	Spectrogram 1	1	281.420	281.646	0.226	32.9	1037.8	1004.9	64.0	AU-BS02b-131029-010000.wav	
11	Spectrogram 1	1	281.947	282.173	0.226	34.6	422.1	387.5	64.0	AU-BS02b-131029-010000.wav	
12	Spectrogram 1	1	286.583	286.809	0.226	45.0	961.7	916.7	48.0	AU-BS02b-131029-010000.wav	
13	Spectrogram 1	1	287.224	287.487	0.264	55.4	844.1	788.7	64.0	AU-BS02b-131029-010000.wav	
14	Spectrogram 1	1	570.565	570.791	0.226	41.5	965.2	923.7	224.0	AU-BS02b-131029-010000.wav	start pattern
15	Spectrogram 1	1	571.055	571.281	0.226	50.2	657.3	607.1	64.0	AU-BS02b-131029-010000.wav	
16	Spectrogram 1	1	580.176	580.364	0.188	27.7	2027.2	1999.5	336.0	AU-BS02b-131029-010000.wav	
17	Spectrogram 1	1	580.666	580.892	0.226	31.1	743.8	712.7	272.0	AU-BS02b-131029-010000.wav	
18	Spectrogram 1	1	585.188	585.377	0.188	69.2	2027.2	1958.0	224.0	AU-BS02b-131029-010000.wav	
19	Spectrogram 1	1	585.735	585.923	0.188	62.3	553.5	491.2	192.0	AU-BS02b-131029-010000.wav	
20	Spectrogram 1	1	590.257	590.446	0.188	60.5	1241.9	1181.4	224.0	AU-BS02b-131029-010000.wav	
21	Spectrogram 1	1	590.804	591.030	0.226	65.7	446.3	380.6	272.0	AU-BS02b-131029-010000.wav	
22	Spectrogram 1	1	595.327	595.553	0.226	55.4	2020.3	1964.9	256.0	AU-BS02b-131029-010000.wav	
23	Spectrogram 1	1	595.892	596.156	0.264	51.9	581.2	529.3	256.0	AU-BS02b-131029-010000.wav	
24	Spectrogram 1	1	600.520	600.709	0.188	41.5	2037.6	1996.1	240.0	AU-BS02b-131029-011000.wav	
25	Spectrogram 1	1	601.010	601.236	0.226	65.7	626.2	560.5	272.0	AU-BS02b-131029-011000.wav	
26	Spectrogram 1	1	605.646	605.872	0.226	48.4	892.5	844.1	224.0	AU-BS02b-131029-011000.wav	
27	Spectrogram 1	1	606.173	606.399	0.226	45.0	435.9	390.9	96.0	AU-BS02b-131029-011000.wav	
28	Spectrogram 1	1	610.884	611.073	0.188	38.1	2034.2	1996.1	832.0	AU-BS02b-131029-011000.wav	
29	Spectrogram 1	1	611.412	611.600	0.188	58.8	429.0	370.2	288.0	AU-BS02b-131029-011000.wav	
30	Spectrogram 1	1	825.980	826.168	0.188	38.1	1542.9	1504.8	384.0	AU-BS02b-131029-011000.wav	start pattern
31	Spectrogram 1	1	826.508	826.734	0.226	38.1	636.5	598.4	80.0	AU-BS02b-131029-011000.wav	
32	Spectrogram 1	1	835.590	835.817	0.226	45.0	1657.1	1612.1	192.0	AU-BS02b-131029-011000.wav	
33	Spectrogram 1	1	836.118	836.457	0.339	41.5	463.6	422.1	80.0	AU-BS02b-131029-011000.wav	
34	Spectrogram 1	1	840.565	840.791	0.226	51.9	2030.7	1978.8	64.0	AU-BS02b-131029-011000.wav	
35	Spectrogram 1	1	841.093	841.319	0.226	62.3	902.9	840.6	128.0	AU-BS02b-131029-011000.wav	
36	Spectrogram 1	1	845.691	845.917	0.226	51.9	1670.9	1619.0	256.0	AU-BS02b-131029-011000.wav	
37	Spectrogram 1	1	846.256	846.482	0.226	55.4	989.4	934.0	64.0	AU-BS02b-131029-011000.wav	
38	Spectrogram 1	1	850.779	851.043	0.264	69.2	1262.7	1193.5	256.0	AU-BS02b-131029-011000.wav	
39	Spectrogram 1	1	851.344	851.570	0.226	72.6	494.7	422.1	144.0	AU-BS02b-131029-011000.wav	
40	Spectrogram 1	1	855.923	856.093	0.170	81.3	1094.9	1013.6	256.0	AU-BS02b-131029-011000.wav	
41	Spectrogram 1	1	856.470	856.696	0.226	76.1	878.7	802.6	256.0	AU-BS02b-131029-011000.wav	
42	Spectrogram 1	1	861.256	861.445	0.188	51.9	1113.9	1062.0	192.0	AU-BS02b-131029-011000.wav	
43	Spectrogram 1	1	861.746	862.010	0.264	58.8	885.6	826.8	128.0	AU-BS02b-131029-011000.wav	
44	Spectrogram 1	1	866.570	866.759	0.188	62.3	2041.1	1978.8	64.0	AU-BS02b-131029-011000.wav	
45	Spectrogram 1	1	867.079	867.268	0.188	65.7	882.2	816.5	96.0	AU-BS02b-131029-011000.wav	
46	Spectrogram 1	1	1088.461	1088.649	0.188	60.5	1530.8	1470.3	144.0	AU-BS02b-131029-011000.wav	start pattern
47	Spectrogram 1	1	1088.932	1089.158	0.226	57.1	781.8	724.7	80.0	AU-BS02b-131029-011000.wav	
48	Spectrogram 1	1	1098.090	1098.279	0.188	83.0	1497.9	1414.9	368.0	AU-BS02b-131029-011000.wav	
49	Spectrogram 1	1	1098.580	1098.769	0.188	76.1	1141.6	1065.5	80.0	AU-BS02b-131029-011000.wav	
50	Spectrogram 1	1	1103.216	1103.442	0.226	58.8	2027.2	1968.4	272.0	AU-BS02b-131029-011000.wav	
51	Spectrogram 1	1	1103.781	1104.083	0.302	58.8	934.1	875.3	64.0	AU-BS02b-131029-011000.wav	
