Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-BS04b-140817-040000.wav	657.732	657.938	0.206	41.9	551.6	509.7	96.0	start pattern D
2	Spectrogram 1	1	AU-BS04b-140817-040000.wav	658.186	658.392	0.206	32.3	503.2	471.0	48.0	
3	Spectrogram 1	1	AU-BS04b-140817-040000.wav	667.175	667.381	0.206	35.5	548.4	512.9	48.0	
4	Spectrogram 1	1	AU-BS04b-140817-040000.wav	667.629	667.876	0.247	38.7	541.9	503.2	192.0	
5	Spectrogram 1	1	AU-BS04b-140817-040000.wav	672.165	672.371	0.206	51.6	500.0	448.4	240.0	
6	Spectrogram 1	1	AU-BS04b-140817-040000.wav	672.577	672.784	0.206	41.9	509.7	467.7	48.0	
7	Spectrogram 1	1	AU-BS04b-140817-040000.wav	677.031	677.278	0.247	41.9	571.0	529.0	160.0	
8	Spectrogram 1	1	AU-BS04b-140817-040000.wav	677.588	677.794	0.206	50.0	582.3	532.3	256.0	
9	Spectrogram 1	1	AU-BS04b-140817-040000.wav	682.062	682.309	0.247	45.2	596.8	551.6	144.0	
10	Spectrogram 1	1	AU-BS04b-140817-040000.wav	682.557	682.763	0.206	38.7	603.2	564.5	128.0	
11	Spectrogram 1	1	AU-BS04b-140817-040000.wav	687.093	687.258	0.165	38.7	490.3	451.6	64.0	
12	Spectrogram 1	1	AU-BS04b-140817-040000.wav	687.546	687.794	0.247	41.9	490.3	448.4	48.0	
13	Spectrogram 1	1	AU-BS04b-140817-040000.wav	692.062	692.268	0.206	53.2	475.8	422.6	144.0	
14	Spectrogram 1	1	AU-BS04b-140817-040000.wav	692.536	692.825	0.289	41.9	474.2	432.3	160.0	
15	Spectrogram 1	1	AU-BS04b-140817-040000.wav	697.031	697.237	0.206	58.1	532.3	474.2	64.0	
16	Spectrogram 1	1	AU-BS04b-140817-040000.wav	697.567	697.773	0.206	61.3	541.9	480.6	160.0	
17	Spectrogram 1	1	AU-BS04b-140817-040000.wav	926.206	926.412	0.206	45.2	496.8	451.6	48.0	start pattern
18	Spectrogram 1	1	AU-BS04b-140817-040000.wav	926.660	926.948	0.289	35.5	509.7	474.2	48.0	
19	Spectrogram 1	1	AU-BS04b-140817-040000.wav	935.567	935.773	0.206	32.3	503.2	471.0	48.0	
20	Spectrogram 1	1	AU-BS04b-140817-040000.wav	936.062	936.268	0.206	35.5	519.4	483.9	80.0	
21	Spectrogram 1	1	AU-BS04b-140817-040000.wav	940.515	940.722	0.206	48.4	480.6	432.3	224.0	
22	Spectrogram 1	1	AU-BS04b-140817-040000.wav	941.010	941.258	0.247	43.5	472.6	429.0	96.0	
23	Spectrogram 1	1	AU-BS04b-140817-040000.wav	945.464	945.670	0.206	51.6	487.1	435.5	64.0	
24	Spectrogram 1	1	AU-BS04b-140817-040000.wav	945.959	946.206	0.247	54.8	496.8	441.9	64.0	
25	Spectrogram 1	1	AU-BS04b-140817-040000.wav	950.536	950.784	0.247	48.4	454.8	406.5	128.0	
26	Spectrogram 1	1	AU-BS04b-140817-040000.wav	951.031	951.278	0.247	51.6	454.8	403.2	160.0	
27	Spectrogram 1	1	AU-BS04b-140817-040000.wav	955.567	955.773	0.206	51.6	509.7	458.1	128.0	
28	Spectrogram 1	1	AU-BS04b-140817-040000.wav	956.103	956.309	0.206	54.8	512.9	458.1	176.0	
29	Spectrogram 1	1	AU-BS04b-140817-040000.wav	960.289	960.577	0.289	53.2	553.2	500.0	224.0	
30	Spectrogram 1	1	AU-BS04b-140817-040000.wav	960.887	961.134	0.247	54.8	551.6	496.8	272.0	
31	Spectrogram 1	1	AU-BS04b-140817-041000.wav	1216.247	1216.454	0.206	48.4	483.9	435.5	256.0	
32	Spectrogram 1	1	AU-BS04b-140817-041000.wav	1216.742	1216.948	0.206	35.5	490.3	454.8	176.0	
33	Spectrogram 1	1	AU-BS04b-140817-041000.wav	1225.485	1225.773	0.289	41.9	529.0	487.1	240.0	
