Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-BS04b-140817-233000.wav	463.505	463.711	0.206	38.7	1306.5	1267.7	288.0	start pattern
2	Spectrogram 1	1	AU-BS04b-140817-233000.wav	464.041	464.247	0.206	41.9	1312.9	1271.0	64.0	
3	Spectrogram 1	1	AU-BS04b-140817-233000.wav	472.639	472.845	0.206	33.9	772.6	738.7	224.0	
4	Spectrogram 1	1	AU-BS04b-140817-233000.wav	473.113	473.320	0.206	38.7	780.6	741.9	128.0	
5	Spectrogram 1	1	AU-BS04b-140817-233000.wav	477.608	477.814	0.206	48.4	774.2	725.8	208.0	
6	Spectrogram 1	1	AU-BS04b-140817-233000.wav	478.268	478.474	0.206	48.4	816.1	767.7	128.0	
7	Spectrogram 1	1	AU-BS04b-140817-233000.wav	482.351	482.557	0.206	54.8	812.9	758.1	208.0	
8	Spectrogram 1	1	AU-BS04b-140817-233000.wav	482.887	483.093	0.206	58.1	829.0	771.0	224.0	
9	Spectrogram 1	1	AU-BS04b-140817-233000.wav	487.402	487.608	0.206	40.3	779.0	738.7	144.0	
10	Spectrogram 1	1	AU-BS04b-140817-233000.wav	487.959	488.165	0.206	48.4	787.1	738.7	224.0	
11	Spectrogram 1	1	AU-BS04b-140817-233000.wav	492.598	492.804	0.206	45.2	729.0	683.9	48.0	
12	Spectrogram 1	1	AU-BS04b-140817-233000.wav	493.010	493.258	0.247	45.2	735.5	690.3	48.0	
13	Spectrogram 1	1	AU-BS04b-140817-234000.wav	804.351	804.557	0.206	53.2	682.3	629.0	160.0	start pattern
14	Spectrogram 1	1	AU-BS04b-140817-234000.wav	804.825	805.072	0.247	41.9	671.0	629.0	160.0	
15	Spectrogram 1	1	AU-BS04b-140817-234000.wav	813.505	813.711	0.206	41.9	551.6	509.7	48.0	
16	Spectrogram 1	1	AU-BS04b-140817-234000.wav	813.938	814.144	0.206	45.2	558.1	512.9	48.0	
17	Spectrogram 1	1	AU-BS04b-140817-234000.wav	818.371	818.660	0.289	48.4	545.2	496.8	160.0	
18	Spectrogram 1	1	AU-BS04b-140817-234000.wav	818.948	819.196	0.247	45.2	541.9	496.8	48.0	
19	Spectrogram 1	1	AU-BS04b-140817-234000.wav	823.485	823.691	0.206	61.3	506.5	445.2	240.0	
20	Spectrogram 1	1	AU-BS04b-140817-234000.wav	824.000	824.206	0.206	58.1	522.6	464.5	144.0	
21	Spectrogram 1	1	AU-BS04b-140817-234000.wav	828.309	828.474	0.165	58.1	596.8	538.7	160.0	
22	Spectrogram 1	1	AU-BS04b-140817-234000.wav	828.722	828.928	0.206	58.1	596.8	538.7	208.0	
23	Spectrogram 1	1	AU-BS04b-140817-234000.wav	833.134	833.340	0.206	54.8	558.1	503.2	256.0	
24	Spectrogram 1	1	AU-BS04b-140817-234000.wav	833.629	833.835	0.206	41.9	580.6	538.7	48.0	
25	Spectrogram 1	1	AU-BS04b-140817-234000.wav	838.000	838.247	0.247	51.6	606.5	554.8	112.0	
26	Spectrogram 1	1	AU-BS04b-140817-234000.wav	838.454	838.660	0.206	41.9	616.1	574.2	48.0	
27	Spectrogram 1	1	AU-BS04b-140817-235000.wav	1745.773	1745.979	0.206	54.8	529.0	474.2	144.0	start pattern
28	Spectrogram 1	1	AU-BS04b-140817-235000.wav	1746.227	1746.433	0.206	38.7	548.4	509.7	48.0	
29	Spectrogram 1	1	AU-BS04b-140817-235000.wav	1754.887	1755.052	0.165	48.4	567.7	519.4	160.0	
30	Spectrogram 1	1	AU-BS04b-140817-235000.wav	1755.258	1755.505	0.247	45.2	580.6	535.5	160.0	
31	Spectrogram 1	1	AU-BS04b-140817-235000.wav	1759.959	1760.124	0.165	53.2	650.0	596.8	128.0	
32	Spectrogram 1	1	AU-BS04b-140817-235000.wav	1760.412	1760.619	0.206	54.8	641.9	587.1	160.0	
33	Spectrogram 1	1	AU-BS04b-140817-235000.wav	1764.742	1764.907	0.165	44.1	658.1	613.9	48.0	
34	Spectrogram 1	1	AU-BS04b-140817-235000.wav	1765.196	1765.361	0.165	41.9	629.0	587.1	48.0	
35	Spectrogram 1	1	AU-BS04b-140817-235000.wav	1769.732	1769.938	0.206	67.9	502.5	434.6	144.0	
36	Spectrogram 1	1	AU-BS04b-140817-235000.wav	1770.144	1770.351	0.206	67.9	492.4	424.4	208.0	
37	Spectrogram 1	1	AU-BS04b-140817-235000.wav	1774.639	1774.845	0.206	57.7	522.9	465.2	160.0	
38	Spectrogram 1	1	AU-BS04b-140817-235000.wav	1775.175	1775.381	0.206	61.1	522.9	461.8	144.0	
