Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Energy (dB)	Max Power (dB)	Notes
1	Spectrogram 1	1	AU-BS04b-140820-215000.wav	395.361000000	395.526000000	0.165	30.3	1989.9	1959.6	176.0	80.4	68.3	start pattern B
2	Spectrogram 1	1	AU-BS04b-140820-215000.wav	396.804000000	396.969000000	0.165	97.5	1986.6	1889.1	224.0	73.7	64.5	
3	Spectrogram 1	1	AU-BS04b-140820-215000.wav	398.495000000	398.619000000	0.124	67.2	1983.2	1916.0	976.0	68.1	57.1	
4	Spectrogram 1	1	AU-BS04b-140820-215000.wav	401.711000000	401.876000000	0.165	67.2	1993.3	1926.1	176.0	81.6	75.2	
5	Spectrogram 1	1	AU-BS04b-140820-215000.wav	403.113000000	403.237000000	0.124	63.9	1324.4	1260.5	64.0	68.4	66.6	
6	Spectrogram 1	1	AU-BS04b-140820-215000.wav	404.845000000	405.010000000	0.165	37.0	1879.0	1842.0	128.0	86.5	80.0	
7	Spectrogram 1	1	AU-BS04b-140820-215000.wav	406.371000000	406.495000000	0.124	73.9	1102.5	1028.6	224.0	68.8	62.6	
8	Spectrogram 1	1	AU-BS04b-140820-215000.wav	407.938000000	408.103000000	0.165	58.8	1984.9	1926.1	144.0	87.3	81.6	
9	Spectrogram 1	1	AU-BS04b-140820-215000.wav	409.381000000	409.546000000	0.165	87.4	1109.2	1021.8	96.0	63.6	51.7	
10	Spectrogram 1	1	AU-BS04b-140820-215000.wav	411.113000000	411.278000000	0.165	60.5	1875.6	1815.1	144.0	88.2	83.6	
11	Spectrogram 1	1	AU-BS04b-140820-215000.wav	412.598000000	412.763000000	0.165	60.5	1337.8	1277.3	224.0	74.8	66.9	
12	Spectrogram 1	1	AU-BS04b-140820-215000.wav	414.165000000	414.330000000	0.165	57.1	1620.2	1563.1	128.0	88.3	81.3	
13	Spectrogram 1	1	AU-BS04b-140820-215000.wav	415.691000000	415.856000000	0.165	60.5	1747.9	1687.4	208.0	76.7	67.6	
14	Spectrogram 1	1	AU-BS04b-140820-215000.wav	417.299000000	417.464000000	0.165	50.4	1045.4	995.0	128.0	81.3	76.2	
15	Spectrogram 1	1	AU-BS04b-140820-215000.wav	418.784000000	418.948000000	0.164	73.9	1717.6	1643.7	208.0	73.2	63.8	
16	Spectrogram 1	1	AU-BS04b-140820-215000.wav	420.351000000	420.515000000	0.164	50.4	1105.9	1055.5	128.0	85.3	78.4	
17	Spectrogram 1	1	AU-BS04b-140820-215000.wav	421.835000000	422.000000000	0.165	53.8	1973.1	1919.3	192.0	75.5	65.5	
18	Spectrogram 1	1	AU-BS04b-140820-215000.wav	423.485000000	423.691000000	0.206	53.8	1895.8	1842.0	112.0	84.1	73.2	
19	Spectrogram 1	1	AU-BS04b-140820-215000.wav	425.052000000	425.258000000	0.206	73.9	1989.9	1916.0	160.0	79.0	67.0	
20	Spectrogram 1	1	AU-BS04b-140820-215000.wav	426.557000000	426.742000000	0.185	63.9	1576.5	1512.6	176.0	81.8	70.3	
21	Spectrogram 1	1	AU-BS04b-140820-215000.wav	427.979000000	428.186000000	0.207	60.5	1989.9	1929.4	128.0	79.9	69.9	end pattern - no terminal phrase
22	Spectrogram 1	1	AU-BS04b-140821-020000.wav	2257.546000000	2257.753000000	0.207	33.6	1926.1	1892.5	528.0	93.7	85.5	start pattern
23	Spectrogram 1	1	AU-BS04b-140821-020000.wav	2258.866000000	2259.031000000	0.165	60.5	1993.3	1932.8	208.0	82.1	74.2	
24	Spectrogram 1	1	AU-BS04b-140821-020000.wav	2260.474000000	2260.598000000	0.124	60.5	924.4	863.9	384.0	78.9	70.2	
25	Spectrogram 1	1	AU-BS04b-140821-020000.wav	2263.567000000	2263.773000000	0.206	50.4	1996.6	1946.2	96.0	88.8	77.6	
26	Spectrogram 1	1	AU-BS04b-140821-020000.wav	2265.052000000	2265.175000000	0.123	70.6	1986.6	1916.0	336.0	77.0	70.8	
27	Spectrogram 1	1	AU-BS04b-140821-020000.wav	2266.619000000	2266.784000000	0.165	47.1	1942.9	1895.8	96.0	85.7	79.3	
28	Spectrogram 1	1	AU-BS04b-140821-020000.wav	2268.144000000	2268.268000000	0.124	37.0	537.8	500.8	48.0	69.6	65.7	
29	Spectrogram 1	1	AU-BS04b-140821-020000.wav	2269.794000000	2269.918000000	0.124	40.3	1889.1	1848.8	128.0	89.7	84.8	
30	Spectrogram 1	1	AU-BS04b-140821-020000.wav	2271.196000000	2271.361000000	0.165	53.8	1969.7	1915.9	176.0	84.9	75.0	
31	Spectrogram 1	1	AU-BS04b-140821-020000.wav	2272.722000000	2272.887000000	0.165	53.8	1505.9	1452.1	112.0	89.8	83.1	
32	Spectrogram 1	1	AU-BS04b-140821-020000.wav	2274.227000000	2274.392000000	0.165	57.1	1610.1	1553.0	272.0	81.1	71.9	
33	Spectrogram 1	1	AU-BS04b-140821-020000.wav	2275.835000000	2276.041000000	0.206	37.0	1395.0	1358.0	112.0	89.5	82.4	
34	Spectrogram 1	1	AU-BS04b-140821-020000.wav	2277.320000000	2277.485000000	0.165	37.0	1758.0	1721.0	176.0	79.6	70.0	
35	Spectrogram 1	1	AU-BS04b-140821-020000.wav	2278.845000000	2279.052000000	0.207	37.0	1996.6	1959.6	624.0	92.3	82.8	
36	Spectrogram 1	1	AU-BS04b-140821-020000.wav	2280.454000000	2280.660000000	0.206	47.1	1986.6	1939.5	176.0	82.9	73.6	
37	Spectrogram 1	1	AU-BS04b-140821-020000.wav	2281.979000000	2282.227000000	0.248	57.1	1909.2	1852.1	160.0	86.6	76.0	
38	Spectrogram 1	1	AU-BS04b-140821-020000.wav	2283.546000000	2283.753000000	0.207	53.8	1946.2	1892.4	128.0	85.1	74.8	
39	Spectrogram 1	1	AU-BS04b-140821-020000.wav	2284.990000000	2285.278000000	0.288	53.8	1989.9	1936.1	128.0	85.8	73.9	
40	Spectrogram 1	1	AU-BS04b-140821-020000.wav	2286.557000000	2286.763000000	0.206	50.4	1902.5	1852.1	448.0	81.6	71.4	
41	Spectrogram 1	1	AU-BS04b-140821-025000.wav	5215.093000000	5215.340000000	0.247	26.9	1993.3	1966.4	432.0	94.6	89.3	start pattern
42	Spectrogram 1	1	AU-BS04b-140821-025000.wav	5216.412000000	5216.619000000	0.207	47.1	1993.3	1946.2	400.0	82.6	74.6	
43	Spectrogram 1	1	AU-BS04b-140821-025000.wav	5218.103000000	5218.268000000	0.165	40.3	1989.9	1949.6	176.0	84.2	79.2	
44	Spectrogram 1	1	AU-BS04b-140821-025000.wav	5221.237000000	5221.443000000	0.206	33.6	1983.2	1949.6	112.0	95.4	86.7	
45	Spectrogram 1	1	AU-BS04b-140821-025000.wav	5222.680000000	5222.804000000	0.124	50.4	712.6	662.2	320.0	70.2	62.9	
46	Spectrogram 1	1	AU-BS04b-140821-025000.wav	5224.268000000	5224.474000000	0.206	37.0	1959.7	1922.7	160.0	91.9	83.0	
47	Spectrogram 1	1	AU-BS04b-140821-025000.wav	5225.773000000	5225.938000000	0.165	43.7	853.8	810.1	320.0	72.9	66.5	
48	Spectrogram 1	1	AU-BS04b-140821-025000.wav	5227.402000000	5227.608000000	0.206	35.3	1995.0	1959.7	96.0	92.1	81.5	
49	Spectrogram 1	1	AU-BS04b-140821-025000.wav	5228.866000000	5229.031000000	0.165	40.3	1989.9	1949.6	320.0	84.7	75.9	
50	Spectrogram 1	1	AU-BS04b-140821-025000.wav	5230.351000000	5230.598000000	0.247	43.7	1996.6	1952.9	496.0	94.0	85.3	
51	Spectrogram 1	1	AU-BS04b-140821-025000.wav	5231.835000000	5232.082000000	0.247	47.1	1996.6	1949.5	320.0	86.5	76.2	
52	Spectrogram 1	1	AU-BS04b-140821-025000.wav	5233.361000000	5233.567000000	0.206	43.7	1993.3	1949.6	96.0	90.5	78.6	
53	Spectrogram 1	1	AU-BS04b-140821-025000.wav	5234.887000000	5235.093000000	0.206	43.7	1996.6	1952.9	208.0	86.6	75.7	
54	Spectrogram 1	1	AU-BS04b-140821-025000.wav	5236.371000000	5236.619000000	0.248	43.7	1989.9	1946.2	464.0	87.5	74.9	
55	Spectrogram 1	1	AU-BS04b-140821-025000.wav	5237.856000000	5238.144000000	0.288	47.1	1986.6	1939.5	176.0	84.9	74.2	
