Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-BS04b-140822-084000.wav	75.814	76.103	0.289	51.6	403.2	351.6	64.0	start pattern A
2	Spectrogram 1	1	AU-BS04b-140822-084000.wav	76.639	76.887	0.247	35.5	416.1	380.6	64.0	
3	Spectrogram 1	1	AU-BS04b-140822-084000.wav	77.423	77.711	0.289	54.8	419.4	364.5	176.0	
4	Spectrogram 1	1	AU-BS04b-140822-084000.wav	78.247	78.536	0.289	45.2	425.8	380.6	80.0	
5	Spectrogram 1	1	AU-BS04b-140822-084000.wav	79.113	79.361	0.247	45.2	429.0	383.9	96.0	
6	Spectrogram 1	1	AU-BS04b-140822-084000.wav	79.938	80.186	0.247	32.3	438.7	406.5	80.0	
7	Spectrogram 1	1	AU-BS04b-140822-084000.wav	80.845	81.134	0.289	35.5	448.4	412.9	128.0	
8	Spectrogram 1	1	AU-BS04b-140822-084000.wav	81.794	82.124	0.330	38.7	438.7	400.0	48.0	
9	Spectrogram 1	1	AU-BS04b-140822-084000.wav	82.495	82.742	0.247	32.3	451.6	419.4	80.0	
10	Spectrogram 1	1	AU-BS04b-140822-084000.wav	83.361	83.608	0.247	38.7	471.0	432.3	64.0	
11	Spectrogram 1	1	AU-BS04b-140822-084000.wav	84.186	84.474	0.289	16.1	458.1	441.9	64.0	
12	Spectrogram 1	1	AU-BS04b-140822-084000.wav	85.010	85.216	0.206	35.5	477.4	441.9	96.0	
13	Spectrogram 1	1	AU-BS04b-140822-084000.wav	86.948	88.351	1.402	138.7	245.2	106.5	160.0	DS
14	Spectrogram 1	1	AU-BS04b-140822-084000.wav	277.464	277.670	0.206	63.7	1929.6	1866.0	1200.0	
15	Spectrogram 1	1	AU-BS04b-140822-084000.wav	278.454	278.660	0.206	46.9	1943.0	1896.1	80.0	
16	Spectrogram 1	1	AU-BS04b-140822-084000.wav	279.485	279.649	0.165	67.0	1939.7	1872.7	1472.0	
17	Spectrogram 1	1	AU-BS04b-140822-084000.wav	280.433	280.639	0.206	63.7	1953.1	1889.4	640.0	
18	Spectrogram 1	1	AU-BS04b-140822-084000.wav	281.423	281.588	0.165	33.5	1976.5	1943.0	640.0	
19	Spectrogram 1	1	AU-BS04b-140822-084000.wav	282.412	282.619	0.206	43.6	1966.5	1922.9	112.0	
20	Spectrogram 1	1	AU-BS04b-140822-084000.wav	283.361	283.567	0.206	43.6	1956.4	1912.9	48.0	
21	Spectrogram 1	1	AU-BS04b-140822-084000.wav	284.351	284.515	0.165	50.3	1943.0	1892.8	624.0	
22	Spectrogram 1	1	AU-BS04b-140822-084000.wav	285.340	285.546	0.206	63.7	1943.0	1879.4	64.0	
23	Spectrogram 1	1	AU-BS04b-140822-084000.wav	286.247	286.454	0.206	63.7	1936.3	1872.7	96.0	
