Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-BS04b-140828-201000.wav	389.235	390.271	1.036	30.7	227.3	196.6	128.0	start pattern C
2	Spectrogram 1	1	AU-BS04b-140828-201000.wav	393.219	394.135	0.916	21.5	212.0	190.5	144.0	
3	Spectrogram 1	1	AU-BS04b-140828-201000.wav	396.606	397.761	1.155	30.7	251.9	221.2	176.0	
4	Spectrogram 1	1	AU-BS04b-140828-201000.wav	399.394	400.470	1.076	33.8	242.7	208.9	112.0	
5	Spectrogram 1	1	AU-BS04b-140828-201000.wav	402.104	403.020	0.916	24.6	230.4	205.8	160.0	
6	Spectrogram 1	1	AU-BS04b-140828-201000.wav	404.693	405.410	0.717	33.8	261.1	227.3	48.0	
7	Spectrogram 1	1	AU-BS04b-140828-201000.wav	407.044	407.920	0.876	24.6	239.6	215.1	160.0	
8	Spectrogram 1	1	AU-BS04b-140828-201000.wav	409.514	410.430	0.916	30.7	236.6	205.8	32.0	
9	Spectrogram 1	1	AU-BS04b-140828-201000.wav	412.900	414.295	1.394	24.6	267.3	242.7	32.0	
10	Spectrogram 1	1	AU-BS04b-140828-201000.wav	422.562	422.841	0.279	50.7	692.8	642.1	240.0	start gs
11	Spectrogram 1	1	AU-BS04b-140828-201000.wav	426.924	427.124	0.199	21.5	1020.0	998.5	144.0	
12	Spectrogram 1	1	AU-BS04b-140828-201000.wav	430.948	431.187	0.239	43.0	577.6	534.6	144.0	
13	Spectrogram 1	1	AU-BS04b-140828-201000.wav	434.853	435.171	0.319	30.7	712.7	682.0	96.0	
14	Spectrogram 1	1	AU-BS04b-140828-201000.wav	438.932	439.251	0.319	39.9	992.3	952.4	192.0	
15	Spectrogram 1	1	AU-BS04b-140828-201000.wav	442.956	443.275	0.319	33.8	752.7	718.9	176.0	
16	Spectrogram 1	1	AU-BS04b-140828-201000.wav	446.960	447.239	0.279	32.3	668.2	635.9	176.0	
17	Spectrogram 1	1	AU-BS04b-140828-201000.wav	450.765	451.084	0.319	21.8	827.4	805.6	192.0	
18	Spectrogram 1	1	AU-BS04b-140828-201000.wav	454.629	454.869	0.239	31.1	814.9	783.8	192.0	
19	Spectrogram 1	1	AU-BS04b-140828-201000.wav	459.530	459.809	0.279	40.4	463.5	423.0	96.0	
20	Spectrogram 1	1	AU-BS04b-140828-201000.wav	464.390	464.709	0.319	35.8	723.2	687.4	144.0	
21	Spectrogram 1	1	AU-BS04b-140828-201000.wav	468.454	468.733	0.279	43.5	914.5	870.9	48.0	
22	Spectrogram 1	1	AU-BS04b-140828-201000.wav	472.797	472.996	0.199	31.1	1545.9	1514.8	48.0	end main phrase
23	Spectrogram 1	1	AU-BS04b-140828-201000.wav	488.653	488.932	0.279	40.4	995.3	954.9	48.0	terminal phrase
24	Spectrogram 1	1	AU-BS04b-140828-201000.wav	493.251	493.530	0.279	37.3	1290.8	1253.5	288.0	
25	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4049.028	4049.785	0.757	28.0	251.9	224.0	32.0	start pattern
26	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4051.657	4052.335	0.677	28.0	242.6	214.6	32.0	
27	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4053.888	4054.645	0.757	28.0	258.2	230.2	32.0	
28	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4056.494	4057.371	0.876	28.0	227.1	199.1	32.0	
29	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4059.283	4060.319	1.036	21.8	230.2	208.4	64.0	
30	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4062.390	4063.108	0.717	37.3	236.4	199.1	48.0	
31	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4075.458	4075.618	0.159	28.0	762.1	734.1	208.0	start gs
32	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4079.402	4079.641	0.239	40.4	1219.3	1178.8	80.0	
33	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4083.307	4083.506	0.199	31.1	948.7	917.6	160.0	
34	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4087.251	4087.450	0.199	28.0	995.3	967.3	192.0	
35	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4091.116	4091.275	0.159	26.4	987.6	961.1	160.0	
36	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4094.980	4095.139	0.159	28.0	1057.5	1029.5	128.0	
37	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4098.924	4099.124	0.199	34.2	1200.6	1166.4	240.0	
38	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4102.789	4103.028	0.239	31.1	1259.7	1228.6	240.0	
39	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4106.534	4106.773	0.239	31.1	1695.2	1664.1	112.0	
40	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4110.534	4110.693	0.159	28.0	1847.6	1819.6	368.0	
41	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4114.578	4114.777	0.199	38.9	1304.8	1265.9	240.0	
42	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4118.382	4118.542	0.159	31.1	1297.0	1265.9	240.0	
43	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4122.327	4122.526	0.199	43.5	989.1	945.6	208.0	
44	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4126.072	4126.271	0.199	31.1	852.3	821.2	192.0	
45	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4130.016	4130.175	0.159	37.3	814.9	777.6	192.0	
46	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4133.801	4134.040	0.239	21.8	559.9	538.1	192.0	
47	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4137.546	4137.825	0.279	34.2	581.6	547.4	192.0	end main phrase
48	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4152.406	4152.725	0.319	28.0	538.1	510.1	224.0	start terminal phrase
49	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4156.390	4156.709	0.319	40.4	703.0	662.5	160.0	
50	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4160.693	4160.972	0.279	31.1	615.9	584.8	192.0	
51	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4178.598	4178.876	0.279	37.3	544.3	507.0	64.0	
52	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4183.000	4183.279	0.279	43.5	535.0	491.4	112.0	
53	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4187.163	4187.442	0.279	37.3	500.8	463.5	112.0	
54	Spectrogram 1	1	AU-BS04b-140829-005000.wav	4191.327	4191.765	0.438	37.3	516.3	479.0	48.0	
55	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4335.139	4335.777	0.637	31.1	230.2	199.1	48.0	start pattern
56	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4338.008	4338.685	0.677	24.9	233.3	208.4	48.0	
57	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4340.518	4341.116	0.598	28.0	217.7	189.7	48.0	
58	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4342.988	4343.546	0.558	31.1	214.6	183.5	176.0	
59	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4345.418	4346.135	0.717	37.3	227.1	189.7	48.0	
60	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4348.048	4348.765	0.717	34.2	227.1	192.8	64.0	
61	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4350.677	4351.315	0.637	34.2	236.4	202.2	80.0	
62	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4353.307	4354.143	0.837	28.0	230.2	202.2	64.0	
63	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4356.773	4357.570	0.797	24.9	233.3	208.4	80.0	
64	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4367.968	4368.127	0.159	31.1	737.2	706.1	192.0	start gs
65	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4371.952	4372.112	0.159	24.9	1091.8	1066.9	128.0	
66	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4375.777	4375.976	0.199	28.0	1029.5	1001.6	128.0	
67	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4379.737	4379.896	0.159	37.3	870.9	833.6	128.0	
68	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4383.602	4383.761	0.159	31.1	706.1	675.0	112.0	
69	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4387.466	4387.625	0.159	37.3	1014.0	976.7	128.0	
70	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4391.331	4391.490	0.159	24.9	1290.8	1265.9	128.0	
71	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4395.235	4395.394	0.159	37.3	1474.3	1437.0	128.0	
72	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4398.940	4399.100	0.159	37.3	1443.2	1405.9	128.0	
73	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4402.964	4403.163	0.199	43.5	1844.5	1800.9	144.0	
74	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4406.908	4407.108	0.199	46.7	1636.1	1589.4	336.0	
75	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4410.972	4411.211	0.239	28.0	1237.9	1210.0	208.0	
76	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4414.916	4415.155	0.239	28.0	936.2	908.2	96.0	
77	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4418.900	4419.100	0.199	31.1	525.7	494.6	80.0	
78	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4422.765	4423.004	0.239	34.2	516.3	482.1	176.0	
79	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4426.669	4426.948	0.279	31.1	507.0	475.9	176.0	
80	Spectrogram 1	1	AU-BS04b-140829-010000.wav	4430.375	4430.614	0.239	34.2	625.2	591.0	144.0	
81	Spectrogram 1	1	AU-BS04b-140829-011000.wav	5201.012	5201.530	0.518	28.0	211.5	183.5	32.0	start pattern
