Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-BS04b-140829-000000.wav	937.442	937.641	0.199	34.2	1169.5	1135.3	240.0	start pattern D
2	Spectrogram 1	1	AU-BS04b-140829-000000.wav	937.920	938.159	0.239	28.0	1580.1	1552.1	240.0	
3	Spectrogram 1	1	AU-BS04b-140829-000000.wav	946.367	946.606	0.239	28.0	1757.4	1729.4	96.0	
4	Spectrogram 1	1	AU-BS04b-140829-000000.wav	946.805	947.004	0.199	28.0	1782.3	1754.3	96.0	
5	Spectrogram 1	1	AU-BS04b-140829-000000.wav	951.307	951.546	0.239	18.7	1315.7	1297.0	96.0	
6	Spectrogram 1	1	AU-BS04b-140829-000000.wav	951.825	952.064	0.239	24.9	1570.8	1545.9	144.0	
7	Spectrogram 1	1	AU-BS04b-140829-000000.wav	956.127	956.367	0.239	34.2	622.1	587.9	192.0	
8	Spectrogram 1	1	AU-BS04b-140829-000000.wav	956.685	956.884	0.199	40.4	354.6	314.2	160.0	
9	Spectrogram 1	1	AU-BS04b-140829-000000.wav	961.307	961.506	0.199	24.9	413.7	388.8	128.0	
10	Spectrogram 1	1	AU-BS04b-140829-000000.wav	961.785	961.944	0.159	28.0	407.5	379.5	240.0	
11	Spectrogram 1	1	AU-BS04b-140829-000000.wav	966.167	966.406	0.239	28.0	1486.8	1458.8	240.0	
12	Spectrogram 1	1	AU-BS04b-140829-000000.wav	966.725	966.964	0.239	28.0	1026.4	998.4	192.0	
13	Spectrogram 1	1	AU-BS04b-140829-000000.wav	971.028	971.267	0.239	24.9	1070.0	1045.1	240.0	
14	Spectrogram 1	1	AU-BS04b-140829-000000.wav	971.466	971.745	0.279	24.9	727.8	703.0	256.0	
15	Spectrogram 1	1	AU-BS04b-140829-001000.wav	1485.849	1486.088	0.239	31.1	1461.9	1430.8	192.0	start pattern
