Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-BS04b-150904-200000.wav	253.381	253.588	0.206	35.5	1409.7	1374.2	96.0	start pattern
2	Spectrogram 1	1	AU-BS04b-150904-200000.wav	254.660	254.784	0.124	50.0	1162.9	1112.9	96.0	
3	Spectrogram 1	1	AU-BS04b-150904-200000.wav	256.227	256.351	0.124	61.3	777.4	716.1	192.0	
4	Spectrogram 1	1	AU-BS04b-150904-200000.wav	259.423	259.629	0.206	51.6	1483.9	1432.3	288.0	
5	Spectrogram 1	1	AU-BS04b-150904-200000.wav	260.866	260.990	0.124	61.3	448.4	387.1	64.0	
6	Spectrogram 1	1	AU-BS04b-150904-200000.wav	262.598	262.763	0.165	51.6	1300.0	1248.4	160.0	
7	Spectrogram 1	1	AU-BS04b-150904-200000.wav	264.000	264.124	0.124	64.5	580.6	516.1	144.0	
8	Spectrogram 1	1	AU-BS04b-150904-200000.wav	265.732	265.938	0.206	74.2	1709.7	1635.5	128.0	
9	Spectrogram 1	1	AU-BS04b-150904-200000.wav	267.175	267.340	0.165	77.4	635.5	558.1	144.0	
10	Spectrogram 1	1	AU-BS04b-150904-200000.wav	268.907	269.113	0.206	71.0	1867.7	1796.8	112.0	
11	Spectrogram 1	1	AU-BS04b-150904-200000.wav	270.392	270.557	0.165	74.2	729.0	654.8	112.0	
12	Spectrogram 1	1	AU-BS04b-150904-200000.wav	272.124	272.392	0.268	67.7	1825.8	1758.1	112.0	
13	Spectrogram 1	1	AU-BS04b-150904-200000.wav	273.649	273.814	0.165	74.2	712.9	638.7	112.0	
14	Spectrogram 1	1	AU-BS04b-150904-200000.wav	275.361	275.608	0.247	49.5	1709.6	1660.1	176.0	
15	Spectrogram 1	1	AU-BS04b-150904-200000.wav	276.887	277.052	0.165	69.3	805.3	736.0	176.0	
16	Spectrogram 1	1	AU-BS04b-150904-200000.wav	278.454	278.660	0.206	66.0	1584.2	1518.2	176.0	
17	Spectrogram 1	1	AU-BS04b-150904-200000.wav	279.938	280.144	0.206	49.5	1234.3	1184.8	64.0	
18	Spectrogram 1	1	AU-BS04b-150904-200000.wav	281.505	281.753	0.247	59.4	1326.7	1267.3	176.0	
19	Spectrogram 1	1	AU-BS04b-150904-200000.wav	284.598	284.804	0.206	69.3	1429.0	1359.7	96.0	
20	Spectrogram 1	1	AU-BS04b-150904-200000.wav	287.856	288.103	0.247	72.6	1029.7	957.1	192.0	
21	Spectrogram 1	1	AU-BS04b-150904-200000.wav	294.206	294.454	0.247	75.9	831.7	755.8	144.0	start terminal phrase
22	Spectrogram 1	1	AU-BS04b-150904-200000.wav	295.649	295.897	0.247	69.3	953.8	884.5	144.0	
23	Spectrogram 1	1	AU-BS04b-150904-200000.wav	297.175	297.423	0.247	79.2	1670.0	1590.8	192.0	
24	Spectrogram 1	1	AU-BS04b-150904-200000.wav	298.619	298.907	0.289	72.6	1930.7	1858.1	128.0	
25	Spectrogram 1	1	AU-BS04b-150904-200000.wav	301.711	301.959	0.247	66.0	1970.3	1904.3	208.0	
26	Spectrogram 1	1	AU-BS04b-150904-200000.wav	304.969	305.175	0.206	75.9	1795.4	1719.5	352.0	
27	Spectrogram 1	1	AU-BS04b-150904-200000.wav	311.979	312.268	0.289	85.8	1739.3	1653.5	176.0	
28	Spectrogram 1	1	AU-BS04b-150904-200000.wav	313.588	313.835	0.247	85.8	1726.1	1640.3	320.0	
29	Spectrogram 1	1	AU-BS04b-150904-200000.wav	315.113	315.402	0.289	92.4	1762.4	1670.0	208.0	
30	Spectrogram 1	1	AU-BS04b-150904-200000.wav	316.598	316.969	0.371	79.2	1755.8	1676.6	208.0	
