Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	AU-BS04b-150904-050000.wav	400.351	400.845	0.495	43.0	228.5	185.4	48.0	start pattern C
2	Spectrogram 1	1	AU-BS04b-150904-050000.wav	402.825	403.320	0.495	36.4	245.0	208.6	48.0	
3	Spectrogram 1	1	AU-BS04b-150904-050000.wav	405.588	406.000	0.412	43.0	238.4	195.4	48.0	
4	Spectrogram 1	1	AU-BS04b-150904-050000.wav	408.227	408.763	0.536	39.7	251.7	211.9	48.0	
5	Spectrogram 1	1	AU-BS04b-150904-050000.wav	410.948	411.443	0.495	39.7	248.3	208.6	160.0	
6	Spectrogram 1	1	AU-BS04b-150904-050000.wav	414.082	414.701	0.619	46.4	245.0	198.7	48.0	
7	Spectrogram 1	1	AU-BS04b-150904-050000.wav	417.175	417.711	0.536	36.4	258.3	221.9	48.0	
8	Spectrogram 1	1	AU-BS04b-150904-050000.wav	419.938	420.515	0.577	33.1	245.0	211.9	48.0	
9	Spectrogram 1	1	AU-BS04b-150904-050000.wav	430.660	430.825	0.165	66.2	1993.4	1927.2	240.0	start gs
10	Spectrogram 1	1	AU-BS04b-150904-050000.wav	434.412	434.619	0.206	29.8	1993.4	1963.6	128.0	
11	Spectrogram 1	1	AU-BS04b-150904-050000.wav	438.186	438.309	0.124	66.2	1996.7	1930.5	144.0	
12	Spectrogram 1	1	AU-BS04b-150904-050000.wav	441.938	442.062	0.124	49.7	1986.8	1937.1	272.0	
13	Spectrogram 1	1	AU-BS04b-150904-050000.wav	445.649	445.814	0.165	86.1	1986.8	1900.7	96.0	
14	Spectrogram 1	1	AU-BS04b-150904-050000.wav	449.443	449.649	0.206	39.7	1993.4	1953.6	80.0	
15	Spectrogram 1	1	AU-BS04b-150904-050000.wav	453.196	453.361	0.165	66.2	1990.1	1923.8	1680.0	
16	Spectrogram 1	1	AU-BS04b-150904-050000.wav	457.031	457.196	0.165	59.6	1993.4	1933.8	160.0	
17	Spectrogram 1	1	AU-BS04b-150904-050000.wav	460.742	460.907	0.165	43.0	1996.7	1953.6	192.0	
