Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	EA-RW03-110913-105742.wav	36.355	36.614	0.259	576.0	659.0	82.9	640.6	start pattern A
2	Spectrogram 1	1	EA-RW03-110913-105742.wav	37.171	37.371	0.199	574.5	675.9	101.4	636.7	
3	Spectrogram 1	1	EA-RW03-110913-105742.wav	38.167	38.446	0.279	580.6	672.8	92.2	648.4	
4	Spectrogram 1	1	EA-RW03-110913-105742.wav	39.243	39.522	0.279	577.6	669.7	92.2	628.9	
5	Spectrogram 1	1	EA-RW03-110913-105742.wav	40.319	40.677	0.359	580.6	648.2	67.6	625.0	
6	Spectrogram 1	1	EA-RW03-110913-105742.wav	41.434	41.753	0.319	586.8	679.0	92.2	621.1	
7	Spectrogram 1	1	EA-RW03-110913-105742.wav	42.430	42.749	0.319	586.8	669.7	82.9	640.6	
8	Spectrogram 1	1	EA-RW03-110913-105742.wav	43.625	43.904	0.279	574.5	682.0	107.5	640.6	
9	Spectrogram 1	1	EA-RW03-110913-105742.wav	44.701	44.940	0.239	565.3	679.0	113.7	632.8	
10	Spectrogram 1	1	EA-RW03-110913-105742.wav	45.777	46.096	0.319	559.1	688.2	129.0	621.1	
11	Spectrogram 1	1	EA-RW03-110913-105742.wav	46.892	47.291	0.398	565.3	691.2	126.0	636.7	
12	Spectrogram 1	1	EA-RW03-110913-105742.wav	48.167	48.446	0.279	568.4	703.5	135.2	640.6	
13	Spectrogram 1	1	EA-RW03-110913-105742.wav	50.279	51.036	0.757	172.0	239.6	67.6	187.5	DS
14	Spectrogram 1	1	EA-RW03-110914-085743.wav	5515.291	5515.570	0.279	563.3	680.4	117.1	636.7	start pattern
15	Spectrogram 1	1	EA-RW03-110914-085743.wav	5516.367	5516.685	0.319	566.5	683.5	117.1	636.7	
16	Spectrogram 1	1	EA-RW03-110914-085743.wav	5517.402	5517.681	0.279	553.8	677.2	123.4	617.2	
