Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	EA-RW03-110913-155743.wav	1419.618	1419.857	0.239	31.6	1825.9	1794.3	214.8	start pattern B
2	Spectrogram 1	1	EA-RW03-110913-155743.wav	1420.992	1421.112	0.120	66.5	1117.1	1050.6	378.9	
3	Spectrogram 1	1	EA-RW03-110913-155743.wav	1422.566	1422.685	0.120	50.6	898.7	848.1	191.4	
4	Spectrogram 1	1	EA-RW03-110913-155743.wav	1425.713	1425.952	0.239	41.1	1993.7	1952.5	316.4	
5	Spectrogram 1	1	EA-RW03-110913-155743.wav	1427.187	1427.347	0.159	58.5	1403.5	1344.9	972.7	
6	Spectrogram 1	1	EA-RW03-110913-155743.wav	1428.861	1429.100	0.239	66.5	1996.8	1930.4	781.2	
7	Spectrogram 1	1	EA-RW03-110913-155743.wav	1430.335	1430.494	0.159	53.8	1446.2	1392.4	191.4	
8	Spectrogram 1	1	EA-RW03-110913-155743.wav	1432.008	1432.247	0.239	34.8	1996.8	1962.0	835.9	
9	Spectrogram 1	1	EA-RW03-110913-155743.wav	1433.522	1433.721	0.199	69.6	1984.2	1914.6	839.8	
10	Spectrogram 1	1	EA-RW03-110913-155743.wav	1435.116	1435.275	0.159	66.5	1993.7	1927.2	1043.0	
11	Spectrogram 1	1	EA-RW03-110913-155743.wav	1436.669	1436.829	0.159	79.1	1743.7	1664.6	929.7	
12	Spectrogram 1	1	EA-RW03-110913-155743.wav	1438.263	1438.462	0.199	50.6	1993.7	1943.0	855.5	
13	Spectrogram 1	1	EA-RW03-110913-155743.wav	1439.737	1439.936	0.199	79.1	1746.8	1667.7	132.8	
14	Spectrogram 1	1	EA-RW03-110913-155743.wav	1441.331	1441.570	0.239	75.9	1952.5	1876.6	929.7	
15	Spectrogram 1	1	EA-RW03-110913-155743.wav	1442.884	1443.084	0.199	69.6	1990.5	1920.9	777.3	
16	Spectrogram 1	1	EA-RW03-110913-155743.wav	1444.359	1444.558	0.199	69.6	1968.4	1898.7	324.2	
17	Spectrogram 1	1	EA-RW03-110913-155743.wav	1445.912	1446.112	0.199	75.9	1993.7	1917.7	609.4	
18	Spectrogram 1	1	EA-RW03-110913-155743.wav	1447.426	1447.625	0.199	69.6	1990.5	1920.9	925.8	
19	Spectrogram 1	1	EA-RW03-110913-155743.wav	1448.940	1449.139	0.199	79.1	1996.8	1917.7	925.8	end pattern but bc of recording. missed gs.
20	Spectrogram 1	1	EA-RW03-110913-185743.wav	1984.299	1984.538	0.239	41.1	1250.0	1208.9	226.6	start pattern.
21	Spectrogram 1	1	EA-RW03-110913-185743.wav	1985.653	1985.813	0.159	66.5	598.1	531.6	242.2	
22	Spectrogram 1	1	EA-RW03-110913-185743.wav	1987.167	1987.327	0.159	75.9	943.0	867.1	121.1	
23	Spectrogram 1	1	EA-RW03-110913-185743.wav	1990.514	1990.673	0.159	52.2	1580.7	1528.5	121.1	
24	Spectrogram 1	1	EA-RW03-110913-185743.wav	1991.908	1992.108	0.199	82.3	1227.8	1145.6	121.1	
25	Spectrogram 1	1	EA-RW03-110913-185743.wav	1993.661	1993.861	0.199	50.6	683.5	632.9	121.1	
26	Spectrogram 1	1	EA-RW03-110913-185743.wav	1995.136	1995.295	0.159	63.3	879.7	816.5	847.7	
27	Spectrogram 1	1	EA-RW03-110913-185743.wav	1996.849	1997.008	0.159	53.8	1968.4	1914.6	933.6	
28	Spectrogram 1	1	EA-RW03-110913-185743.wav	1998.283	1998.442	0.159	75.9	854.4	778.5	761.7	
29	Spectrogram 1	1	EA-RW03-110913-185743.wav	2000.036	2000.195	0.159	53.8	1958.9	1905.1	550.8	
30	Spectrogram 1	1	EA-RW03-110913-185743.wav	2001.550	2001.709	0.159	57.0	1000.0	943.0	695.3	
31	Spectrogram 1	1	EA-RW03-110913-185743.wav	2003.303	2003.462	0.159	50.6	1955.7	1905.1	289.1	
32	Spectrogram 1	1	EA-RW03-110913-185743.wav	2004.897	2005.056	0.159	53.8	1338.6	1284.8	457.0	
33	Spectrogram 1	1	EA-RW03-110913-185743.wav	2006.291	2006.450	0.159	66.5	1927.2	1860.8	1125.0	
34	Spectrogram 1	1	EA-RW03-110913-185743.wav	2007.845	2008.004	0.159	57.0	1962.0	1905.1	1074.2	
35	Spectrogram 1	1	EA-RW03-110913-185743.wav	2009.438	2009.598	0.159	72.8	1677.2	1604.4	1113.3	
36	Spectrogram 1	1	EA-RW03-110913-185743.wav	2010.992	2011.151	0.159	72.8	1642.4	1569.6	886.7	
37	Spectrogram 1	1	EA-RW03-110913-185743.wav	2012.665	2012.865	0.199	63.3	1648.7	1585.4	558.6	
