Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	EA-RW03-110916-145743.wav	7.849	8.127	0.279	534.6	666.7	132.1	628.9	start pattern A
2	Spectrogram 1	1	EA-RW03-110916-145743.wav	9.004	9.323	0.319	557.6	671.3	113.7	628.9	
3	Spectrogram 1	1	EA-RW03-110916-145743.wav	10.040	10.359	0.319	559.1	703.5	144.4	628.9	
4	Spectrogram 1	1	EA-RW03-110916-145743.wav	11.076	11.355	0.279	565.3	703.5	138.2	632.8	
5	Spectrogram 1	1	EA-RW03-110916-145743.wav	12.151	12.510	0.359	571.4	712.7	141.3	644.5	
6	Spectrogram 1	1	EA-RW03-110916-145743.wav	13.386	13.625	0.239	580.6	749.6	169.0	644.5	
7	Spectrogram 1	1	EA-RW03-110916-145743.wav	14.382	14.741	0.359	571.4	755.8	184.3	628.9	
8	Spectrogram 1	1	EA-RW03-110916-145743.wav	15.538	15.817	0.279	559.1	761.9	202.8	632.8	
9	Spectrogram 1	1	EA-RW03-110916-145743.wav	16.653	16.932	0.279	583.7	761.9	178.2	632.8	
10	Spectrogram 1	1	EA-RW03-110916-145743.wav	17.729	17.968	0.239	574.5	740.4	165.9	628.9	
11	Spectrogram 1	1	EA-RW03-110916-145743.wav	18.805	19.084	0.279	574.5	740.4	165.9	632.8	
12	Spectrogram 1	1	EA-RW03-110916-145743.wav	19.880	20.279	0.398	574.5	728.1	153.6	632.8	
13	Spectrogram 1	1	EA-RW03-110916-145743.wav	21.076	21.315	0.239	457.8	1361.0	903.2	640.6	
14	Spectrogram 1	1	EA-RW03-110916-145743.wav	23.984	24.940	0.956	160.6	220.5	59.8	168.0	DS - faint
15	Spectrogram 1	1	EA-RW03-110916-145743.wav	32.331	32.530	0.199	144.9	1448.8	1303.9	1285.2	start pattern
16	Spectrogram 1	1	EA-RW03-110916-145743.wav	33.347	33.625	0.279	1209.4	1455.1	245.7	1293.0	
17	Spectrogram 1	1	EA-RW03-110916-145743.wav	34.223	34.462	0.239	182.7	1423.6	1240.9	640.6	
18	Spectrogram 1	1	EA-RW03-110916-145743.wav	35.139	35.378	0.239	132.3	1401.6	1269.3	1285.2	
19	Spectrogram 1	1	EA-RW03-110916-145743.wav	35.896	36.135	0.239	1152.8	1354.3	201.6	1351.6	
20	Spectrogram 1	1	EA-RW03-110916-145743.wav	36.892	37.131	0.239	160.6	1366.9	1206.3	496.1	
21	Spectrogram 1	1	EA-RW03-110916-145743.wav	37.809	38.088	0.279	185.8	1376.4	1190.6	1261.7	
22	Spectrogram 1	1	EA-RW03-110916-145743.wav	38.725	38.964	0.239	189.0	1559.1	1370.1	632.8	
23	Spectrogram 1	1	EA-RW03-110916-145743.wav	39.562	39.841	0.279	189.0	1354.3	1165.4	1261.7	
24	Spectrogram 1	1	EA-RW03-110916-145743.wav	40.558	40.797	0.239	135.4	1357.5	1222.0	378.9	
25	Spectrogram 1	1	EA-RW03-110916-145743.wav	41.514	41.713	0.199	226.8	1338.6	1111.8	800.8	
26	Spectrogram 1	1	EA-RW03-110916-145743.wav	42.470	42.709	0.239	163.8	1555.9	1392.1	1296.9	
27	Spectrogram 1	1	EA-RW03-110916-145743.wav	43.426	43.586	0.159	159.1	1585.8	1426.8	1289.1	
28	Spectrogram 1	1	EA-RW03-110916-145743.wav	44.303	44.502	0.199	129.1	1653.5	1524.4	1293.0	
29	Spectrogram 1	1	EA-RW03-110916-145743.wav	45.239	45.438	0.199	140.2	1585.8	1445.7	546.9	
30	Spectrogram 1	1	EA-RW03-110916-145743.wav	46.096	46.335	0.239	148.0	1653.5	1505.5	1285.2	
31	Spectrogram 1	1	EA-RW03-110916-145743.wav	47.052	47.251	0.199	151.2	1587.4	1436.2	1300.8	
32	Spectrogram 1	1	EA-RW03-110916-145743.wav	47.968	48.247	0.279	166.9	1710.2	1543.3	1281.2	
33	Spectrogram 1	1	EA-RW03-110916-145743.wav	48.845	49.044	0.199	163.8	1656.7	1492.9	1296.9	
34	Spectrogram 1	1	EA-RW03-110916-145743.wav	50.956	52.112	1.155	138.6	217.3	78.7	207.0	DS
35	Spectrogram 1	1	EA-RW03-110916-155742.wav	455.785	456.064	0.279	176.4	1726.0	1549.6	613.3	start pattern
36	Spectrogram 1	1	EA-RW03-110916-155742.wav	456.861	457.100	0.239	166.9	1729.1	1562.2	617.2	
37	Spectrogram 1	1	EA-RW03-110916-155742.wav	457.896	458.175	0.279	182.7	1549.6	1366.9	457.0	
38	Spectrogram 1	1	EA-RW03-110916-155742.wav	458.932	459.211	0.279	88.2	1537.0	1448.8	636.7	
39	Spectrogram 1	1	EA-RW03-110916-155742.wav	460.048	460.327	0.279	119.7	1883.5	1763.8	625.0	
40	Spectrogram 1	1	EA-RW03-110916-155742.wav	461.173	461.402	0.229	111.8	1803.1	1691.3	628.9	
41	Spectrogram 1	1	EA-RW03-110916-155742.wav	462.279	462.518	0.239	126.0	1760.6	1634.6	636.7	
42	Spectrogram 1	1	EA-RW03-110916-155742.wav	463.275	463.514	0.239	121.3	1755.9	1634.6	640.6	
43	Spectrogram 1	1	EA-RW03-110916-155742.wav	464.331	464.590	0.259	116.5	1899.2	1782.7	628.9	
44	Spectrogram 1	1	EA-RW03-110916-155742.wav	465.466	465.705	0.239	119.7	1867.7	1748.0	636.7	
45	Spectrogram 1	1	EA-RW03-110916-155742.wav	466.502	466.781	0.279	47.2	1892.9	1845.7	640.6	
46	Spectrogram 1	1	EA-RW03-110916-155742.wav	467.498	467.777	0.279	179.5	1902.4	1722.8	636.7	
47	Spectrogram 1	1	EA-RW03-110916-155742.wav	468.653	468.892	0.239	179.5	1779.5	1600.0	628.9	
48	Spectrogram 1	1	EA-RW03-110916-155742.wav	469.729	470.008	0.279	91.3	1760.6	1669.3	636.7	
49	Spectrogram 1	1	EA-RW03-110916-155742.wav	470.805	471.044	0.239	179.5	1748.0	1568.5	660.2	
50	Spectrogram 1	1	EA-RW03-110916-155742.wav	471.880	472.159	0.279	132.3	1779.5	1647.2	640.6	
51	Spectrogram 1	1	EA-RW03-110916-155742.wav	474.271	475.108	0.837	126.0	239.4	113.4	230.5	DS
52	Spectrogram 1	1	EA-RW03-110916-165743.wav	680.988	681.267	0.279	390.6	667.7	277.2	628.9	
53	Spectrogram 1	1	EA-RW03-110916-165743.wav	682.104	682.343	0.239	247.2	1562.2	1315.0	625.0	
54	Spectrogram 1	1	EA-RW03-110916-165743.wav	683.100	683.339	0.239	179.5	1716.5	1537.0	632.8	
