Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	EA-RW03-110927-215743.wav	279.363	279.602	0.239	559.1	669.7	110.6	632.8	start pattern A
2	Spectrogram 1	1	EA-RW03-110927-215743.wav	280.378	280.657	0.279	536.1	674.3	138.2	632.8	
3	Spectrogram 1	1	EA-RW03-110927-215743.wav	281.434	281.713	0.279	525.3	694.3	169.0	632.8	
4	Spectrogram 1	1	EA-RW03-110927-215743.wav	282.430	282.669	0.239	519.2	715.8	196.6	632.8	
5	Spectrogram 1	1	EA-RW03-110927-215743.wav	283.526	283.725	0.199	514.6	695.9	181.3	632.8	
6	Spectrogram 1	1	EA-RW03-110927-215743.wav	284.661	284.900	0.239	503.8	691.2	187.4	632.8	
7	Spectrogram 1	1	EA-RW03-110927-215743.wav	285.697	285.976	0.279	540.7	682.0	141.3	632.8	
8	Spectrogram 1	1	EA-RW03-110927-215743.wav	286.813	287.092	0.279	525.3	703.5	178.2	632.8	
9	Spectrogram 1	1	EA-RW03-110927-215743.wav	287.928	288.207	0.279	546.9	672.8	126.0	609.4	
10	Spectrogram 1	1	EA-RW03-110927-215743.wav	289.044	289.283	0.239	523.8	784.9	261.1	632.8	
11	Spectrogram 1	1	EA-RW03-110927-215743.wav	290.120	290.359	0.239	508.4	738.9	230.4	632.8	end pattern - no DS
13	Spectrogram 1	1	EA-RW03-110927-225742.wav	494.805	495.084	0.279	406.9	706.6	299.7	632.8	
14	Spectrogram 1	1	EA-RW03-110927-225742.wav	495.761	495.960	0.199	451.1	681.4	230.3	617.2	
15	Spectrogram 1	1	EA-RW03-110927-225742.wav	496.757	496.996	0.239	429.0	706.6	277.6	617.2	
16	Spectrogram 1	1	EA-RW03-110927-225742.wav	497.793	497.992	0.199	457.4	712.9	255.5	625.0	
17	Spectrogram 1	1	EA-RW03-110927-225742.wav	498.829	499.068	0.239	416.4	870.7	454.3	617.2	
18	Spectrogram 1	1	EA-RW03-110927-225742.wav	499.865	500.064	0.199	413.2	911.7	498.4	640.6	
19	Spectrogram 1	1	EA-RW03-110927-225742.wav	500.900	501.139	0.239	391.2	892.7	501.6	625.0	
