Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	EA-RW03-111005-065743.wav	151.187	151.466	0.279	147.5	1170.5	1023.0	609.4	start pattern A
2	Spectrogram 1	1	EA-RW03-111005-065743.wav	152.343	152.661	0.319	155.4	1200.9	1045.5	617.2	
3	Spectrogram 1	1	EA-RW03-111005-065743.wav	153.259	153.538	0.279	157.0	1412.9	1255.9	640.6	
4	Spectrogram 1	1	EA-RW03-111005-065743.wav	154.295	154.614	0.319	168.0	1535.3	1367.3	625.0	
5	Spectrogram 1	1	EA-RW03-111005-065743.wav	155.351	155.629	0.279	144.4	1111.5	967.0	632.8	
6	Spectrogram 1	1	EA-RW03-111005-065743.wav	156.327	156.645	0.319	128.7	1070.6	941.9	703.1	
7	Spectrogram 1	1	EA-RW03-111005-065743.wav	157.482	157.841	0.359	125.6	1139.7	1014.1	617.2	
8	Spectrogram 1	1	EA-RW03-111005-065743.wav	158.478	158.797	0.319	153.8	1080.1	926.2	632.8	
9	Spectrogram 1	1	EA-RW03-111005-065743.wav	159.434	159.793	0.359	106.8	1111.5	1004.7	250.0	
10	Spectrogram 1	1	EA-RW03-111005-065743.wav	162.303	163.219	0.916	157.0	216.6	59.7	171.9	DS
11	Spectrogram 1	1	EA-RW03-111005-065743.wav	165.347	165.665	0.319	150.7	1265.3	1114.6	203.1	start pattern
12	Spectrogram 1	1	EA-RW03-111005-065743.wav	166.382	166.622	0.239	153.8	1265.3	1111.5	664.1	
13	Spectrogram 1	1	EA-RW03-111005-065743.wav	167.299	167.498	0.199	122.4	1350.1	1227.6	632.8	
14	Spectrogram 1	1	EA-RW03-111005-065743.wav	168.335	168.534	0.199	150.7	1422.3	1271.6	632.8	
15	Spectrogram 1	1	EA-RW03-111005-065743.wav	169.430	169.649	0.219	136.6	1497.6	1361.1	632.8	
16	Spectrogram 1	1	EA-RW03-111005-065743.wav	170.406	170.645	0.239	147.6	1573.0	1425.4	632.8	
17	Spectrogram 1	1	EA-RW03-111005-065743.wav	171.482	171.681	0.199	185.2	1416.0	1230.8	632.8	
18	Spectrogram 1	1	EA-RW03-111005-065743.wav	172.598	172.797	0.199	116.2	1478.8	1362.6	632.8	
19	Spectrogram 1	1	EA-RW03-111005-065743.wav	173.753	173.992	0.239	182.1	1573.0	1390.9	632.8	
20	Spectrogram 1	1	EA-RW03-111005-065743.wav	174.869	175.108	0.239	194.7	1613.8	1419.2	632.8	
21	Spectrogram 1	1	EA-RW03-111005-065743.wav	177.498	178.494	0.996	131.9	219.8	87.9	195.3	DS
22	Spectrogram 1	1	EA-RW03-111005-065743.wav	179.291	179.490	0.199	150.7	1959.2	1808.5	632.8	start terminal phrase
