Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	EA-RW03-111015-155743.wav	1243.633	1243.793	0.159	67.6	1981.6	1914.0	585.9	start pattern D
2	Spectrogram 1	1	EA-RW03-111015-155743.wav	1244.072	1244.271	0.199	36.9	1600.6	1563.7	156.2	
3	Spectrogram 1	1	EA-RW03-111015-155743.wav	1253.036	1253.195	0.159	39.9	1993.9	1953.9	445.3	
4	Spectrogram 1	1	EA-RW03-111015-155743.wav	1253.514	1253.673	0.159	21.5	1987.7	1966.2	265.6	
5	Spectrogram 1	1	EA-RW03-111015-155743.wav	1258.016	1258.175	0.159	24.6	1993.9	1969.3	359.4	
6	Spectrogram 1	1	EA-RW03-111015-155743.wav	1258.494	1258.693	0.199	43.0	1990.8	1947.8	265.6	
7	Spectrogram 1	1	EA-RW03-111015-155743.wav	1263.036	1263.195	0.159	43.0	1990.8	1947.8	382.8	
8	Spectrogram 1	1	EA-RW03-111015-155743.wav	1263.474	1263.673	0.199	43.0	1984.6	1941.6	382.8	
9	Spectrogram 1	1	EA-RW03-111015-155743.wav	1267.976	1268.175	0.199	49.2	1990.8	1941.6	226.6	
10	Spectrogram 1	1	EA-RW03-111015-155743.wav	1268.454	1268.653	0.199	24.6	1993.9	1969.3	382.8	
11	Spectrogram 1	1	EA-RW03-111015-155743.wav	1273.155	1273.355	0.199	61.4	1996.9	1935.5	445.3	
12	Spectrogram 1	1	EA-RW03-111015-155743.wav	1273.594	1273.793	0.199	30.7	1996.9	1966.2	507.8	
13	Spectrogram 1	1	EA-RW03-111015-175743.wav	1812.080	1812.279	0.199	73.7	1996.9	1923.2	617.2	start pattern
14	Spectrogram 1	1	EA-RW03-111015-175743.wav	1812.518	1812.717	0.199	24.6	1950.8	1926.3	125.0	
15	Spectrogram 1	1	EA-RW03-111015-175743.wav	1821.562	1821.801	0.239	33.8	1993.9	1960.1	562.5	
16	Spectrogram 1	1	EA-RW03-111015-175743.wav	1822.040	1822.239	0.199	39.9	1993.9	1953.9	382.8	
17	Spectrogram 1	1	EA-RW03-111015-175743.wav	1826.582	1826.741	0.159	46.1	1993.9	1947.8	273.4	
18	Spectrogram 1	1	EA-RW03-111015-175743.wav	1827.060	1827.219	0.159	27.6	1993.9	1966.2	273.4	
19	Spectrogram 1	1	EA-RW03-111015-175743.wav	1831.602	1831.761	0.159	39.9	1996.9	1957.0	226.6	
20	Spectrogram 1	1	EA-RW03-111015-175743.wav	1832.080	1832.199	0.120	24.6	1993.9	1969.3	273.4	
21	Spectrogram 1	1	EA-RW03-111015-175743.wav	1836.661	1836.821	0.159	33.8	1993.9	1960.1	226.6	
22	Spectrogram 1	1	EA-RW03-111015-175743.wav	1837.139	1837.299	0.159	33.8	1996.9	1963.1	273.4	
23	Spectrogram 1	1	EA-RW03-111015-175743.wav	1841.697	1841.936	0.239	18.4	1993.9	1975.4	273.4	
24	Spectrogram 1	1	EA-RW03-111015-175743.wav	1842.175	1842.375	0.199	33.8	1990.8	1957.0	382.8	
25	Spectrogram 1	1	EA-RW03-111015-175743.wav	1846.916	1847.116	0.199	36.9	1996.9	1960.1	453.1	
26	Spectrogram 1	1	EA-RW03-111015-175743.wav	1847.434	1847.594	0.159	27.6	1993.9	1966.2	648.4	
27	Spectrogram 1	1	EA-RW03-111015-175743.wav	1852.215	1852.454	0.239	30.7	1996.9	1966.2	984.4	
28	Spectrogram 1	1	EA-RW03-111015-175743.wav	1852.733	1852.892	0.159	21.5	1993.9	1972.4	585.9	
29	Spectrogram 1	1	EA-RW03-111015-185742.wav	1982.327	1982.446	0.120	58.4	1993.9	1935.5	625.0	start pattern
30	Spectrogram 1	1	EA-RW03-111015-185742.wav	1982.765	1982.964	0.199	30.7	657.5	626.7	78.1	
31	Spectrogram 1	1	EA-RW03-111015-185742.wav	1991.968	1992.127	0.159	36.9	1996.9	1960.1	406.2	
32	Spectrogram 1	1	EA-RW03-111015-185742.wav	1992.446	1992.606	0.159	30.7	1996.9	1966.2	250.0	
33	Spectrogram 1	1	EA-RW03-111015-185742.wav	1997.068	1997.227	0.159	30.7	1996.9	1966.2	320.3	
34	Spectrogram 1	1	EA-RW03-111015-185742.wav	1997.546	1997.705	0.159	30.7	1996.9	1966.2	390.6	
35	Spectrogram 1	1	EA-RW03-111015-185742.wav	2002.143	2002.303	0.159	30.7	1996.9	1966.2	250.0	
36	Spectrogram 1	1	EA-RW03-111015-185742.wav	2002.622	2002.821	0.199	21.5	1993.9	1972.4	382.8	
37	Spectrogram 1	1	EA-RW03-111015-185742.wav	2007.243	2007.442	0.199	33.8	1996.9	1963.1	320.3	
38	Spectrogram 1	1	EA-RW03-111015-185742.wav	2007.681	2007.920	0.239	30.7	1993.9	1963.1	320.3	
39	Spectrogram 1	1	EA-RW03-111015-185742.wav	2012.303	2012.502	0.199	39.9	1996.9	1957.0	242.2	
40	Spectrogram 1	1	EA-RW03-111015-185742.wav	2012.781	2012.980	0.199	30.7	1996.9	1966.2	328.1	
41	Spectrogram 1	1	EA-RW03-111015-185742.wav	2017.402	2017.602	0.199	24.6	1993.9	1969.3	203.1	
42	Spectrogram 1	1	EA-RW03-111015-185742.wav	2017.880	2018.120	0.239	55.3	1993.9	1938.6	242.2	
43	Spectrogram 1	1	EA-RW03-111015-185742.wav	2022.622	2022.861	0.239	49.2	1990.8	1941.6	1000.0	
44	Spectrogram 1	1	EA-RW03-111015-185742.wav	2023.060	2023.299	0.239	33.8	1993.9	1960.1	320.3	
45	Spectrogram 1	1	EA-RW03-111015-185742.wav	2027.761	2028.000	0.239	24.6	1996.9	1972.4	320.3	
46	Spectrogram 1	1	EA-RW03-111015-185742.wav	2028.279	2028.478	0.199	39.9	1996.9	1957.0	390.6	
47	Spectrogram 1	1	EA-RW03-111015-195743.wav	2286.287	2286.486	0.199	49.2	1990.8	1941.6	640.6	start pattern
48	Spectrogram 1	1	EA-RW03-111015-195743.wav	2286.725	2286.924	0.199	18.4	1201.2	1182.8	125.0	
49	Spectrogram 1	1	EA-RW03-111015-195743.wav	2295.849	2296.048	0.199	27.6	1993.9	1966.2	1171.9	
50	Spectrogram 1	1	EA-RW03-111015-195743.wav	2296.287	2296.526	0.239	30.7	1993.9	1963.1	734.4	
51	Spectrogram 1	1	EA-RW03-111015-195743.wav	2300.869	2301.147	0.279	49.2	1993.9	1944.7	187.5	
52	Spectrogram 1	1	EA-RW03-111015-195743.wav	2301.347	2301.586	0.239	49.2	1987.7	1938.6	289.1	
53	Spectrogram 1	1	EA-RW03-111015-195743.wav	2305.888	2306.088	0.199	49.2	1993.9	1944.7	187.5	
54	Spectrogram 1	1	EA-RW03-111015-195743.wav	2306.327	2306.526	0.199	46.1	1984.6	1938.6	375.0	
55	Spectrogram 1	1	EA-RW03-111015-195743.wav	2310.948	2311.147	0.199	36.9	1993.9	1957.0	296.9	
56	Spectrogram 1	1	EA-RW03-111015-195743.wav	2311.386	2311.625	0.239	52.2	1993.9	1941.6	226.6	
57	Spectrogram 1	1	EA-RW03-111015-195743.wav	2316.008	2316.207	0.199	24.6	1996.9	1972.4	289.1	
58	Spectrogram 1	1	EA-RW03-111015-195743.wav	2316.506	2316.705	0.199	49.2	1996.9	1947.8	367.2	
59	Spectrogram 1	1	EA-RW03-111015-195743.wav	2321.147	2321.347	0.199	43.0	1990.8	1947.8	226.6	
60	Spectrogram 1	1	EA-RW03-111015-195743.wav	2321.665	2321.825	0.159	46.1	1993.9	1947.8	367.2	
61	Spectrogram 1	1	EA-RW03-111015-195743.wav	2326.382	2326.542	0.159	24.6	1990.8	1966.2	234.4	
62	Spectrogram 1	1	EA-RW03-111015-195743.wav	2326.861	2327.020	0.159	39.9	1990.8	1950.8	460.9	
63	Spectrogram 1	1	EA-RW03-111015-195743.wav	2331.522	2331.681	0.159	24.6	1993.9	1969.3	359.4	
64	Spectrogram 1	1	EA-RW03-111015-195743.wav	2332.000	2332.159	0.159	33.8	1993.9	1960.1	187.5	
65	Spectrogram 1	1	EA-RW03-111015-195743.wav	2336.781	2336.980	0.199	18.4	1996.9	1978.5	296.9	
66	Spectrogram 1	1	EA-RW03-111015-195743.wav	2337.259	2337.458	0.199	27.6	1993.9	1966.2	367.2	
67	Spectrogram 1	1	EA-RW03-111015-195743.wav	2342.120	2342.279	0.159	55.3	1993.9	1938.6	398.4	
68	Spectrogram 1	1	EA-RW03-111015-195743.wav	2342.558	2342.757	0.199	27.6	1987.7	1960.1	304.7	
69	Spectrogram 1	1	EA-RW03-111015-195743.wav	2347.418	2347.618	0.199	52.2	1993.9	1941.6	375.0	
70	Spectrogram 1	1	EA-RW03-111015-195743.wav	2347.896	2348.135	0.239	24.6	1996.9	1972.4	351.6	
71	Spectrogram 1	1	EA-RW03-111015-205743.wav	2545.888	2546.088	0.199	36.9	1987.7	1950.8	406.2	start pattern
72	Spectrogram 1	1	EA-RW03-111015-205743.wav	2546.287	2546.486	0.199	36.9	1990.8	1953.9	156.2	
73	Spectrogram 1	1	EA-RW03-111015-205743.wav	2555.490	2555.649	0.159	15.4	1996.9	1981.6	414.1	
74	Spectrogram 1	1	EA-RW03-111015-205743.wav	2555.928	2556.127	0.199	30.7	1996.9	1966.2	226.6	
75	Spectrogram 1	1	EA-RW03-111015-205743.wav	2560.430	2560.629	0.199	27.6	1996.9	1969.3	289.1	
76	Spectrogram 1	1	EA-RW03-111015-205743.wav	2560.908	2561.108	0.199	30.7	1996.9	1966.2	296.9	
