Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	1	EA-RW03-111019-125743.wav	59.737	59.936	0.199	49.2	463.9	414.7	437.5	start pattern D
2	Spectrogram 1	1	EA-RW03-111019-125743.wav	60.175	60.375	0.199	24.6	626.7	602.2	195.3	
3	Spectrogram 1	1	EA-RW03-111019-125743.wav	69.100	69.259	0.159	61.4	823.3	761.9	312.5	
4	Spectrogram 1	1	EA-RW03-111019-125743.wav	69.558	69.757	0.199	36.9	614.4	577.6	78.1	
5	Spectrogram 1	1	EA-RW03-111019-125743.wav	74.040	74.239	0.199	27.6	549.9	522.3	328.1	
6	Spectrogram 1	1	EA-RW03-111019-125743.wav	74.518	74.677	0.159	27.6	568.4	540.7	265.6	
7	Spectrogram 1	1	EA-RW03-111019-125743.wav	79.040	79.239	0.199	55.3	847.9	792.6	273.4	
8	Spectrogram 1	1	EA-RW03-111019-125743.wav	79.498	79.697	0.199	43.0	777.3	734.3	109.4	
9	Spectrogram 1	1	EA-RW03-111019-125743.wav	83.920	84.080	0.159	61.4	921.7	860.2	382.8	
10	Spectrogram 1	1	EA-RW03-111019-125743.wav	84.359	84.558	0.199	64.5	491.6	427.0	304.7	
11	Spectrogram 1	1	EA-RW03-111019-125743.wav	88.821	89.020	0.199	70.7	427.0	356.4	257.8	
12	Spectrogram 1	1	EA-RW03-111019-125743.wav	89.339	89.498	0.159	70.7	635.9	565.3	343.8	
13	Spectrogram 1	1	EA-RW03-111019-125743.wav	93.960	94.159	0.199	58.4	654.4	596.0	265.6	
14	Spectrogram 1	1	EA-RW03-111019-125743.wav	94.398	94.558	0.159	52.2	682.0	629.8	546.9	
15	Spectrogram 1	1	EA-RW03-111019-135742.wav	393.259	393.418	0.159	36.9	795.7	758.8	125.0	start pattern
16	Spectrogram 1	1	EA-RW03-111019-135742.wav	393.618	393.817	0.199	46.1	722.0	675.9	78.1	
17	Spectrogram 1	1	EA-RW03-111019-135742.wav	402.143	402.343	0.199	76.8	672.8	596.0	562.5	
18	Spectrogram 1	1	EA-RW03-111019-135742.wav	402.701	402.940	0.239	35.3	677.4	642.1	234.4	
19	Spectrogram 1	1	EA-RW03-111019-135742.wav	407.283	407.482	0.199	58.4	682.0	623.7	625.0	
20	Spectrogram 1	1	EA-RW03-111019-135742.wav	407.761	407.960	0.199	33.8	556.1	522.3	375.0	
21	Spectrogram 1	1	EA-RW03-111019-135742.wav	412.303	412.462	0.159	39.9	592.9	553.0	320.3	
22	Spectrogram 1	1	EA-RW03-111019-135742.wav	412.741	412.940	0.199	43.0	642.1	599.1	343.8	
23	Spectrogram 1	1	EA-RW03-111019-135742.wav	417.363	417.522	0.159	46.1	657.5	611.4	460.9	
24	Spectrogram 1	1	EA-RW03-111019-135742.wav	417.801	418.000	0.199	33.8	654.4	620.6	367.2	
25	Spectrogram 1	1	EA-RW03-111019-135742.wav	422.382	422.582	0.199	52.2	620.6	568.4	273.4	
26	Spectrogram 1	1	EA-RW03-111019-135742.wav	422.861	423.060	0.199	55.3	620.6	565.3	234.4	
27	Spectrogram 1	1	EA-RW03-111019-135742.wav	427.562	427.721	0.159	70.7	602.2	531.5	437.5	
28	Spectrogram 1	1	EA-RW03-111019-135742.wav	428.040	428.279	0.239	52.2	617.5	565.3	351.6	
29	Spectrogram 1	1	EA-RW03-111019-145743.wav	688.339	688.538	0.199	47.6	1299.5	1251.9	820.3	
30	Spectrogram 1	1	EA-RW03-111019-145743.wav	688.916	689.116	0.199	52.2	1308.8	1256.5	125.0	
31	Spectrogram 1	1	EA-RW03-111019-145743.wav	697.960	698.159	0.199	46.1	854.1	808.0	492.2	
32	Spectrogram 1	1	EA-RW03-111019-145743.wav	698.518	698.757	0.239	55.3	556.1	500.8	312.5	
33	Spectrogram 1	1	EA-RW03-111019-145743.wav	702.622	702.861	0.239	39.9	639.0	599.1	148.4	
34	Spectrogram 1	1	EA-RW03-111019-145743.wav	703.139	703.378	0.239	46.1	645.2	599.1	296.9	
35	Spectrogram 1	1	EA-RW03-111019-145743.wav	708.215	708.414	0.199	58.4	614.4	556.1	343.8	
36	Spectrogram 1	1	EA-RW03-111019-145743.wav	708.693	708.853	0.159	24.6	568.4	543.8	257.8	
37	Spectrogram 1	1	EA-RW03-111019-145743.wav	713.235	713.394	0.159	39.9	679.0	639.0	265.6	
38	Spectrogram 1	1	EA-RW03-111019-145743.wav	713.673	713.873	0.199	36.9	497.7	460.8	265.6	
39	Spectrogram 1	1	EA-RW03-111019-145743.wav	718.335	718.494	0.159	36.9	746.5	709.7	265.6	
40	Spectrogram 1	1	EA-RW03-111019-145743.wav	718.813	718.972	0.159	36.9	712.7	675.9	203.1	
41	Spectrogram 1	1	EA-RW03-111019-145743.wav	723.514	723.713	0.199	43.0	749.6	706.6	406.2	
42	Spectrogram 1	1	EA-RW03-111019-145743.wav	723.992	724.191	0.199	52.2	675.9	623.7	187.5	
