Selection	View	Channel	Begin File	Begin Time (s)	End Time (s)	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Peak Freq (Hz)	Notes
1	Spectrogram 1	2	SB-IWC01-170910-154000.wav	155.609	156.187	0.577	3.1	221.9	218.8	82.0	start pattern C. pulses very faint
2	Spectrogram 1	2	SB-IWC01-170910-154000.wav	158.363	159.029	0.666	15.4	206.5	191.1	82.0	
3	Spectrogram 1	2	SB-IWC01-170910-154000.wav	161.116	161.694	0.577	12.3	212.6	200.3	187.5	
4	Spectrogram 1	2	SB-IWC01-170910-154000.wav	163.648	164.314	0.666	6.2	212.6	206.5	82.0	
5	Spectrogram 1	2	SB-IWC01-170910-154000.wav	166.490	167.023	0.533	3.1	197.2	194.1	82.0	
6	Spectrogram 1	2	SB-IWC01-170910-154000.wav	169.239	169.905	0.666	6.2	243.5	237.3	82.0	
7	Spectrogram 1	2	SB-IWC01-170910-154000.wav	172.792	173.503	0.711	6.2	252.7	246.5	222.7	
8	Spectrogram 1	2	SB-IWC01-170910-154000.wav	190.046	190.268	0.222	44.7	1989.2	1944.5	82.0	start gs
9	Spectrogram 1	2	SB-IWC01-170910-154000.wav	193.843	194.021	0.178	40.1	1996.9	1956.9	257.8	
10	Spectrogram 1	2	SB-IWC01-170910-154000.wav	197.618	197.796	0.178	40.1	1993.8	1953.8	82.0	
11	Spectrogram 1	2	SB-IWC01-170910-154000.wav	201.437	201.660	0.222	43.1	1990.8	1947.6	82.0	
12	Spectrogram 1	2	SB-IWC01-170910-154000.wav	205.301	205.523	0.222	30.8	1996.9	1966.1	539.1	
13	Spectrogram 1	2	SB-IWC01-170910-154000.wav	209.254	209.432	0.178	67.8	1993.8	1926.0	82.0	
14	Spectrogram 1	2	SB-IWC01-170910-154000.wav	213.051	213.251	0.200	52.4	1993.8	1941.4	82.0	
15	Spectrogram 1	2	SB-IWC01-170910-154000.wav	216.848	217.070	0.222	37.0	1996.9	1959.9	82.0	
16	Spectrogram 1	2	SB-IWC01-170910-154000.wav	220.752	220.974	0.222	52.4	1978.4	1926.0	539.1	
17	Spectrogram 1	2	SB-IWC01-170910-154000.wav	224.349	224.571	0.222	61.6	1993.8	1932.2	246.1	
18	Spectrogram 1	2	SB-IWC01-170910-154000.wav	228.080	228.346	0.266	55.5	1990.8	1935.3	281.2	
19	Spectrogram 1	2	SB-IWC01-170910-154000.wav	231.855	232.077	0.222	33.9	1987.7	1953.8	82.0	
