Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	40335.169491525	40347.881355932	22.0	39.0
1	Spectrogram 1	1	40335.169491525	40347.881355932	22.0	39.0
2	Waveform 1	1	42510.042372881	42517.923728814	27.3	45.0
2	Spectrogram 1	1	42510.042372881	42517.923728814	27.3	45.0
7	Waveform 1	1	49606.889830508	49615.661016949	28.0	47.7
7	Spectrogram 1	1	49606.889830508	49615.661016949	28.0	47.7
8	Waveform 1	1	50227.771186441	50233.830508475	26.1	37.9
8	Spectrogram 1	1	50227.771186441	50233.830508475	26.1	37.9
9	Waveform 1	1	52058.025423729	52065.016949153	28.3	35.3
9	Spectrogram 1	1	52058.025423729	52065.016949153	28.3	35.3
10	Waveform 1	1	52244.872881356	52253.983050847	23.1	38.0
10	Spectrogram 1	1	52244.872881356	52253.983050847	23.1	38.0
11	Waveform 1	1	53094.940677966	53104.855932203	26.5	42.6
11	Spectrogram 1	1	53094.940677966	53104.855932203	26.5	42.6
12	Waveform 1	1	53514.144067797	53520.881355932	28.4	42.8
12	Spectrogram 1	1	53514.144067797	53520.881355932	28.4	42.8
13	Waveform 1	1	53523.508474576	53534.271186441	21.7	43.7
13	Spectrogram 1	1	53523.508474576	53534.271186441	21.7	43.7
14	Waveform 1	1	53746.542372881	53750.991525424	24.3	38.7
14	Spectrogram 1	1	53746.542372881	53750.991525424	24.3	38.7
16	Waveform 1	1	54305.059322034	54311.627118644	26.9	38.0
16	Spectrogram 1	1	54305.059322034	54311.627118644	26.9	38.0
17	Waveform 1	1	54470.305084746	54474.559322034	24.7	40.7
17	Spectrogram 1	1	54470.305084746	54474.559322034	24.7	40.7
18	Waveform 1	1	56128.593220339	56143.254237288	23.2	38.3
18	Spectrogram 1	1	56128.593220339	56143.254237288	23.2	38.3
19	Waveform 1	1	56992.974576271	56999.796610169	26.9	39.8
19	Spectrogram 1	1	56992.974576271	56999.796610169	26.9	39.8
20	Waveform 1	1	57063.415254237	57069.644067797	25.6	34.9
20	Spectrogram 1	1	57063.415254237	57069.644067797	25.6	34.9
21	Waveform 1	1	57138.601694915	57142.838983051	29.2	41.4
21	Spectrogram 1	1	57138.601694915	57142.838983051	29.2	41.4
22	Waveform 1	1	57175.271186441	57179.677966102	25.1	38.4
22	Spectrogram 1	1	57175.271186441	57179.677966102	25.1	38.4
23	Waveform 1	1	57250.949152542	57255.313559322	22.7	34.4
23	Spectrogram 1	1	57250.949152542	57255.313559322	22.7	34.4
24	Waveform 1	1	57313.254237288	57319.355932203	29.4	36.5
24	Spectrogram 1	1	57313.254237288	57319.355932203	29.4	36.5
25	Waveform 1	1	57354.161016949	57360.728813559	26.8	47.2
25	Spectrogram 1	1	57354.161016949	57360.728813559	26.8	47.2
26	Waveform 1	1	57452.033898305	57458.771186441	26.4	43.2
26	Spectrogram 1	1	57452.033898305	57458.771186441	26.4	43.2
27	Waveform 1	1	57502.118644068	57508.050847458	22.8	37.0
27	Spectrogram 1	1	57502.118644068	57508.050847458	22.8	37.0
28	Waveform 1	1	57543.406779661	57550.228813559	25.7	41.4
28	Spectrogram 1	1	57543.406779661	57550.228813559	25.7	41.4
29	Waveform 1	1	58042.838983051	58048.432203390	28.7	41.0
29	Spectrogram 1	1	58042.838983051	58048.432203390	28.7	41.0
30	Waveform 1	1	58201.872881356	58206.491525424	29.5	45.8
30	Spectrogram 1	1	58201.872881356	58206.491525424	29.5	45.8
31	Waveform 1	1	59096.805084746	59109.305084746	18.3	47.7
31	Spectrogram 1	1	59096.805084746	59109.305084746	18.3	47.7
32	Waveform 1	1	59970.305084746	59975.262711864	31.2	44.8
32	Spectrogram 1	1	59970.305084746	59975.262711864	31.2	44.8
33	Waveform 1	1	60051.889830508	60057.059322034	33.6	45.6
33	Spectrogram 1	1	60051.889830508	60057.059322034	33.6	45.6
34	Waveform 1	1	60106.059322034	60117.372881356	20.2	36.9
34	Spectrogram 1	1	60106.059322034	60117.372881356	20.2	36.9
35	Waveform 1	1	60216.644067797	60231.601694915	24.5	37.9
35	Spectrogram 1	1	60216.644067797	60231.601694915	24.5	37.9
36	Waveform 1	1	60158.423728814	60167.703389831	22.1	34.2
36	Spectrogram 1	1	60158.423728814	60167.703389831	22.1	34.2
37	Waveform 1	1	60296.033898305	60301.500000000	29.2	46.3
37	Spectrogram 1	1	60296.033898305	60301.500000000	29.2	46.3
38	Waveform 1	1	60317.779661017	60334.601694915	24.3	46.5
38	Spectrogram 1	1	60317.779661017	60334.601694915	24.3	46.5
39	Waveform 1	1	60511.601694915	60515.754237288	28.2	41.5
39	Spectrogram 1	1	60511.601694915	60515.754237288	28.2	41.5
40	Waveform 1	1	60817.338983051	60826.957627119	27.6	50.8
40	Spectrogram 1	1	60817.338983051	60826.957627119	27.6	50.8
41	Waveform 1	1	61717.983050847	61724.296610169	31.3	42.2
41	Spectrogram 1	1	61717.983050847	61724.296610169	31.3	42.2
42	Waveform 1	1	61864.483050847	61869.144067797	23.9	32.0
42	Spectrogram 1	1	61864.483050847	61869.144067797	23.9	32.0
43	Waveform 1	1	61936.364406780	61941.872881356	28.2	39.9
43	Spectrogram 1	1	61936.364406780	61941.872881356	28.2	39.9
44	Waveform 1	1	62354.635593220	62359.508474576	20.4	31.0
44	Spectrogram 1	1	62354.635593220	62359.508474576	20.4	31.0
45	Waveform 1	1	62452.635593220	62461.872881356	31.0	45.2
45	Spectrogram 1	1	62452.635593220	62461.872881356	31.0	45.2
46	Waveform 1	1	62839.491525424	62845.508474576	35.5	49.6
46	Spectrogram 1	1	62839.491525424	62845.508474576	35.5	49.6
47	Waveform 1	1	63221.813559322	63227.915254237	27.6	42.6
47	Spectrogram 1	1	63221.813559322	63227.915254237	27.6	42.6
48	Waveform 1	1	63963.805084746	63969.864406780	27.3	41.0
48	Spectrogram 1	1	63963.805084746	63969.864406780	27.3	41.0
49	Waveform 1	1	64235.372881356	64244.610169492	29.2	44.1
49	Spectrogram 1	1	64235.372881356	64244.610169492	29.2	44.1
50	Waveform 1	1	65341.008474576	65345.415254237	28.0	48.7
50	Spectrogram 1	1	65341.008474576	65345.415254237	28.0	48.7
51	Waveform 1	1	65732.398305085	65736.847457627	27.1	39.0
51	Spectrogram 1	1	65732.398305085	65736.847457627	27.1	39.0
52	Waveform 1	1	66430.754237288	66436.940677966	27.2	39.6
52	Spectrogram 1	1	66430.754237288	66436.940677966	27.2	39.6
53	Waveform 1	1	66601.949152542	66606.610169492	26.7	37.6
53	Spectrogram 1	1	66601.949152542	66606.610169492	26.7	37.6
54	Waveform 1	1	67188.830508475	67196.033898305	31.8	45.2
54	Spectrogram 1	1	67188.830508475	67196.033898305	31.8	45.2
55	Waveform 1	1	67722.262711864	67733.491525424	32.3	45.5
55	Spectrogram 1	1	67722.262711864	67733.491525424	32.3	45.5
56	Waveform 1	1	69029.491525424	69034.872881356	29.2	38.0
56	Spectrogram 1	1	69029.491525424	69034.872881356	29.2	38.0
57	Waveform 1	1	70014.923728814	70019.542372881	24.6	35.3
57	Spectrogram 1	1	70014.923728814	70019.542372881	24.6	35.3
