Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	8726.962399938	8741.223483682	25.9	39.5
1	Spectrogram 1	1	8726.962399938	8741.223483682	25.9	39.5
2	Waveform 1	1	8868.161907328	8874.331858067	27.4	42.7
2	Spectrogram 1	1	8868.161907328	8874.331858067	27.4	42.7
3	Waveform 1	1	8874.405749692	8879.947621613	27.3	38.4
3	Spectrogram 1	1	8874.405749692	8879.947621613	27.3	38.4
4	Waveform 1	1	8880.612646244	8886.819542796	26.9	34.8
4	Spectrogram 1	1	8880.612646244	8886.819542796	26.9	34.8
6	Waveform 1	1	9189.516587131	9198.088015702	25.6	38.0
6	Spectrogram 1	1	9189.516587131	9198.088015702	25.6	38.0
7	Waveform 1	1	9271.595404865	9276.102794027	29.0	41.1
7	Spectrogram 1	1	9271.595404865	9276.102794027	29.0	41.1
8	Waveform 1	1	9503.009197968	9508.624961515	31.9	41.4
8	Spectrogram 1	1	9503.009197968	9508.624961515	31.9	41.4
9	Waveform 1	1	9536.149592057	9540.620035406	24.6	44.5
9	Spectrogram 1	1	9536.149592057	9540.620035406	24.6	44.5
10	Waveform 1	1	9558.856488608	9563.400823584	26.9	37.6
10	Spectrogram 1	1	9558.856488608	9563.400823584	26.9	37.6
11	Waveform 1	1	9571.344173337	9578.548606835	26.7	40.1
11	Spectrogram 1	1	9571.344173337	9578.548606835	26.7	40.1
12	Waveform 1	1	9729.464862993	9736.078163485	30.6	38.9
12	Spectrogram 1	1	9729.464862993	9736.078163485	30.6	38.9
13	Waveform 1	1	9920.208705357	9926.858951663	31.2	39.4
13	Spectrogram 1	1	9920.208705357	9926.858951663	31.2	39.4
14	Waveform 1	1	10011.324468904	10017.383582204	27.1	38.6
14	Spectrogram 1	1	10011.324468904	10017.383582204	27.1	38.6
15	Waveform 1	1	10059.228409791	10062.368803879	33.2	41.9
15	Spectrogram 1	1	10059.228409791	10062.368803879	33.2	41.9
16	Waveform 1	1	10185.184074815	10189.100330973	28.6	40.5
16	Spectrogram 1	1	10185.184074815	10189.100330973	28.6	40.5
17	Waveform 1	1	10264.440232451	10269.871266933	27.4	37.7
17	Spectrogram 1	1	10264.440232451	10269.871266933	27.4	37.7
18	Waveform 1	1	10573.676685653	10583.060922106	27.6	41.4
18	Spectrogram 1	1	10573.676685653	10583.060922106	27.6	41.4
19	Waveform 1	1	10852.196390086	10861.617572352	29.4	40.5
19	Spectrogram 1	1	10852.196390086	10861.617572352	29.4	40.5
20	Waveform 1	1	11053.432843288	11062.632350677	26.0	37.9
20	Spectrogram 1	1	11053.432843288	11062.632350677	26.0	37.9
21	Waveform 1	1	11844.886045259	11856.893434421	27.5	40.4
21	Spectrogram 1	1	11844.886045259	11856.893434421	27.5	40.4
22	Waveform 1	1	12325.048606835	12331.403286638	25.0	39.4
22	Spectrogram 1	1	12325.048606835	12331.403286638	25.0	39.4
23	Waveform 1	1	12519.117572352	12522.516587131	29.8	42.9
23	Spectrogram 1	1	12519.117572352	12522.516587131	29.8	42.9
24	Waveform 1	1	12635.378656096	12639.110183190	29.1	40.4
24	Spectrogram 1	1	12635.378656096	12639.110183190	29.1	40.4
25	Waveform 1	1	12868.927917180	12876.612646244	30.1	42.2
25	Spectrogram 1	1	12868.927917180	12876.612646244	30.1	42.2
26	Waveform 1	1	13189.381119150	13195.440232451	38.7	49.1
26	Spectrogram 1	1	13189.381119150	13195.440232451	38.7	49.1
27	Waveform 1	1	13280.201316195	13289.696390086	30.6	43.4
27	Spectrogram 1	1	13280.201316195	13289.696390086	30.6	43.4
28	Waveform 1	1	13470.464862993	13481.326931958	32.2	40.6
28	Spectrogram 1	1	13470.464862993	13481.326931958	32.2	40.6
29	Waveform 1	1	13689.383582204	13698.398360530	31.9	43.6
29	Spectrogram 1	1	13689.383582204	13698.398360530	31.9	43.6
30	Waveform 1	1	14289.812153633	14300.156981219	29.9	41.8
30	Spectrogram 1	1	14289.812153633	14300.156981219	29.9	41.8
31	Waveform 1	1	14632.344173337	14639.289986145	33.1	43.7
31	Spectrogram 1	1	14632.344173337	14639.289986145	33.1	43.7
32	Waveform 1	1	14774.851562500	14778.620035406	24.3	32.9
32	Spectrogram 1	1	14774.851562500	14778.620035406	24.3	32.9
33	Waveform 1	1	15117.235798953	15121.041217672	26.0	36.2
33	Spectrogram 1	1	15117.235798953	15121.041217672	26.0	36.2
34	Waveform 1	1	15167.001808805	15170.068311268	24.7	34.8
34	Spectrogram 1	1	15167.001808805	15170.068311268	24.7	34.8
35	Waveform 1	1	15272.083089594	15274.964862993	28.3	39.2
35	Spectrogram 1	1	15272.083089594	15274.964862993	28.3	39.2
36	Waveform 1	1	15295.861414717	15299.149592057	24.9	35.2
36	Spectrogram 1	1	15295.861414717	15299.149592057	24.9	35.2
37	Waveform 1	1	15347.533828510	15352.669296490	25.2	36.0
37	Spectrogram 1	1	15347.533828510	15352.669296490	25.2	36.0
38	Waveform 1	1	15479.253040333	15482.541217672	27.3	39.3
38	Spectrogram 1	1	15479.253040333	15482.541217672	27.3	39.3
39	Waveform 1	1	15753.760429495	15761.038754618	33.1	47.0
39	Spectrogram 1	1	15753.760429495	15761.038754618	33.1	47.0
40	Waveform 1	1	16205.363877771	16219.070774323	27.3	43.1
40	Spectrogram 1	1	16205.363877771	16219.070774323	27.3	43.1
41	Waveform 1	1	16715.009197968	16726.055995998	29.1	42.2
41	Spectrogram 1	1	16715.009197968	16726.055995998	29.1	42.2
42	Waveform 1	1	17415.900823584	17420.038754618	28.5	42.9
42	Spectrogram 1	1	17415.900823584	17420.038754618	28.5	42.9
43	Waveform 1	1	18107.297375308	18116.792449200	31.6	38.8
43	Spectrogram 1	1	18107.297375308	18116.792449200	31.6	38.8
44	Waveform 1	1	18423.686537869	18434.955010776	27.2	41.8
44	Spectrogram 1	1	18423.686537869	18434.955010776	27.2	41.8
45	Waveform 1	1	18922.913138855	18939.021513239	26.8	41.8
45	Spectrogram 1	1	18922.913138855	18939.021513239	26.8	41.8
47	Waveform 1	1	43238.289986145	43241.947621613	21.6	32.4
47	Spectrogram 1	1	43238.289986145	43241.947621613	21.6	32.4
48	Waveform 1	1	43420.794912254	43428.590478756	29.9	40.9
48	Spectrogram 1	1	43420.794912254	43428.590478756	29.9	40.9
49	Waveform 1	1	43486.307227525	43493.031365456	26.8	39.6
49	Spectrogram 1	1	43486.307227525	43493.031365456	26.8	39.6
50	Waveform 1	1	43542.228409791	43548.841710283	25.2	39.4
50	Spectrogram 1	1	43542.228409791	43548.841710283	25.2	39.4
51	Waveform 1	1	43792.403286638	43799.866340825	29.5	38.4
51	Spectrogram 1	1	43792.403286638	43799.866340825	29.5	38.4
52	Waveform 1	1	63391.189000924	63403.159444273	24.0	39.6
52	Spectrogram 1	1	63391.189000924	63403.159444273	24.0	39.6
53	Waveform 1	1	64575.679148707	64589.275207820	32.6	43.5
53	Spectrogram 1	1	64575.679148707	64589.275207820	32.6	43.5
54	Waveform 1	1	67870.713631466	67875.553532943	33.8	45.4
54	Spectrogram 1	1	67870.713631466	67875.553532943	33.8	45.4
55	Waveform 1	1	68573.378656096	68578.957473830	32.9	45.5
55	Spectrogram 1	1	68573.378656096	68578.957473830	32.9	45.5
56	Waveform 1	1	68940.147129002	68942.844173337	37.7	50.0
56	Spectrogram 1	1	68940.147129002	68942.844173337	37.7	50.0
57	Waveform 1	1	69348.922991071	69352.137276786	39.3	51.7
57	Spectrogram 1	1	69348.922991071	69352.137276786	39.3	51.7
59	Waveform 1	1	72531.967326047	72536.216094520	34.5	43.6
59	Spectrogram 1	1	72531.967326047	72536.216094520	34.5	43.6
