Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
4	Waveform 1	1	27.26318359	30.35693359	120	220
4	Spectrogram 1	1	27.26318359	30.35693359	120	220
22	Waveform 1	1	123.2338867	124.1362305	60	130
22	Spectrogram 1	1	123.2338867	124.1362305	60	130
25	Waveform 1	1	134.5776367	135.6733398	60	120
25	Spectrogram 1	1	134.5776367	135.6733398	60	120
50	Waveform 1	1	291.2631836	293.3256836	70	180
50	Spectrogram 1	1	291.2631836	293.3256836	70	180
59	Waveform 1	1	343.7924805	344.4370117	130	170
59	Spectrogram 1	1	343.7924805	344.4370117	130	170
138	Waveform 1	1	659.4838867	661.0307617	60	130
138	Spectrogram 1	1	659.4838867	661.0307617	60	130
140	Waveform 1	1	669.8608398	671.1499023	70	180
140	Spectrogram 1	1	669.8608398	671.1499023	70	180
143	Waveform 1	1	677.144043	678.3041992	60	180
143	Spectrogram 1	1	677.144043	678.3041992	60	180
148	Waveform 1	1	686.6186523	687.7788086	70	200
148	Spectrogram 1	1	686.6186523	687.7788086	70	200
162	Waveform 1	1	753.6499023	754.487793	60	110
162	Spectrogram 1	1	753.6499023	754.487793	60	110
163	Waveform 1	1	755.8413086	756.7436523	60	130
163	Spectrogram 1	1	755.8413086	756.7436523	60	130
165	Waveform 1	1	758.8061523	759.8374023	90	160
165	Spectrogram 1	1	758.8061523	759.8374023	90	160
180	Waveform 1	1	824.1616211	824.8706055	80	140
180	Spectrogram 1	1	824.1616211	824.8706055	80	140
225	Waveform 1	1	992.2553711	993.4799805	60	190
225	Spectrogram 1	1	992.2553711	993.4799805	60	190
251	Waveform 1	1	1078.04248	1079.202637	100	180
251	Spectrogram 1	1	1078.04248	1079.202637	100	180
284	Waveform 1	1	1202.888184	1203.919434	70	220
284	Spectrogram 1	1	1202.888184	1203.919434	70	220
302	Waveform 1	1	1275.784668	1277.26709	60	160
302	Spectrogram 1	1	1275.784668	1277.26709	60	160
310	Waveform 1	1	1331.278809	1332.310059	60	140
310	Spectrogram 1	1	1331.278809	1332.310059	60	140
314	Waveform 1	1	1341.849121	1342.815918	60	140
314	Spectrogram 1	1	1341.849121	1342.815918	60	140
372	Waveform 1	1	1555.70459	1556.026855	110	160
372	Spectrogram 1	1	1555.70459	1556.026855	110	160
378	Waveform 1	1	1580.519043	1581.550293	100	190
378	Spectrogram 1	1	1580.519043	1581.550293	100	190
409	Waveform 1	1	1710.327637	1711.22998	60	180
409	Spectrogram 1	1	1710.327637	1711.22998	60	180
475	Waveform 1	1	2022.538574	2023.312012	110	200
475	Spectrogram 1	1	2022.538574	2023.312012	110	200
499	Waveform 1	1	2125.019043	2126.501465	70	170
499	Spectrogram 1	1	2125.019043	2126.501465	70	170
514	Waveform 1	1	2210.677246	2211.901855	90	210
514	Spectrogram 1	1	2210.677246	2211.901855	90	210
524	Waveform 1	1	2245.546387	2246.770996	120	200
524	Spectrogram 1	1	2245.546387	2246.770996	120	200
532	Waveform 1	1	2279.706543	2281.382324	80	230
532	Spectrogram 1	1	2279.706543	2281.382324	80	230
536	Waveform 1	1	2297.237793	2297.624512	170	230
536	Spectrogram 1	1	2297.237793	2297.624512	170	230
543	Waveform 1	1	2337.649902	2339.132324	80	180
543	Spectrogram 1	1	2337.649902	2339.132324	80	180
611	Waveform 1	1	2640.192871	2641.739746	80	170
611	Spectrogram 1	1	2640.192871	2641.739746	80	170
652	Waveform 1	1	2833.810059	2835.163574	70	150
652	Spectrogram 1	1	2833.810059	2835.163574	70	150
724	Waveform 1	1	3194.231934	3195.778809	80	250
724	Spectrogram 1	1	3194.231934	3195.778809	80	250
739	Waveform 1	1	3297.872559	3299.032715	90	210
739	Spectrogram 1	1	3297.872559	3299.032715	90	210
748	Waveform 1	1	3341.120605	3342.151855	110	210
748	Spectrogram 1	1	3341.120605	3342.151855	110	210
751	Waveform 1	1	3362.841309	3363.937012	60	200
751	Spectrogram 1	1	3362.841309	3363.937012	60	200
759	Waveform 1	1	3391.458496	3392.36084	120	230
759	Spectrogram 1	1	3391.458496	3392.36084	120	230
790	Waveform 1	1	3557.103027	3558.327637	60	160
790	Spectrogram 1	1	3557.103027	3558.327637	60	160
849	Waveform 1	1	3801.76709	3802.991699	90	210
849	Spectrogram 1	1	3801.76709	3802.991699	90	210
851	Waveform 1	1	3820.651855	3820.974121	140	200
851	Spectrogram 1	1	3820.651855	3820.974121	140	200
873	Waveform 1	1	3922.358887	3924.614746	60	230
873	Spectrogram 1	1	3922.358887	3924.614746	60	230
928	Waveform 1	1	4164.187012	4165.411621	100	240
928	Spectrogram 1	1	4164.187012	4165.411621	100	240
936	Waveform 1	1	4209.11084	4210.335449	90	230
936	Spectrogram 1	1	4209.11084	4210.335449	90	230
965	Waveform 1	1	4335.245605	4336.147949	70	170
965	Spectrogram 1	1	4335.245605	4336.147949	70	170
999	Waveform 1	1	4467.374512	4467.825684	120	160
999	Spectrogram 1	1	4467.374512	4467.825684	120	160
1032	Waveform 1	1	4574.044434	4575.591309	80	240
1032	Spectrogram 1	1	4574.044434	4575.591309	80	240
1051	Waveform 1	1	4665.052246	4666.405762	120	220
1051	Spectrogram 1	1	4665.052246	4666.405762	120	220
1061	Waveform 1	1	4695.731934	4696.376465	110	190
1061	Spectrogram 1	1	4695.731934	4696.376465	110	190
1079	Waveform 1	1	4748.583496	4750.32373	60	180
1079	Spectrogram 1	1	4748.583496	4750.32373	60	180
1086	Waveform 1	1	4778.16748	4781.325684	60	200
1086	Spectrogram 1	1	4778.16748	4781.325684	60	200
1088	Waveform 1	1	4786.868652	4788.351074	60	190
1088	Spectrogram 1	1	4786.868652	4788.351074	60	190
1090	Waveform 1	1	4793.378418	4795.054199	70	170
1090	Spectrogram 1	1	4793.378418	4795.054199	70	170
1097	Waveform 1	1	4815.937012	4817.032715	70	160
1097	Spectrogram 1	1	4815.937012	4817.032715	70	160
1158	Waveform 1	1	5057.313965	5058.86084	60	110
1158	Spectrogram 1	1	5057.313965	5058.86084	60	110
1159	Waveform 1	1	5058.345215	5060.020996	100	250
1159	Spectrogram 1	1	5058.345215	5060.020996	100	250
1172	Waveform 1	1	5119.188965	5120.606934	80	200
1172	Spectrogram 1	1	5119.188965	5120.606934	80	200
1174	Waveform 1	1	5137.687012	5139.878418	60	240
1174	Spectrogram 1	1	5137.687012	5139.878418	60	240
