Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	7.347167969	8.700683594	70	190
1	Spectrogram 1	1	7.347167969	8.700683594	70	190
20	Waveform 1	1	111.3100586	111.7612305	110	170
20	Spectrogram 1	1	111.3100586	111.7612305	110	170
26	Waveform 1	1	132.7729492	133.2241211	70	160
26	Spectrogram 1	1	132.7729492	133.2241211	70	160
27	Waveform 1	1	157.394043	158.2963867	70	140
27	Spectrogram 1	1	157.394043	158.2963867	70	140
33	Waveform 1	1	178.1479492	179.4370117	60	140
33	Spectrogram 1	1	178.1479492	179.4370117	60	140
38	Waveform 1	1	209.7944336	210.3745117	90	150
38	Spectrogram 1	1	209.7944336	210.3745117	90	150
40	Waveform 1	1	217.8510742	218.4311523	80	160
40	Spectrogram 1	1	217.8510742	218.4311523	80	160
46	Waveform 1	1	255.4272461	257.2319336	70	210
46	Spectrogram 1	1	255.4272461	257.2319336	70	210
50	Waveform 1	1	278.1791992	279.4038086	80	180
50	Spectrogram 1	1	278.1791992	279.4038086	80	180
53	Waveform 1	1	299.7709961	300.4155273	80	130
53	Spectrogram 1	1	299.7709961	300.4155273	80	130
57	Waveform 1	1	323.3608398	323.8120117	90	150
57	Spectrogram 1	1	323.3608398	323.8120117	90	150
59	Waveform 1	1	344.3725586	345.081543	70	120
59	Spectrogram 1	1	344.3725586	345.081543	70	120
68	Waveform 1	1	378.7260742	380.2729492	60	200
68	Spectrogram 1	1	378.7260742	380.2729492	60	200
72	Waveform 1	1	414.8842773	416.1733398	70	160
72	Spectrogram 1	1	414.8842773	416.1733398	70	160
88	Waveform 1	1	488.5541992	490.1010742	60	240
88	Spectrogram 1	1	488.5541992	490.1010742	60	240
90	Waveform 1	1	497.7709961	498.1577148	80	140
90	Spectrogram 1	1	497.7709961	498.1577148	80	140
114	Waveform 1	1	619.394043	620.425293	100	190
114	Spectrogram 1	1	619.394043	620.425293	100	190
120	Waveform 1	1	649.4936523	650.9760742	70	160
120	Spectrogram 1	1	649.4936523	650.9760742	70	160
124	Waveform 1	1	663.0932617	665.8647461	60	210
124	Spectrogram 1	1	663.0932617	665.8647461	60	210
143	Waveform 1	1	770.1499023	771.8256836	60	180
143	Spectrogram 1	1	770.1499023	771.8256836	60	180
152	Waveform 1	1	811.5288086	813.0112305	70	170
152	Spectrogram 1	1	811.5288086	813.0112305	70	170
160	Waveform 1	1	847.815918	849.2983398	70	170
160	Spectrogram 1	1	847.815918	849.2983398	70	170
196	Waveform 1	1	1027.897949	1029.76709	70	200
196	Spectrogram 1	1	1027.897949	1029.76709	70	200
